Cluster,Class,Count,Percentage of class (%)
0,1,5059,21.82
0,2,2,0.03
0,4,1,0.08
1,1,1756,7.57
1,2,1575,24.13
1,3,3488,73.4
1,4,1154,95.21
1,5,782,89.78
1,6,752,98.69
1,7,673,99.12
1,8,324,100.0
1,9,260,99.62
2,1,3320,14.32
2,2,48,0.74
2,4,1,0.08
3,1,43,0.19
3,2,4527,69.35
3,3,4,0.08
3,4,7,0.58
3,6,3,0.39
3,7,1,0.15
3,9,1,0.38
4,1,9838,42.44
4,2,94,1.44
4,3,17,0.36
4,4,36,2.97
4,5,88,10.1
4,6,6,0.79
4,7,4,0.59
5,1,1,0.0
5,2,11,0.17
5,3,896,18.86
5,4,7,0.58
5,5,1,0.11
6,1,3165,13.65
6,2,271,4.15
6,3,143,3.01
6,4,6,0.5
6,6,1,0.13
6,7,1,0.15
7,3,57,1.2
8,1,1,0.0
8,3,147,3.09
