type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.042614828795194626,0.32668159610958813,,
cluster,0,0.04144327715039253,,0.932224025974026,2464
cluster,1,-0.01353747770190239,,0.363395225464191,3016
cluster,2,0.03374876454472542,,0.4541529083058166,3937
cluster,3,0.10166602581739426,,0.9748348537275873,3179
cluster,4,-0.010328146629035473,,0.9891028890015205,3946
cluster,5,0.15183669328689575,,1.0,3451
cluster,6,0.03201024979352951,,0.4638481864040356,4163
cluster,7,0.0016539946664124727,,0.9833862692401661,4093
cluster,8,0.06666810810565948,,0.7975646879756468,2628
