type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,-0.005734155420213938,0.2479693633667594,,
cluster,0,-0.038961973041296005,,0.9372822299651568,1435
cluster,1,-0.11922231316566467,,0.7266483516483516,4368
cluster,2,-0.10623541474342346,,0.5614103060829136,2581
cluster,3,-0.096936896443367,,0.40159045725646125,503
cluster,4,0.12912105023860931,,0.883177570093458,8346
cluster,5,-0.07778435945510864,,0.99033594109526,4346
cluster,6,-0.0021058355923742056,,0.3211088651458273,6926
cluster,7,-0.00922399666160345,,0.9372549019607843,510
cluster,8,0.0012183808721601963,,0.6337271750805585,1862
