type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30683744,0.3038484894415021,,
cluster,0,0.31231228,,1.0,30
cluster,1,0.65454865,,1.0,11
cluster,2,0.3426611,,0.9444444444444444,18
cluster,3,0.439624,,1.0,15
cluster,4,0.35122734,,1.0,36
cluster,5,0.31840864,,0.9230769230769231,13
cluster,6,0.3276826,,1.0,15
cluster,7,0.36084023,,1.0,31
cluster,8,0.51558536,,0.9615384615384616,26
cluster,9,0.30219018,,1.0,26
cluster,10,0.4060518,,1.0,25
cluster,11,0.29239878,,1.0,24
cluster,12,0.4100057,,1.0,24
cluster,13,0.41609436,,1.0,14
cluster,14,0.47739014,,1.0,52
cluster,15,0.29936683,,1.0,15
cluster,16,0.2871401,,1.0,20
cluster,17,0.4366056,,1.0,40
cluster,18,0.35511944,,1.0,45
cluster,19,0.2957293,,1.0,22
cluster,20,0.4644653,,1.0,50
cluster,21,0.3787913,,1.0,11
cluster,22,0.33958533,,1.0,12
cluster,23,0.37453088,,1.0,14
cluster,24,0.41974667,,1.0,41
cluster,25,0.40280533,,1.0,53
cluster,26,0.4899892,,1.0,12
cluster,27,0.40171462,,1.0,32
cluster,28,0.36103785,,1.0,12
cluster,29,0.37196586,,1.0,10
cluster,30,0.3591536,,1.0,27
cluster,31,0.2808724,,1.0,27
cluster,32,0.35664696,,1.0,26
cluster,33,0.20290615,,1.0,45
cluster,34,0.43742305,,1.0,13
cluster,35,0.4038852,,0.9615384615384616,26
cluster,36,0.41723716,,1.0,25
cluster,37,0.4626795,,1.0,26
cluster,38,0.44671962,,1.0,28
cluster,39,0.44410667,,1.0,32
cluster,40,0.33390188,,1.0,16
cluster,41,0.32008854,,1.0,27
cluster,42,0.39176592,,1.0,16
cluster,43,0.23925689,,1.0,13
cluster,44,0.31555575,,1.0,15
cluster,45,0.2616852,,1.0,21
cluster,46,0.438058,,1.0,17
cluster,47,0.34154674,,1.0,23
cluster,48,0.3523058,,1.0,18
cluster,49,0.17886522,,1.0,27
cluster,50,0.24715151,,1.0,79
cluster,51,0.21424127,,1.0,101
cluster,52,0.4448503,,1.0,23
cluster,53,0.2989811,,1.0,12
cluster,54,0.29968828,,1.0,21
cluster,55,0.17491922,,1.0,10
cluster,56,0.3381851,,0.9615384615384616,26
cluster,57,0.38309303,,1.0,12
cluster,58,0.32933402,,1.0,34
cluster,59,0.32432157,,1.0,13
cluster,60,0.29254276,,1.0,20
cluster,61,0.28734893,,1.0,20
cluster,62,0.3408196,,1.0,19
cluster,63,0.49904212,,1.0,24
cluster,64,0.4293779,,1.0,52
cluster,65,0.4707539,,0.98,50
cluster,66,0.38892925,,1.0,24
cluster,67,0.35838127,,1.0,25
cluster,68,0.40553966,,1.0,10
cluster,69,0.2534108,,1.0,14
cluster,70,0.41241205,,1.0,30
cluster,71,0.3818953,,1.0,23
cluster,72,0.30675444,,1.0,10
cluster,73,0.33110303,,1.0,22
cluster,74,0.585375,,1.0,28
cluster,75,0.46103287,,1.0,28
cluster,76,0.3088566,,1.0,23
cluster,77,0.2701535,,1.0,17
cluster,78,0.28739357,,1.0,28
cluster,79,0.23801075,,1.0,30
cluster,80,0.39780375,,1.0,21
cluster,81,0.4694918,,0.9375,16
cluster,82,0.4251397,,1.0,12
cluster,83,0.5105695,,1.0,12
cluster,84,0.39915726,,1.0,19
cluster,85,0.29573378,,1.0,33
cluster,86,0.5344055,,1.0,42
cluster,87,0.46813667,,1.0,29
cluster,88,0.38047004,,1.0,23
cluster,89,0.30795902,,1.0,22
cluster,90,0.275017,,1.0,60
cluster,91,0.44457585,,1.0,28
cluster,92,0.3269493,,1.0,27
cluster,93,0.28217608,,1.0,15
cluster,94,0.4813138,,1.0,41
cluster,95,0.33382475,,1.0,21
cluster,96,0.16896899,,1.0,34
cluster,97,0.22354825,,0.6666666666666666,21
cluster,98,0.1319843,,1.0,18
cluster,99,0.32311082,,1.0,14
cluster,100,0.25420514,,1.0,18
cluster,101,0.23915806,,1.0,25
cluster,102,0.21914077,,1.0,35
cluster,103,0.38199776,,1.0,22
cluster,104,0.29189053,,1.0,17
cluster,105,0.41908747,,1.0,20
cluster,106,0.2624248,,1.0,21
cluster,107,0.42136818,,1.0,20
cluster,108,0.35610917,,1.0,13
cluster,109,0.17895319,,1.0,63
cluster,110,0.3569755,,1.0,17
cluster,111,0.40832707,,1.0,25
cluster,112,0.26255643,,0.8666666666666667,30
cluster,113,0.21644138,,1.0,11
cluster,114,0.19640799,,1.0,15
cluster,115,0.3347023,,1.0,18
cluster,116,0.35614297,,1.0,26
cluster,117,0.35653657,,1.0,15
cluster,118,0.2427102,,1.0,33
cluster,119,0.1817247,,1.0,45
cluster,120,0.28009188,,1.0,22
cluster,121,0.32096195,,1.0,13
cluster,122,0.2622935,,1.0,18
cluster,123,0.23226902,,1.0,42
cluster,124,0.4383909,,1.0,50
cluster,125,0.25786883,,1.0,21
cluster,126,0.31459907,,1.0,21
cluster,127,0.30249256,,1.0,20
cluster,128,0.2724435,,1.0,19
cluster,129,0.28115085,,1.0,22
cluster,130,0.4053454,,1.0,14
cluster,131,0.34473646,,1.0,17
cluster,132,0.34422392,,1.0,52
cluster,133,0.30875623,,1.0,19
cluster,134,0.24931028,,0.9523809523809523,21
cluster,135,0.5312249,,1.0,25
cluster,136,0.37567937,,1.0,19
cluster,137,0.32680976,,1.0,15
cluster,138,0.19545542,,1.0,26
cluster,139,0.28762227,,1.0,10
cluster,140,0.40804824,,1.0,24
cluster,141,0.25093883,,1.0,18
cluster,142,0.35231745,,1.0,16
cluster,143,0.31276056,,1.0,26
cluster,144,0.27311322,,1.0,15
cluster,145,0.33527672,,1.0,10
cluster,146,0.0037975423,,1.0,41
cluster,147,0.4385798,,1.0,24
cluster,148,0.33550864,,1.0,15
cluster,149,0.2048728,,0.9791666666666666,48
cluster,150,0.46929324,,1.0,52
cluster,151,0.38559276,,1.0,13
cluster,152,0.32424384,,1.0,37
cluster,153,0.2961147,,1.0,39
cluster,154,0.3507431,,1.0,51
cluster,155,0.30165067,,1.0,21
cluster,156,0.305911,,1.0,16
cluster,157,0.35003012,,1.0,21
cluster,158,0.23853716,,1.0,10
cluster,159,0.32458866,,1.0,16
cluster,160,0.27578685,,1.0,22
cluster,161,0.30615786,,1.0,22
cluster,162,0.3541705,,1.0,20
cluster,163,0.39411348,,1.0,38
cluster,164,0.4887784,,1.0,11
cluster,165,0.35632518,,1.0,11
cluster,166,0.28991026,,1.0,21
cluster,167,0.22329377,,1.0,44
cluster,168,0.3351562,,1.0,14
cluster,169,0.30610162,,1.0,17
cluster,170,0.26720124,,1.0,46
cluster,171,0.38571802,,1.0,15
cluster,172,0.4503775,,1.0,22
cluster,173,0.31736615,,1.0,12
cluster,174,0.29497272,,1.0,16
cluster,175,0.26668414,,1.0,19
cluster,176,0.25148457,,1.0,18
cluster,177,0.48310202,,1.0,10
cluster,178,0.2596682,,1.0,21
cluster,179,0.27757215,,0.9642857142857143,28
cluster,180,0.26158458,,1.0,36
cluster,181,0.29028285,,1.0,17
cluster,182,0.42067102,,1.0,30
cluster,183,0.2684738,,1.0,28
cluster,184,0.49623996,,1.0,22
cluster,185,0.47293168,,1.0,29
cluster,186,0.34449148,,1.0,10
cluster,187,0.3375972,,1.0,17
cluster,188,0.17250824,,1.0,40
cluster,189,0.3458659,,1.0,34
cluster,190,0.26113656,,0.5909090909090909,22
cluster,191,0.13972566,,0.99,100
cluster,192,0.35000688,,1.0,10
cluster,193,0.29057583,,1.0,12
cluster,194,0.42884108,,1.0,29
cluster,195,0.3294854,,1.0,21
cluster,196,0.3724125,,1.0,16
cluster,197,0.2875598,,1.0,39
cluster,198,0.34403175,,1.0,50
cluster,199,0.25128472,,1.0,18
cluster,200,0.3047491,,1.0,15
cluster,201,0.38998285,,1.0,21
cluster,202,0.25849634,,1.0,20
cluster,203,0.36818665,,1.0,53
cluster,204,0.20372863,,1.0,24
cluster,205,0.30057594,,1.0,25
cluster,206,0.31097537,,1.0,20
cluster,207,0.3251752,,1.0,14
cluster,208,0.3151351,,0.9411764705882353,17
cluster,209,0.3437489,,1.0,10
cluster,210,0.2540962,,1.0,43
cluster,211,0.3066604,,0.9523809523809523,21
cluster,212,0.25967032,,1.0,36
cluster,213,0.28356525,,1.0,29
cluster,214,0.3187257,,1.0,11
cluster,215,0.27756417,,1.0,13
cluster,216,0.2338192,,0.9259259259259259,27
cluster,217,0.40047777,,1.0,12
cluster,218,0.3550283,,1.0,13
cluster,219,0.32451925,,1.0,38
cluster,220,0.2446767,,1.0,45
cluster,221,0.32357985,,1.0,10
cluster,222,0.24221624,,0.9444444444444444,18
cluster,223,0.29899865,,1.0,18
cluster,224,0.29670432,,1.0,12
cluster,225,0.27704948,,1.0,32
cluster,226,0.3314986,,1.0,47
cluster,227,0.32459405,,1.0,13
cluster,228,0.37975273,,1.0,11
cluster,229,0.42196554,,1.0,38
cluster,230,0.20416927,,1.0,24
cluster,231,0.42456293,,1.0,11
cluster,232,0.2986313,,1.0,11
cluster,233,0.29570365,,1.0,11
cluster,234,0.36728108,,1.0,44
cluster,235,0.33506966,,1.0,14
cluster,236,0.24571693,,1.0,12
cluster,237,0.2844148,,1.0,69
cluster,238,0.38006124,,1.0,21
cluster,239,0.17031504,,1.0,26
cluster,240,0.30072764,,1.0,18
cluster,241,0.25053957,,1.0,17
cluster,242,0.30478784,,0.7058823529411765,17
cluster,243,0.24011329,,0.9743589743589743,39
cluster,244,0.39427078,,1.0,13
cluster,245,0.3269009,,1.0,27
cluster,246,0.32206094,,1.0,18
cluster,247,0.31781077,,1.0,35
cluster,248,0.16977483,,1.0,20
cluster,249,0.36612058,,1.0,24
cluster,250,0.19644691,,1.0,40
cluster,251,0.43519762,,1.0,37
cluster,252,0.3362135,,0.9166666666666666,12
cluster,253,0.25389153,,1.0,24
cluster,254,0.3558163,,1.0,40
cluster,255,0.189577,,0.9583333333333334,24
cluster,256,0.22501625,,1.0,14
cluster,257,0.35004196,,1.0,24
cluster,258,0.35522178,,1.0,18
cluster,259,0.37064046,,1.0,10
cluster,260,0.29671648,,1.0,43
cluster,261,0.33432662,,1.0,12
cluster,262,0.3904375,,1.0,10
cluster,263,0.22831748,,1.0,43
cluster,264,0.2906742,,1.0,42
cluster,265,0.29364643,,1.0,18
cluster,266,0.35124487,,1.0,18
cluster,267,0.36993548,,1.0,14
cluster,268,-0.04055794,,0.6172839506172839,81
cluster,269,0.2897466,,1.0,13
cluster,270,0.33019963,,1.0,16
cluster,271,0.24856852,,0.9130434782608695,23
cluster,272,0.32231504,,1.0,19
cluster,273,0.33029202,,1.0,24
cluster,274,0.3178916,,1.0,16
cluster,275,0.15902732,,1.0,23
cluster,276,0.32646808,,1.0,15
cluster,277,0.32616246,,1.0,15
cluster,278,0.42241874,,1.0,24
cluster,279,0.36195958,,1.0,20
cluster,280,0.2808918,,1.0,25
cluster,281,0.2798122,,1.0,39
cluster,282,0.29049343,,1.0,15
cluster,283,0.34369674,,1.0,13
cluster,284,0.16888936,,1.0,39
cluster,285,0.33104426,,1.0,46
cluster,286,0.3968527,,1.0,22
cluster,287,0.36415356,,1.0,13
cluster,288,0.33294535,,0.972972972972973,37
cluster,289,0.2203093,,0.6521739130434783,46
cluster,290,0.20764434,,1.0,42
cluster,291,0.51379484,,1.0,12
cluster,292,0.25833535,,1.0,19
cluster,293,0.14414094,,1.0,16
cluster,294,0.25833634,,1.0,23
cluster,295,0.3299396,,1.0,27
cluster,296,0.26978287,,1.0,14
cluster,297,0.2730101,,1.0,17
cluster,298,0.3070511,,1.0,17
cluster,299,0.3131012,,0.9545454545454546,22
cluster,300,0.3225723,,1.0,33
cluster,301,0.22011682,,1.0,29
cluster,302,0.31422552,,1.0,20
cluster,303,0.25586566,,1.0,39
cluster,304,0.2708667,,1.0,26
cluster,305,0.37353358,,1.0,21
cluster,306,0.19653885,,1.0,18
cluster,307,0.40190327,,1.0,11
cluster,308,0.34774166,,1.0,21
cluster,309,0.29256004,,1.0,15
cluster,310,0.3222343,,1.0,28
cluster,311,0.29923436,,1.0,17
cluster,312,0.34466082,,1.0,10
cluster,313,0.25174415,,1.0,13
cluster,314,0.19461413,,1.0,30
cluster,315,0.35042602,,1.0,10
cluster,316,0.33851057,,1.0,30
cluster,317,0.3150434,,1.0,15
cluster,318,0.34463575,,1.0,36
cluster,319,0.35266,,1.0,15
cluster,320,0.31578583,,1.0,13
cluster,321,0.3327509,,1.0,20
cluster,322,0.29750213,,1.0,24
cluster,323,0.3133525,,1.0,46
cluster,324,0.30657756,,1.0,43
cluster,325,0.2775311,,1.0,15
cluster,326,0.21799432,,1.0,28
cluster,327,0.31589833,,1.0,11
cluster,328,0.28534523,,1.0,24
cluster,329,0.41854644,,1.0,21
cluster,330,0.36870828,,1.0,16
cluster,331,0.3290644,,1.0,15
cluster,332,0.24549791,,1.0,51
cluster,333,0.33991444,,1.0,11
cluster,334,0.1411141,,0.9873417721518988,79
cluster,335,0.29742372,,1.0,18
cluster,336,0.32820395,,1.0,11
cluster,337,0.29394278,,1.0,22
cluster,338,0.23095001,,1.0,34
cluster,339,0.3266421,,1.0,15
cluster,340,0.11110847,,1.0,25
cluster,341,0.3663964,,1.0,15
cluster,342,0.19198118,,1.0,16
cluster,343,0.28439745,,1.0,39
cluster,344,0.31626463,,1.0,10
cluster,345,0.321746,,1.0,13
cluster,346,0.2505187,,1.0,37
cluster,347,0.37547502,,1.0,15
cluster,348,0.19229011,,1.0,55
cluster,349,0.3221167,,1.0,26
cluster,350,0.22057828,,1.0,46
cluster,351,0.27120566,,1.0,20
cluster,352,0.28252542,,1.0,11
cluster,353,0.31289157,,1.0,24
cluster,354,0.28671077,,1.0,21
cluster,355,0.24602318,,1.0,41
