type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30569175,0.30264731346438495,,
cluster,0,0.32697424,,1.0,29
cluster,1,0.57730836,,1.0,12
cluster,2,0.32793644,,0.95,20
cluster,3,0.40373826,,1.0,16
cluster,4,0.44634247,,1.0,40
cluster,5,0.4121883,,1.0,24
cluster,6,0.40453988,,1.0,14
cluster,7,0.33187392,,1.0,25
cluster,8,0.3290213,,0.9230769230769231,13
cluster,9,0.37798312,,1.0,26
cluster,10,0.35345447,,1.0,36
cluster,11,0.46815214,,1.0,12
cluster,12,0.40042135,,1.0,30
cluster,13,0.2944102,,1.0,23
cluster,14,0.2934606,,1.0,20
cluster,15,0.5117683,,0.9615384615384616,26
cluster,16,0.36990356,,1.0,30
cluster,17,0.47001252,,1.0,52
cluster,18,0.36871147,,1.0,11
cluster,19,0.32720336,,1.0,15
cluster,20,0.3296837,,1.0,12
cluster,21,0.19947058,,1.0,46
cluster,22,0.4252774,,1.0,13
cluster,23,0.29428545,,1.0,15
cluster,24,0.29024827,,1.0,16
cluster,25,0.46528792,,1.0,50
cluster,26,0.46132463,,1.0,26
cluster,27,0.36350608,,1.0,17
cluster,28,0.41645175,,1.0,25
cluster,29,0.30616543,,1.0,22
cluster,30,0.41475886,,1.0,41
cluster,31,0.34831557,,1.0,45
cluster,32,0.42303288,,1.0,13
cluster,33,0.51603097,,1.0,24
cluster,34,0.29262462,,1.0,27
cluster,35,0.35765126,,1.0,26
cluster,36,0.3167082,,1.0,24
cluster,37,0.3917257,,1.0,26
cluster,38,0.44715017,,1.0,32
cluster,39,0.4062417,,0.9615384615384616,26
cluster,40,0.42803627,,1.0,17
cluster,41,0.32799906,,1.0,19
cluster,42,0.39581352,,1.0,10
cluster,43,0.39488083,,1.0,53
cluster,44,0.43832406,,1.0,23
cluster,45,0.26014408,,1.0,21
cluster,46,0.17724143,,1.0,27
cluster,47,0.46766305,,1.0,28
cluster,48,0.3948544,,1.0,24
cluster,49,0.34486768,,1.0,26
cluster,50,0.35502207,,1.0,22
cluster,51,0.29302892,,1.0,11
cluster,52,0.28997052,,1.0,21
cluster,53,0.18202804,,1.0,10
cluster,54,0.43447277,,1.0,28
cluster,55,0.34562075,,1.0,19
cluster,56,0.20807926,,1.0,99
cluster,57,0.23244523,,1.0,79
cluster,58,0.34089726,,0.9615384615384616,26
cluster,59,0.31399143,,1.0,26
cluster,60,0.3051093,,1.0,11
cluster,61,0.33426127,,1.0,27
cluster,62,0.22758812,,1.0,13
cluster,63,0.21486184,,1.0,39
cluster,64,0.30555597,,1.0,19
cluster,65,0.3714738,,1.0,10
cluster,66,0.32871097,,1.0,33
cluster,67,0.40946886,,1.0,12
cluster,68,0.4824494,,1.0,41
cluster,69,0.294354,,1.0,24
cluster,70,0.32669336,,1.0,16
cluster,71,0.16925105,,1.0,35
cluster,72,0.30905294,,1.0,45
cluster,73,0.29490677,,1.0,17
cluster,74,0.42313856,,1.0,20
cluster,75,0.28371787,,1.0,20
cluster,76,0.31073207,,1.0,16
cluster,77,0.18507011,,1.0,63
cluster,78,0.3682869,,1.0,17
cluster,79,0.40138552,,1.0,23
cluster,80,0.3339483,,1.0,22
cluster,81,0.57917756,,1.0,28
cluster,82,0.32105085,,1.0,22
cluster,83,0.24214675,,1.0,16
cluster,84,0.44339478,,1.0,29
cluster,85,0.34187222,,1.0,12
cluster,86,0.22635283,,1.0,27
cluster,87,0.34258166,,1.0,18
cluster,88,0.35273692,,1.0,27
cluster,89,0.2684553,,1.0,11
cluster,90,0.3261074,,1.0,23
cluster,91,0.3057614,,1.0,28
cluster,92,0.26212233,,1.0,18
cluster,93,0.3604895,,1.0,12
cluster,94,0.2371888,,0.8928571428571429,28
cluster,95,0.09326734,,1.0,23
cluster,96,0.13439918,,1.0,19
cluster,97,0.23974241,,1.0,30
cluster,98,0.47065708,,0.9375,16
cluster,99,0.424975,,1.0,12
cluster,100,0.29139414,,1.0,34
cluster,101,0.5306916,,1.0,42
cluster,102,0.45821217,,1.0,29
cluster,103,0.51056117,,1.0,12
cluster,104,0.39720255,,1.0,19
cluster,105,0.3062412,,1.0,16
cluster,106,0.45421514,,1.0,24
cluster,107,0.4730253,,0.98,50
