type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.29708245,0.304504177173478,,
cluster,0,0.4781387,,1.0,27
cluster,1,0.3710965,,1.0,15
cluster,2,0.3309841,,1.0,18
cluster,3,0.31543705,,1.0,37
cluster,4,0.34509316,,1.0,28
cluster,5,0.536442,,1.0,29
cluster,6,0.33631775,,1.0,18
cluster,7,0.44330916,,1.0,29
cluster,8,0.3590887,,1.0,11
cluster,9,0.23265916,,1.0,34
cluster,10,0.36500883,,1.0,30
cluster,11,0.21801043,,1.0,40
cluster,12,0.33761495,,1.0,14
cluster,13,0.44911182,,1.0,50
cluster,14,0.2549725,,1.0,20
cluster,15,0.39964715,,1.0,25
cluster,16,0.46638706,,1.0,11
cluster,17,0.38402584,,1.0,33
cluster,18,0.7278292,,1.0,11
cluster,19,0.36750913,,1.0,16
cluster,20,0.3025022,,1.0,20
cluster,21,0.34318626,,1.0,19
cluster,22,0.32906696,,0.9615384615384616,26
cluster,23,0.34704456,,1.0,14
cluster,24,0.3089442,,0.9333333333333333,15
cluster,25,0.27480915,,0.9629629629629629,27
cluster,26,0.37310818,,0.9607843137254902,51
cluster,27,0.48050278,,1.0,52
cluster,28,0.3465131,,1.0,14
cluster,29,0.25152937,,1.0,30
cluster,30,0.23586404,,1.0,51
cluster,31,0.2594452,,1.0,16
cluster,32,0.43443292,,1.0,32
cluster,33,0.40234998,,1.0,52
cluster,34,0.21081,,1.0,35
cluster,35,0.3399722,,1.0,22
cluster,36,0.33905298,,1.0,22
cluster,37,0.34260014,,1.0,54
cluster,38,0.3447319,,0.9473684210526315,19
cluster,39,0.38726246,,1.0,11
cluster,40,0.29008663,,1.0,29
cluster,41,0.17100003,,0.6086956521739131,23
cluster,42,0.2659692,,1.0,19
cluster,43,0.4771561,,1.0,40
cluster,44,0.31896064,,1.0,25
cluster,45,0.31770274,,1.0,16
cluster,46,0.26424733,,1.0,14
cluster,47,0.35437074,,1.0,23
cluster,48,0.15706053,,1.0,15
cluster,49,0.2880043,,1.0,26
cluster,50,0.25345963,,1.0,18
cluster,51,0.16225925,,0.6153846153846154,26
cluster,52,0.2768832,,1.0,16
cluster,53,0.27786344,,1.0,16
cluster,54,0.3409392,,1.0,12
cluster,55,0.29153064,,1.0,50
cluster,56,0.2909826,,1.0,26
cluster,57,0.33482206,,1.0,21
cluster,58,0.37879214,,1.0,35
cluster,59,0.29079327,,1.0,15
cluster,60,0.35385436,,1.0,13
cluster,61,0.2176025,,1.0,15
cluster,62,0.22291028,,1.0,85
cluster,63,0.31156632,,1.0,45
cluster,64,0.45707428,,1.0,50
cluster,65,0.32616448,,1.0,28
cluster,66,0.24081425,,1.0,14
cluster,67,0.29906264,,1.0,25
cluster,68,0.2885143,,1.0,17
cluster,69,0.30633235,,1.0,16
cluster,70,0.27143076,,1.0,21
cluster,71,0.19468905,,1.0,27
