type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.1704899,0.11291610424697607,,
cluster,0,0.38145998,,1.0,26
cluster,1,0.435159,,0.9615384615384616,26
cluster,2,0.5252912,,1.0,11
cluster,3,0.37132594,,1.0,18
cluster,4,0.27419627,,1.0,11
cluster,5,0.46324697,,1.0,42
cluster,6,0.384808,,1.0,42
cluster,7,0.35890904,,1.0,25
cluster,8,0.33557403,,0.9411764705882353,17
cluster,9,0.3909875,,1.0,40
cluster,10,0.32047564,,1.0,40
cluster,11,0.33262217,,1.0,49
cluster,12,0.21851987,,1.0,55
cluster,13,0.35138148,,1.0,14
cluster,14,0.33165058,,1.0,24
cluster,15,0.340181,,1.0,19
cluster,16,0.3696181,,1.0,19
cluster,17,0.3300219,,1.0,23
cluster,18,0.37798947,,1.0,11
cluster,19,0.34092993,,1.0,22
cluster,20,0.399245,,1.0,11
cluster,21,0.30583417,,1.0,18
cluster,22,0.34445515,,1.0,19
cluster,23,0.33104143,,1.0,25
cluster,24,0.33195686,,1.0,13
cluster,25,0.43347415,,1.0,31
cluster,26,0.44405082,,1.0,51
cluster,27,0.28945848,,1.0,10
cluster,28,0.3634819,,1.0,16
cluster,29,0.34134868,,1.0,19
cluster,30,0.36676836,,1.0,16
cluster,31,0.2537068,,1.0,30
cluster,32,0.3333529,,1.0,17
cluster,33,0.23915562,,1.0,33
cluster,34,0.3739032,,1.0,23
cluster,35,0.2992725,,1.0,14
cluster,36,0.44074062,,1.0,15
cluster,37,0.3692924,,1.0,21
cluster,38,0.34175962,,1.0,16
cluster,39,0.37811843,,1.0,12
cluster,40,0.33900687,,0.9333333333333333,15
cluster,41,0.43272066,,1.0,32
cluster,42,0.37955683,,1.0,13
cluster,43,0.32472226,,1.0,12
cluster,44,0.36794123,,1.0,13
cluster,45,0.49735746,,1.0,25
cluster,46,0.43240723,,1.0,27
cluster,47,0.38717005,,1.0,17
cluster,48,0.3690411,,1.0,10
cluster,49,0.48544312,,1.0,27
cluster,50,0.3165989,,1.0,14
cluster,51,0.3853718,,1.0,39
cluster,52,0.4477203,,1.0,16
cluster,53,0.22314699,,1.0,55
cluster,54,0.18504687,,1.0,48
cluster,55,0.25932673,,1.0,22
cluster,56,0.27505144,,1.0,14
cluster,57,0.3303123,,1.0,32
cluster,58,0.41178522,,1.0,32
cluster,59,0.38231525,,1.0,11
cluster,60,0.27803174,,1.0,16
cluster,61,0.3307253,,1.0,11
cluster,62,0.438203,,1.0,10
cluster,63,0.42189422,,1.0,19
cluster,64,0.15343721,,0.6185982131621995,15894
cluster,65,0.43254185,,1.0,10
