type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.06457342952489853,0.2429880123380729,,
cluster,0,0.027728402987122536,,0.981271432339752,3791
cluster,1,0.04475022479891777,,0.32940066068900425,2119
cluster,2,0.10172189027070999,,0.9991489361702127,3525
cluster,3,0.05232362821698189,,0.3682559598494354,3188
cluster,4,0.04212912172079086,,0.33480370533745035,4534
cluster,5,0.027311794459819794,,0.3663003663003663,4095
cluster,6,0.14271149039268494,,1.0,3314
cluster,7,0.1646692454814911,,0.9869318181818182,1760
cluster,8,0.044582076370716095,,0.7611513952977368,4551
