type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.00442044110968709,0.20987096277159187,,
cluster,0,-0.09932902455329895,,0.8666103841283241,2369
cluster,1,-0.022094672545790672,,0.5101560200176627,3397
cluster,2,0.03785422444343567,,1.0,1182
cluster,3,-0.08628275990486145,,0.5014354066985646,2090
cluster,4,0.07472208142280579,,0.9387783115991764,7285
cluster,5,-0.05595707148313522,,0.7118126272912424,982
cluster,6,-0.046294957399368286,,0.9906308557151781,3202
cluster,7,0.11373799294233322,,0.34382808595702147,6003
cluster,8,-0.10109685361385345,,0.5486604076024731,4367
