type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.071177505,0.19762380530807278,,
cluster,0,-0.00045213464,,0.959498003422704,3506
cluster,1,0.14432813,,0.8495015337423313,5216
cluster,2,0.0067430236,,0.6328125,2176
cluster,3,0.09254282,,0.3363850379283285,3823
cluster,4,-0.0438778,,0.4248438074237413,2721
cluster,5,0.112428024,,0.3254437869822485,5408
cluster,6,-0.025168123,,0.886600768808347,3642
cluster,7,0.066028774,,0.9981424148606811,1615
cluster,8,0.20738623,,0.8685920577617329,2770
