type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.029183246,0.18858456553021954,,
cluster,0,-0.003433204,,0.9528520636883598,6469
cluster,1,0.20713545,,0.42015825658321443,7709
cluster,2,-0.011313363,,0.9334532374100719,1112
cluster,3,-0.050762083,,0.6053550640279395,2577
cluster,4,-0.08238103,,0.3743110472082435,4173
cluster,5,0.12941535,,0.8052478134110788,1715
cluster,6,0.058537215,,1.0,1499
cluster,7,-0.08916741,,0.5551111111111111,2250
cluster,8,-0.0875791,,0.9054254372961755,3373
