type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.3070724308490753,0.27987513043691187,,
cluster,0,-0.2523554563522339,,0.4327731092436975,2380
cluster,1,0.2543252408504486,,0.33337127247894377,8786
cluster,2,0.20602025091648102,,0.9626210826210826,8775
cluster,3,0.45102766156196594,,0.752635277582572,1423
cluster,4,0.8820149302482605,,0.8328792007266121,2202
cluster,5,0.5673618316650391,,0.7897493453049008,2673
cluster,6,0.4587458670139313,,1.0,1211
cluster,7,0.9532862901687622,,0.9226190476190477,504
cluster,8,0.30899325013160706,,0.9452617174136162,2923
