type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.29411092,0.25160816136744574,,
cluster,0,-0.2575303,,0.7623169107856191,4506
cluster,1,0.18351473,,0.5882057716436637,3985
cluster,2,0.13336915,,0.9933581296493093,3764
cluster,3,0.83195347,,0.8182644252612449,2201
cluster,4,0.95979965,,0.9909502262443439,442
cluster,5,0.5186649,,0.9559821280820784,6043
cluster,6,0.31471422,,0.3407179244165383,8441
cluster,7,0.43794173,,0.7796610169491526,354
cluster,8,0.7074492,,0.901840490797546,1141
