type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.7418054,0.26670726814218493,,
cluster,0,0.99998254,,1.0,24
cluster,1,0.9999656,,1.0,27
cluster,2,0.9999563,,1.0,28
cluster,3,0.9999821,,1.0,31
cluster,4,0.8415758,,1.0,15
cluster,5,0.7225381,,1.0,33
cluster,6,0.9999761,,1.0,29
cluster,7,0.9601513,,1.0,22
cluster,8,0.8890801,,1.0,23
cluster,9,0.99998045,,1.0,25
cluster,10,0.9975911,,1.0,50
cluster,11,0.9999683,,1.0,25
cluster,12,0.99990743,,1.0,29
cluster,13,0.9999485,,1.0,25
cluster,14,0.9972728,,1.0,47
cluster,15,0.99995637,,1.0,30
cluster,16,0.9975687,,1.0,52
cluster,17,0.99995613,,1.0,26
cluster,18,0.99983037,,1.0,27
cluster,19,0.999926,,1.0,26
cluster,20,0.9982773,,1.0,29
cluster,21,0.9999533,,1.0,24
cluster,22,0.9999734,,1.0,14
cluster,23,0.879174,,1.0,30
cluster,24,0.97360635,,1.0,25
cluster,25,0.9999128,,1.0,32
cluster,26,0.99872,,1.0,22
cluster,27,0.9997941,,1.0,26
cluster,28,0.9660079,,1.0,26
cluster,29,0.96107554,,0.9545454545454546,22
cluster,30,0.99986154,,1.0,17
cluster,31,0.9938864,,1.0,51
cluster,32,0.9921652,,1.0,52
cluster,33,0.99970907,,1.0,41
cluster,34,0.9998699,,1.0,19
cluster,35,0.9980565,,0.85,60
cluster,36,0.9999346,,1.0,12
cluster,37,0.9998705,,1.0,29
cluster,38,0.9998706,,0.95,20
cluster,39,0.9982854,,1.0,53
cluster,40,0.91217905,,0.9666666666666667,30
cluster,41,0.91721463,,1.0,30
cluster,42,0.9328844,,0.9642857142857143,28
cluster,43,0.8845182,,0.9285714285714286,28
cluster,44,0.9992514,,1.0,25
cluster,45,0.9996812,,1.0,24
cluster,46,0.99774826,,1.0,43
cluster,47,0.99909,,1.0,23
cluster,48,0.99895257,,0.967741935483871,31
cluster,49,0.911566,,1.0,22
cluster,50,0.7297734,,1.0,26
cluster,51,0.9981477,,1.0,51
cluster,52,0.95341367,,1.0,24
cluster,53,0.84301466,,1.0,26
cluster,54,0.99653476,,1.0,52
cluster,55,0.99869657,,1.0,18
cluster,56,0.9601957,,1.0,15
cluster,57,0.92180854,,1.0,48
cluster,58,0.99494606,,1.0,35
cluster,59,0.99768627,,1.0,31
cluster,60,0.9494106,,1.0,30
cluster,61,0.8341939,,0.9791666666666666,48
cluster,62,0.99610376,,1.0,17
cluster,63,0.9639419,,1.0,27
cluster,64,0.97921747,,1.0,22
cluster,65,0.9478921,,1.0,25
cluster,66,0.9440939,,1.0,25
cluster,67,0.99887395,,1.0,15
cluster,68,0.99371284,,1.0,29
cluster,69,0.9941273,,1.0,24
cluster,70,0.9755422,,1.0,54
cluster,71,0.9826278,,1.0,49
cluster,72,0.991926,,1.0,28
cluster,73,0.9774611,,1.0,18
cluster,74,0.8307308,,0.967741935483871,31
cluster,75,0.82936454,,0.96,25
cluster,76,0.9853358,,1.0,27
cluster,77,0.9798761,,1.0,27
cluster,78,0.98661613,,1.0,26
cluster,79,0.97146815,,1.0,28
cluster,80,0.8825572,,1.0,28
cluster,81,0.94443446,,1.0,21
cluster,82,0.9864376,,1.0,23
cluster,83,0.8864424,,1.0,29
cluster,84,0.9579764,,0.9166666666666666,12
cluster,85,0.9869749,,1.0,25
cluster,86,0.9974708,,0.9629629629629629,27
cluster,87,0.9778281,,1.0,30
cluster,88,0.97777027,,1.0,36
cluster,89,0.970087,,1.0,27
cluster,90,0.98258895,,1.0,19
cluster,91,0.87984747,,1.0,12
cluster,92,0.70899534,,0.9444444444444444,54
cluster,93,0.8157498,,1.0,20
cluster,94,0.94898427,,1.0,20
cluster,95,0.9912291,,1.0,22
cluster,96,0.9752334,,0.7741935483870968,31
cluster,97,0.76040673,,1.0,45
cluster,98,0.8172449,,1.0,40
cluster,99,0.9664974,,1.0,52
cluster,100,0.9387052,,1.0,54
cluster,101,0.8529344,,1.0,25
cluster,102,0.9952119,,1.0,21
cluster,103,0.9649708,,1.0,51
cluster,104,0.94314426,,0.9772727272727273,44
cluster,105,0.9386166,,1.0,55
cluster,106,0.9131219,,0.9791666666666666,48
cluster,107,0.95357513,,1.0,20
cluster,108,0.9871536,,1.0,29
cluster,109,0.9747866,,1.0,23
cluster,110,0.8488138,,0.96,25
cluster,111,0.8797606,,1.0,29
cluster,112,0.8900554,,1.0,30
cluster,113,0.8813249,,1.0,27
cluster,114,0.9049389,,1.0,28
cluster,115,0.98052406,,1.0,15
cluster,116,0.83277637,,1.0,61
cluster,117,0.88032055,,1.0,35
cluster,118,0.70758826,,1.0,15
cluster,119,0.94179916,,0.972972972972973,37
cluster,120,0.9296227,,0.9555555555555556,45
cluster,121,0.723698,,0.9523809523809523,21
cluster,122,0.8577412,,1.0,22
cluster,123,0.94928205,,1.0,22
cluster,124,0.96447414,,1.0,30
cluster,125,0.976806,,0.9655172413793104,29
cluster,126,0.70394003,,1.0,40
cluster,127,0.8421801,,1.0,12
cluster,128,0.93473136,,1.0,16
cluster,129,0.8745255,,1.0,48
cluster,130,0.9673796,,1.0,21
cluster,131,0.99246305,,1.0,11
cluster,132,0.8754398,,1.0,30
cluster,133,0.917158,,1.0,30
cluster,134,0.94291127,,0.9230769230769231,13
cluster,135,0.9700058,,0.96875,32
cluster,136,0.97940934,,1.0,20
cluster,137,0.9570086,,1.0,11
cluster,138,0.91136885,,1.0,27
cluster,139,0.9761615,,1.0,25
cluster,140,0.7597551,,1.0,14
cluster,141,0.8275211,,1.0,22
cluster,142,0.94231033,,1.0,28
cluster,143,0.9638294,,1.0,28
cluster,144,0.8514149,,1.0,22
cluster,145,0.8536984,,1.0,45
cluster,146,0.95290875,,1.0,54
cluster,147,0.93078005,,1.0,28
cluster,148,0.96046484,,1.0,23
cluster,149,0.8889548,,1.0,47
cluster,150,0.8075661,,1.0,27
cluster,151,0.9639194,,1.0,24
cluster,152,0.9825058,,1.0,23
cluster,153,0.9596382,,0.8461538461538461,13
cluster,154,0.9236903,,1.0,24
cluster,155,0.89530146,,1.0,20
cluster,156,0.7654541,,1.0,23
cluster,157,0.6750076,,1.0,18
cluster,158,0.8537346,,0.875,16
cluster,159,0.89857113,,0.927536231884058,69
cluster,160,0.8393749,,1.0,22
cluster,161,0.66793174,,1.0,25
cluster,162,0.96735454,,1.0,24
cluster,163,0.9213474,,1.0,30
cluster,164,0.8717566,,0.9743589743589743,39
cluster,165,0.93549305,,1.0,27
cluster,166,0.9317827,,1.0,35
cluster,167,0.715512,,0.9705882352941176,34
cluster,168,0.8850811,,1.0,25
cluster,169,0.95552784,,1.0,44
cluster,170,0.9788948,,1.0,42
cluster,171,0.88160306,,1.0,28
cluster,172,0.9800169,,1.0,19
cluster,173,0.95916486,,1.0,24
cluster,174,0.9512119,,0.5161290322580645,31
cluster,175,0.95431113,,1.0,24
cluster,176,0.91031957,,1.0,21
cluster,177,0.9397176,,0.9655172413793104,29
cluster,178,0.8487733,,1.0,12
cluster,179,0.9305393,,0.9565217391304348,23
cluster,180,0.98294014,,1.0,12
