type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.7646188,0.2691920974374164,,
cluster,0,0.9999615,,1.0,29
cluster,1,0.999982,,1.0,29
cluster,2,0.9999817,,1.0,24
cluster,3,0.9999652,,1.0,53
cluster,4,0.99857545,,1.0,52
cluster,5,0.99992836,,1.0,21
cluster,6,0.9999755,,1.0,24
cluster,7,0.99997336,,1.0,23
cluster,8,0.9999659,,1.0,29
cluster,9,0.99725467,,1.0,53
cluster,10,0.9999455,,1.0,32
cluster,11,0.9999806,,0.9629629629629629,27
cluster,12,0.9999697,,1.0,29
cluster,13,0.9999722,,1.0,30
cluster,14,0.9991724,,1.0,25
cluster,15,0.98985183,,1.0,30
cluster,16,0.99884397,,1.0,30
cluster,17,0.9999706,,1.0,27
cluster,18,0.99996346,,1.0,25
cluster,19,0.99939567,,1.0,43
cluster,20,0.9999761,,1.0,27
cluster,21,0.9987851,,1.0,47
cluster,22,0.99997157,,0.95,20
cluster,23,0.9999752,,1.0,25
cluster,24,0.9999363,,1.0,27
cluster,25,0.99420035,,1.0,50
cluster,26,0.99996895,,1.0,31
cluster,27,0.99310577,,1.0,25
cluster,28,0.9999276,,1.0,26
cluster,29,0.974414,,1.0,25
cluster,30,0.9918363,,1.0,26
cluster,31,0.9998038,,1.0,27
cluster,32,0.98471427,,1.0,51
cluster,33,0.9999576,,1.0,18
cluster,34,0.99991345,,1.0,26
cluster,35,0.9944832,,1.0,54
cluster,36,0.99986887,,1.0,29
cluster,37,0.99948245,,1.0,30
cluster,38,0.99936426,,1.0,14
cluster,39,0.9997069,,1.0,35
cluster,40,0.99103767,,1.0,40
cluster,41,0.99472153,,1.0,14
cluster,42,0.9922874,,1.0,27
cluster,43,0.99994904,,1.0,11
cluster,44,0.98338395,,1.0,25
cluster,45,0.9998062,,1.0,15
cluster,46,0.9699758,,1.0,28
cluster,47,0.9601584,,1.0,27
cluster,48,0.9712024,,1.0,25
cluster,49,0.9314576,,1.0,27
cluster,50,0.94935334,,1.0,28
cluster,51,0.9608909,,1.0,27
cluster,52,0.9428666,,1.0,29
cluster,53,0.8858616,,1.0,23
cluster,54,0.9101508,,1.0,28
cluster,55,0.9734743,,1.0,29
cluster,56,0.9635419,,1.0,28
cluster,57,0.8763749,,1.0,26
cluster,58,0.94589067,,1.0,27
cluster,59,0.97632676,,1.0,24
cluster,60,0.8433923,,1.0,22
cluster,61,0.9938943,,0.9787234042553191,47
cluster,62,0.99985564,,1.0,28
cluster,63,0.88540214,,1.0,26
cluster,64,0.93247896,,1.0,26
cluster,65,0.9997149,,1.0,22
cluster,66,0.9996599,,1.0,23
cluster,67,0.9933673,,1.0,45
cluster,68,0.9996401,,1.0,29
cluster,69,0.93749774,,1.0,22
cluster,70,0.94255096,,0.9642857142857143,28
cluster,71,0.8204086,,1.0,35
cluster,72,0.95733017,,1.0,21
cluster,73,0.99350196,,1.0,50
cluster,74,0.9938499,,1.0,23
cluster,75,0.9996538,,1.0,24
cluster,76,0.9992099,,1.0,25
cluster,77,0.7609871,,0.9666666666666667,30
cluster,78,0.97826356,,1.0,24
cluster,79,0.96755373,,1.0,31
cluster,80,0.9944904,,1.0,24
cluster,81,0.9964933,,1.0,30
cluster,82,0.99962693,,1.0,17
cluster,83,0.9731382,,1.0,28
cluster,84,0.9985932,,1.0,25
cluster,85,0.9627909,,0.9918032786885246,122
cluster,86,0.99667966,,1.0,23
cluster,87,0.9985394,,1.0,22
cluster,88,0.9675021,,1.0,54
cluster,89,0.9974412,,0.975,40
cluster,90,0.99486655,,1.0,40
cluster,91,0.9954824,,1.0,41
cluster,92,0.9821394,,1.0,24
cluster,93,0.9864038,,1.0,32
cluster,94,0.983745,,0.8928571428571429,56
cluster,95,0.95394534,,1.0,25
cluster,96,0.8432529,,1.0,17
cluster,97,0.89021194,,1.0,25
cluster,98,0.95988333,,1.0,30
cluster,99,0.9665904,,0.96875,32
cluster,100,0.98492694,,1.0,19
cluster,101,0.99816847,,1.0,19
cluster,102,0.97269654,,1.0,50
cluster,103,0.8786201,,1.0,28
cluster,104,0.694284,,1.0,30
cluster,105,0.9342386,,0.9772727272727273,44
cluster,106,0.953165,,1.0,26
cluster,107,0.9355038,,1.0,54
cluster,108,0.9350547,,0.9642857142857143,28
cluster,109,0.92986715,,1.0,27
cluster,110,0.9639666,,1.0,25
cluster,111,0.99774545,,1.0,23
cluster,112,0.8874616,,1.0,23
cluster,113,0.97094095,,1.0,30
cluster,114,0.995991,,1.0,26
cluster,115,0.82423055,,1.0,17
cluster,116,0.9913223,,1.0,27
cluster,117,0.9993191,,1.0,24
cluster,118,0.87058127,,1.0,40
cluster,119,0.9166637,,1.0,26
cluster,120,0.8316172,,1.0,22
cluster,121,0.74268734,,1.0,20
cluster,122,0.8876588,,1.0,61
cluster,123,0.80789274,,1.0,24
cluster,124,0.94771373,,1.0,17
cluster,125,0.94435763,,1.0,26
cluster,126,0.9859371,,1.0,34
cluster,127,0.8455764,,1.0,23
