type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.7493474,0.27197598526449956,,
cluster,0,0.99998206,,1.0,24
cluster,1,0.9989105,,1.0,53
cluster,2,0.99926066,,1.0,52
cluster,3,0.9999804,,1.0,29
cluster,4,0.9999715,,0.9629629629629629,27
cluster,5,0.9999774,,1.0,21
cluster,6,0.99994296,,1.0,29
cluster,7,0.9999567,,1.0,32
cluster,8,0.9980773,,1.0,27
cluster,9,0.9984169,,1.0,14
cluster,10,0.9774901,,1.0,24
cluster,11,0.88392484,,1.0,23
cluster,12,0.99997133,,1.0,29
cluster,13,0.99971527,,1.0,53
cluster,14,0.9999802,,1.0,27
cluster,15,0.99997926,,1.0,30
cluster,16,0.93946487,,1.0,24
cluster,17,0.96971714,,1.0,30
cluster,18,0.9999711,,1.0,31
cluster,19,0.99997336,,1.0,26
cluster,20,0.9958203,,1.0,47
cluster,21,0.99910593,,1.0,29
cluster,22,0.9999512,,0.95,20
cluster,23,0.99993205,,1.0,27
cluster,24,0.9999694,,1.0,25
cluster,25,0.9999608,,1.0,25
cluster,26,0.99990624,,1.0,27
cluster,27,0.9998874,,1.0,29
cluster,28,0.9999612,,1.0,26
cluster,29,0.9999436,,1.0,30
cluster,30,0.9984753,,1.0,26
cluster,31,0.99990517,,1.0,18
cluster,32,0.9807047,,1.0,25
cluster,33,0.9892534,,1.0,25
cluster,34,0.99985033,,1.0,43
cluster,35,0.99992496,,1.0,24
cluster,36,0.76015955,,1.0,26
cluster,37,0.83097327,,1.0,19
cluster,38,0.9999076,,1.0,28
cluster,39,0.78519654,,1.0,23
cluster,40,0.8897284,,1.0,26
cluster,41,0.9716234,,1.0,28
cluster,42,0.9469233,,1.0,25
cluster,43,0.999685,,1.0,27
cluster,44,0.98985344,,1.0,51
cluster,45,0.9997108,,1.0,44
cluster,46,0.8944183,,1.0,23
cluster,47,0.8265292,,1.0,26
cluster,48,0.95113754,,1.0,27
cluster,49,0.94352585,,1.0,25
cluster,50,0.99979556,,1.0,35
cluster,51,0.9948376,,0.8620689655172413,58
cluster,52,0.87236863,,1.0,30
cluster,53,0.94937354,,1.0,30
cluster,54,0.7375223,,1.0,25
cluster,55,0.82612056,,1.0,10
cluster,56,0.9486318,,1.0,22
cluster,57,0.94250005,,1.0,28
cluster,58,0.9040976,,1.0,29
cluster,59,0.9166975,,1.0,28
cluster,60,0.88573277,,1.0,32
cluster,61,0.8789485,,0.9666666666666667,30
cluster,62,0.9805595,,1.0,22
cluster,63,0.82446986,,1.0,24
cluster,64,0.8486088,,1.0,24
cluster,65,0.92651343,,1.0,24
cluster,66,0.8682891,,1.0,27
cluster,67,0.9997754,,1.0,21
cluster,68,0.99895537,,0.9787234042553191,47
cluster,69,0.9998411,,1.0,15
