type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.7345612,0.2524633962049703,,
cluster,0,0.9999828,,0.9615384615384616,26
cluster,1,0.99996984,,1.0,20
cluster,2,0.9999704,,1.0,28
cluster,3,0.999162,,1.0,53
cluster,4,0.99997985,,0.95,20
cluster,5,0.7699032,,1.0,23
cluster,6,0.8937336,,1.0,22
cluster,7,0.9999573,,1.0,41
cluster,8,0.9999778,,1.0,25
cluster,9,0.9999551,,1.0,25
cluster,10,0.9999733,,1.0,19
cluster,11,0.99996215,,1.0,31
cluster,12,0.99993837,,1.0,25
cluster,13,0.9996141,,1.0,38
cluster,14,0.9999448,,1.0,28
cluster,15,0.9998892,,1.0,50
cluster,16,0.99900657,,1.0,40
cluster,17,0.8114893,,1.0,21
cluster,18,0.87418234,,1.0,23
cluster,19,0.9999689,,1.0,25
cluster,20,0.99997187,,1.0,24
cluster,21,0.9998902,,1.0,29
cluster,22,0.9995353,,1.0,24
cluster,23,0.922679,,1.0,26
cluster,24,0.9717809,,1.0,14
cluster,25,0.99598414,,0.9814814814814815,54
cluster,26,0.9981337,,1.0,47
cluster,27,0.9956423,,1.0,37
cluster,28,0.99891216,,1.0,30
cluster,29,0.9999616,,1.0,26
cluster,30,0.9983719,,1.0,49
cluster,31,0.999965,,1.0,17
cluster,32,0.9998936,,1.0,52
cluster,33,0.9998968,,1.0,25
cluster,34,0.975273,,0.9642857142857143,28
cluster,35,0.9980197,,1.0,49
cluster,36,0.8416095,,1.0,12
cluster,37,0.71227413,,1.0,47
cluster,38,0.92861015,,1.0,34
cluster,39,0.9042412,,1.0,31
cluster,40,0.87150985,,1.0,25
cluster,41,0.8607823,,0.9411764705882353,34
cluster,42,0.9135296,,1.0,15
cluster,43,0.9994754,,0.9655172413793104,29
cluster,44,0.75688255,,1.0,27
cluster,45,0.857914,,1.0,16
cluster,46,0.99958354,,1.0,24
cluster,47,0.9998501,,1.0,24
cluster,48,0.99905014,,1.0,20
cluster,49,0.9982013,,0.96,25
cluster,50,0.9991414,,1.0,25
cluster,51,0.99770427,,1.0,24
cluster,52,0.9920517,,1.0,22
cluster,53,0.9377687,,1.0,54
cluster,54,0.9970667,,1.0,40
cluster,55,0.93078184,,1.0,29
cluster,56,0.8961026,,0.9736842105263158,38
cluster,57,0.9866697,,0.9285714285714286,42
cluster,58,0.9812744,,1.0,25
cluster,59,0.96885914,,0.9534883720930233,43
cluster,60,0.99328655,,0.9310344827586207,29
cluster,61,0.9426692,,1.0,24
cluster,62,0.97742933,,1.0,21
cluster,63,0.97650653,,1.0,48
cluster,64,0.9969831,,1.0,30
cluster,65,0.98797256,,0.9629629629629629,27
cluster,66,0.9746515,,1.0,31
cluster,67,0.99313146,,0.9375,16
cluster,68,0.9911626,,0.9629629629629629,27
cluster,69,0.98518735,,1.0,21
cluster,70,0.9663317,,1.0,23
cluster,71,0.9887933,,0.9473684210526315,19
cluster,72,0.9822924,,1.0,24
cluster,73,0.96398526,,0.9655172413793104,29
cluster,74,0.9860374,,0.9629629629629629,27
cluster,75,0.8538986,,1.0,16
cluster,76,0.8500013,,1.0,21
cluster,77,0.99724895,,1.0,20
cluster,78,0.8880507,,1.0,11
cluster,79,0.8776202,,1.0,39
cluster,80,0.9856196,,0.5161290322580645,31
cluster,81,0.9632565,,1.0,30
cluster,82,0.96784097,,1.0,25
cluster,83,0.9477305,,1.0,32
cluster,84,0.9769342,,0.9375,16
cluster,85,0.98125315,,1.0,19
cluster,86,0.8588269,,1.0,26
cluster,87,0.92613757,,1.0,20
cluster,88,0.96444654,,0.96,25
cluster,89,0.9607472,,1.0,26
cluster,90,0.8012416,,0.9130434782608695,23
cluster,91,0.9350276,,1.0,24
cluster,92,0.755438,,1.0,22
cluster,93,0.90095323,,1.0,22
cluster,94,0.947484,,1.0,49
cluster,95,0.96673346,,1.0,27
cluster,96,0.8802183,,0.8163265306122449,49
cluster,97,0.7339657,,1.0,10
cluster,98,0.8768435,,1.0,19
cluster,99,0.7363123,,1.0,26
cluster,100,0.79884136,,1.0,21
cluster,101,0.9464016,,1.0,26
cluster,102,0.96903735,,1.0,48
cluster,103,0.96693146,,1.0,28
cluster,104,0.73459154,,1.0,20
cluster,105,0.9791582,,1.0,29
cluster,106,0.920517,,1.0,53
cluster,107,0.6951587,,1.0,16
cluster,108,0.8831168,,1.0,12
cluster,109,0.98572206,,1.0,27
cluster,110,0.9053144,,1.0,16
cluster,111,0.85063845,,1.0,18
cluster,112,0.83458656,,1.0,27
cluster,113,0.97580373,,1.0,16
cluster,114,0.70677286,,1.0,12
cluster,115,0.7976963,,1.0,14
cluster,116,0.8583498,,1.0,24
cluster,117,0.68003833,,1.0,21
cluster,118,0.8772094,,1.0,54
cluster,119,0.970748,,1.0,17
cluster,120,0.9428469,,0.9130434782608695,23
cluster,121,0.95099145,,1.0,41
cluster,122,0.91767293,,1.0,20
cluster,123,0.86540025,,1.0,11
cluster,124,0.91014117,,1.0,14
cluster,125,0.8963096,,1.0,29
cluster,126,0.9307254,,0.9714285714285714,35
cluster,127,0.94794154,,1.0,29
cluster,128,0.966894,,1.0,20
cluster,129,0.8656249,,1.0,34
cluster,130,0.9702851,,1.0,35
cluster,131,0.9671845,,1.0,23
cluster,132,0.9282325,,0.95,20
cluster,133,0.968043,,1.0,34
cluster,134,0.73481876,,1.0,21
cluster,135,0.87481296,,1.0,21
cluster,136,0.8276962,,1.0,21
cluster,137,0.96942806,,0.9615384615384616,26
cluster,138,0.96352285,,0.96,25
cluster,139,0.78622943,,1.0,56
cluster,140,0.89399344,,1.0,25
cluster,141,0.8727832,,1.0,28
cluster,142,0.9368218,,1.0,30
cluster,143,0.9300294,,1.0,21
cluster,144,0.800592,,1.0,26
cluster,145,0.8793736,,1.0,30
cluster,146,0.8130383,,1.0,22
cluster,147,0.9730416,,1.0,16
cluster,148,0.9032624,,0.9714285714285714,35
cluster,149,0.76772046,,0.9444444444444444,18
cluster,150,0.79134333,,1.0,10
cluster,151,0.8813388,,1.0,59
cluster,152,0.91464305,,1.0,37
cluster,153,0.9413669,,0.9629629629629629,27
cluster,154,0.85427934,,0.9696969696969697,33
cluster,155,0.8574738,,0.9655172413793104,29
cluster,156,0.8020734,,1.0,42
cluster,157,0.8802904,,1.0,26
cluster,158,0.98167235,,1.0,22
cluster,159,0.7947919,,0.96875,32
cluster,160,0.94428307,,1.0,52
cluster,161,0.77029425,,1.0,16
cluster,162,0.6803288,,1.0,24
cluster,163,0.91846734,,0.9473684210526315,38
cluster,164,0.8201535,,0.9047619047619048,21
cluster,165,0.9671324,,1.0,23
cluster,166,0.84429383,,0.8461538461538461,13
cluster,167,0.75394714,,1.0,32
cluster,168,0.9346051,,1.0,14
cluster,169,0.86738265,,0.9795918367346939,49
cluster,170,0.8969046,,1.0,11
cluster,171,0.83218825,,0.9411764705882353,17
cluster,172,0.91545016,,0.9655172413793104,29
cluster,173,0.8867806,,1.0,50
cluster,174,0.9398175,,0.9354838709677419,31
cluster,175,0.9205008,,1.0,29
cluster,176,0.622561,,1.0,92
cluster,177,0.6239883,,1.0,36
cluster,178,0.8653517,,1.0,48
cluster,179,0.8930354,,0.896551724137931,58
cluster,180,0.6744765,,0.8181818181818182,33
cluster,181,0.887121,,0.896551724137931,29
cluster,182,0.934841,,1.0,23
cluster,183,0.9243621,,1.0,15
cluster,184,0.5463902,,1.0,43
cluster,185,0.67015916,,1.0,19
cluster,186,0.8838385,,0.9833333333333333,60
cluster,187,0.59986275,,1.0,51
cluster,188,0.75031006,,1.0,62
cluster,189,0.8322256,,0.9545454545454546,22
cluster,190,0.8813007,,1.0,27
cluster,191,0.79497397,,1.0,11
cluster,192,0.73889405,,1.0,29
cluster,193,0.81923246,,1.0,14
cluster,194,0.67151904,,1.0,24
cluster,195,0.9406046,,1.0,43
cluster,196,0.91481495,,1.0,18
cluster,197,0.8095504,,1.0,34
cluster,198,0.9680103,,1.0,16
cluster,199,0.93785954,,1.0,18
cluster,200,0.9114308,,0.8378378378378378,37
cluster,201,0.90773255,,1.0,21
cluster,202,0.71200025,,0.9807692307692307,52
cluster,203,0.899571,,0.9310344827586207,58
cluster,204,0.7338966,,1.0,10
cluster,205,0.8388571,,1.0,25
cluster,206,0.7729243,,1.0,26
cluster,207,0.9610941,,1.0,19
cluster,208,0.72734207,,1.0,36
cluster,209,0.90227485,,1.0,11
cluster,210,0.703029,,0.75,12
cluster,211,0.8716479,,1.0,27
cluster,212,0.7667259,,1.0,22
cluster,213,0.8261441,,1.0,29
cluster,214,0.8946998,,1.0,30
cluster,215,0.9488936,,0.9714285714285714,35
cluster,216,0.7470341,,0.95,20
cluster,217,0.5546094,,0.9,10
cluster,218,0.81390303,,0.9736842105263158,38
cluster,219,0.7323944,,0.6428571428571429,14
cluster,220,0.8365503,,1.0,22
cluster,221,0.82041794,,1.0,14
cluster,222,0.9015451,,1.0,24
cluster,223,0.6259269,,1.0,24
cluster,224,0.71010965,,0.75,12
cluster,225,0.81643164,,0.9090909090909091,11
cluster,226,0.76429105,,1.0,11
cluster,227,0.8739175,,1.0,12
cluster,228,0.71978074,,1.0,53
cluster,229,0.5789838,,0.918918918918919,37
cluster,230,0.9481747,,1.0,32
cluster,231,0.9190516,,0.9,30
cluster,232,0.8134004,,1.0,20
cluster,233,0.78975606,,0.9811320754716981,53
cluster,234,0.53768194,,0.9629629629629629,27
cluster,235,0.9009598,,1.0,39
cluster,236,0.6632255,,0.967741935483871,31
cluster,237,0.8438735,,1.0,48
cluster,238,0.9675296,,1.0,25
cluster,239,0.7553456,,1.0,11
cluster,240,0.5714859,,0.5909090909090909,22
cluster,241,0.90616035,,1.0,23
cluster,242,0.8171671,,1.0,37
cluster,243,0.74825275,,1.0,27
cluster,244,0.54474473,,0.9666666666666667,30
cluster,245,0.79360825,,1.0,34
cluster,246,0.83149266,,1.0,15
cluster,247,0.7146098,,1.0,13
cluster,248,0.7711425,,1.0,34
cluster,249,0.639848,,1.0,47
cluster,250,0.8989415,,1.0,24
cluster,251,0.5630245,,1.0,49
cluster,252,0.8453712,,0.9733333333333334,75
cluster,253,0.6873855,,0.9939024390243902,164
cluster,254,0.7178118,,1.0,54
cluster,255,0.7576031,,1.0,13
cluster,256,0.8247081,,1.0,34
cluster,257,0.910638,,1.0,28
cluster,258,0.8010407,,1.0,15
cluster,259,0.7421625,,1.0,33
cluster,260,0.81539524,,1.0,26
cluster,261,0.63942814,,1.0,33
cluster,262,0.55328476,,1.0,21
cluster,263,0.48782915,,0.9848484848484849,66
cluster,264,0.83013725,,1.0,11
cluster,265,0.6986789,,1.0,13
cluster,266,0.9149656,,1.0,16
cluster,267,0.62533903,,0.8292682926829268,82
cluster,268,0.7198452,,1.0,13
cluster,269,0.54741067,,0.8,25
cluster,270,0.82803965,,0.9629629629629629,27
cluster,271,0.70320415,,1.0,18
cluster,272,0.85396177,,1.0,24
cluster,273,0.68029463,,0.6923076923076923,39
cluster,274,0.7588612,,1.0,21
cluster,275,0.71817565,,1.0,22
cluster,276,0.9546273,,1.0,43
cluster,277,0.9066749,,1.0,12
cluster,278,0.7636226,,0.9615384615384616,26
cluster,279,0.81251115,,1.0,42
cluster,280,0.81604385,,1.0,39
cluster,281,0.64740896,,1.0,65
cluster,282,0.6083807,,1.0,11
cluster,283,0.62305677,,1.0,52
cluster,284,0.88096476,,0.9565217391304348,23
cluster,285,0.54564774,,1.0,64
cluster,286,0.681286,,1.0,77
cluster,287,0.8658411,,1.0,18
cluster,288,0.7815977,,1.0,43
cluster,289,0.678081,,1.0,30
cluster,290,0.6883308,,1.0,20
cluster,291,0.70952755,,1.0,23
cluster,292,0.97436374,,1.0,13
cluster,293,0.97486734,,1.0,24
cluster,294,0.91437757,,0.9655172413793104,29
cluster,295,0.67405593,,1.0,26
cluster,296,0.8322057,,1.0,37
cluster,297,0.6410816,,1.0,25
cluster,298,0.9472143,,1.0,20
cluster,299,0.7819939,,1.0,53
cluster,300,0.6431231,,1.0,16
cluster,301,0.8695545,,1.0,15
cluster,302,0.81926084,,1.0,38
cluster,303,0.71595526,,1.0,41
cluster,304,0.77972585,,1.0,19
cluster,305,0.8423264,,1.0,29
cluster,306,0.8779895,,1.0,12
cluster,307,0.6862583,,1.0,16
cluster,308,0.8132237,,1.0,37
cluster,309,0.5719183,,1.0,23
cluster,310,0.83382887,,1.0,12
cluster,311,0.8142617,,1.0,31
cluster,312,0.56385523,,1.0,15
cluster,313,0.7603126,,1.0,26
cluster,314,0.806496,,1.0,20
cluster,315,0.4921982,,0.5929203539823009,113
cluster,316,0.7018698,,1.0,20
cluster,317,0.84470475,,1.0,46
cluster,318,0.6292887,,1.0,45
cluster,319,0.757888,,1.0,12
cluster,320,0.7087077,,1.0,47
cluster,321,0.80280626,,1.0,30
cluster,322,0.6898952,,1.0,28
cluster,323,0.7868716,,1.0,17
cluster,324,0.643196,,1.0,32
cluster,325,0.63889396,,1.0,58
cluster,326,0.7527224,,0.7352941176470589,34
cluster,327,0.830758,,1.0,23
cluster,328,0.9459413,,1.0,25
cluster,329,0.8597463,,0.975,40
cluster,330,0.91181314,,1.0,11
cluster,331,0.75746286,,1.0,22
cluster,332,0.81852496,,1.0,16
cluster,333,0.91047096,,1.0,19
cluster,334,0.7377508,,1.0,22
cluster,335,0.83820325,,1.0,24
cluster,336,0.7505242,,0.8666666666666667,15
cluster,337,0.8426346,,1.0,46
cluster,338,0.730119,,1.0,60
cluster,339,0.56730527,,0.8214285714285714,28
cluster,340,0.8930305,,1.0,20
cluster,341,0.88500386,,0.9310344827586207,29
cluster,342,0.74891585,,0.725,40
cluster,343,0.8501123,,1.0,49
cluster,344,0.88946295,,1.0,12
cluster,345,0.8107817,,1.0,43
cluster,346,0.69888824,,0.975609756097561,41
cluster,347,0.8859595,,1.0,34
cluster,348,0.77649075,,1.0,31
cluster,349,0.88095695,,1.0,30
cluster,350,0.6117022,,1.0,27
cluster,351,0.7273811,,1.0,19
cluster,352,0.88742834,,1.0,23
cluster,353,0.937444,,1.0,42
cluster,354,0.81080335,,1.0,42
cluster,355,0.76594377,,0.9615384615384616,26
cluster,356,0.66176814,,1.0,19
cluster,357,0.5537436,,1.0,10
cluster,358,0.8441955,,1.0,23
cluster,359,0.8593808,,1.0,22
cluster,360,0.8078548,,1.0,15
cluster,361,0.77834,,1.0,13
cluster,362,0.8871553,,1.0,24
cluster,363,0.8248728,,1.0,22
cluster,364,0.87939954,,1.0,26
cluster,365,0.8528857,,1.0,20
cluster,366,0.71805876,,0.5625,16
cluster,367,0.8515162,,1.0,15
cluster,368,0.557188,,1.0,29
cluster,369,0.7440407,,0.9,10
cluster,370,0.69896126,,0.9333333333333333,15
cluster,371,0.73242116,,1.0,11
cluster,372,0.80953854,,1.0,46
cluster,373,0.7892875,,0.8181818181818182,11
cluster,374,0.75178504,,1.0,16
cluster,375,0.7378381,,0.9166666666666666,24
cluster,376,0.80359274,,1.0,13
cluster,377,0.7362444,,1.0,31
cluster,378,0.609828,,0.9666666666666667,30
cluster,379,0.7839127,,1.0,14
cluster,380,0.6410708,,1.0,13
cluster,381,0.7115919,,1.0,12
cluster,382,0.764901,,1.0,15
cluster,383,0.6012597,,0.95,40
cluster,384,0.8791329,,1.0,30
cluster,385,0.8247189,,0.8653846153846154,52
cluster,386,0.65016896,,0.8620689655172413,29
cluster,387,0.64514023,,0.8666666666666667,30
cluster,388,0.6629501,,1.0,66
cluster,389,0.67845976,,1.0,20
