type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.771516,0.25717853914899413,,
cluster,0,0.9999707,,1.0,26
cluster,1,0.99998116,,1.0,29
cluster,2,0.99955994,,1.0,42
cluster,3,0.9999618,,0.9615384615384616,26
cluster,4,0.9999597,,1.0,25
cluster,5,0.999982,,1.0,28
cluster,6,0.99901456,,1.0,53
cluster,7,0.9999753,,1.0,30
cluster,8,0.9999703,,0.95,20
cluster,9,0.99997795,,1.0,25
cluster,10,0.9999641,,1.0,20
cluster,11,0.9989831,,1.0,50
cluster,12,0.9999722,,1.0,21
cluster,13,0.9999784,,1.0,11
cluster,14,0.9999731,,1.0,29
cluster,15,0.99861765,,1.0,53
cluster,16,0.9998907,,1.0,25
cluster,17,0.99997497,,1.0,29
cluster,18,0.99417394,,1.0,28
cluster,19,0.9998666,,1.0,30
cluster,20,0.9285988,,1.0,19
cluster,21,0.9946261,,1.0,11
cluster,22,0.99996316,,1.0,28
cluster,23,0.96225244,,1.0,28
cluster,24,0.9215785,,0.9830508474576272,59
cluster,25,0.9998806,,1.0,29
cluster,26,0.85270035,,1.0,59
cluster,27,0.9999408,,1.0,26
cluster,28,0.9999705,,1.0,52
cluster,29,0.9999337,,1.0,29
cluster,30,0.9982143,,1.0,47
cluster,31,0.92728096,,1.0,21
cluster,32,0.9765907,,1.0,24
cluster,33,0.9998906,,1.0,53
cluster,34,0.9547008,,1.0,27
cluster,35,0.8826724,,0.9714285714285714,35
cluster,36,0.99971163,,1.0,44
cluster,37,0.9999419,,1.0,27
cluster,38,0.9999582,,1.0,40
cluster,39,0.9277691,,1.0,31
cluster,40,0.9999641,,1.0,28
cluster,41,0.9999536,,1.0,30
cluster,42,0.9029162,,1.0,25
cluster,43,0.80685186,,1.0,21
cluster,44,0.97692114,,1.0,30
cluster,45,0.998598,,1.0,18
cluster,46,0.9993704,,1.0,24
cluster,47,0.9177849,,1.0,25
cluster,48,0.8718561,,0.8166666666666667,60
cluster,49,0.9999442,,1.0,24
cluster,50,0.92986685,,1.0,24
cluster,51,0.9389943,,1.0,29
cluster,52,0.8956001,,1.0,30
cluster,53,0.9537233,,1.0,32
cluster,54,0.99991393,,1.0,25
cluster,55,0.8282099,,1.0,19
cluster,56,0.71416706,,1.0,15
cluster,57,0.9475388,,1.0,23
cluster,58,0.8825725,,1.0,30
cluster,59,0.9127945,,1.0,31
cluster,60,0.99227965,,1.0,19
cluster,61,0.99625385,,0.9811320754716981,53
cluster,62,0.87340516,,1.0,32
cluster,63,0.9259797,,1.0,27
cluster,64,0.83472484,,1.0,26
cluster,65,0.9867294,,1.0,26
cluster,66,0.995858,,0.9705882352941176,34
cluster,67,0.9998644,,1.0,30
cluster,68,0.9537813,,1.0,20
cluster,69,0.9577322,,1.0,14
cluster,70,0.95367616,,1.0,27
cluster,71,0.81167376,,1.0,16
cluster,72,0.9021363,,0.9705882352941176,34
cluster,73,0.99980533,,1.0,27
cluster,74,0.9959528,,1.0,58
cluster,75,0.8949507,,1.0,20
cluster,76,0.7253781,,1.0,17
cluster,77,0.9953377,,0.9629629629629629,27
cluster,78,0.99972045,,1.0,29
cluster,79,0.988345,,0.9615384615384616,26
cluster,80,0.70860976,,0.967741935483871,31
cluster,81,0.8424732,,1.0,11
cluster,82,0.79270935,,1.0,19
cluster,83,0.89018244,,1.0,23
cluster,84,0.9882416,,1.0,22
cluster,85,0.8958378,,1.0,24
cluster,86,0.8544705,,1.0,30
cluster,87,0.716849,,1.0,18
cluster,88,0.75801325,,1.0,28
cluster,89,0.9373319,,1.0,22
cluster,90,0.8710452,,1.0,34
cluster,91,0.97419965,,1.0,32
cluster,92,0.9984471,,1.0,25
cluster,93,0.999475,,1.0,24
cluster,94,0.9083616,,1.0,24
cluster,95,0.99976856,,1.0,24
cluster,96,0.96535003,,1.0,26
cluster,97,0.75933856,,1.0,57
cluster,98,0.9999183,,1.0,26
cluster,99,0.9966739,,1.0,21
cluster,100,0.7884168,,1.0,24
cluster,101,0.86922073,,1.0,17
cluster,102,0.7927752,,1.0,30
cluster,103,0.6932774,,1.0,29
cluster,104,0.8799287,,1.0,18
cluster,105,0.87118536,,1.0,24
cluster,106,0.98480445,,1.0,48
cluster,107,0.9997086,,1.0,16
cluster,108,0.98089856,,1.0,24
cluster,109,0.99954015,,1.0,23
cluster,110,0.86659455,,1.0,24
cluster,111,0.8642174,,1.0,20
cluster,112,0.90566427,,1.0,49
cluster,113,0.89277464,,1.0,11
cluster,114,0.99924666,,1.0,33
cluster,115,0.8916376,,1.0,30
cluster,116,0.98518586,,1.0,25
cluster,117,0.9350011,,1.0,50
cluster,118,0.8168009,,1.0,24
cluster,119,0.7479037,,1.0,20
cluster,120,0.9994765,,1.0,23
cluster,121,0.9966149,,1.0,36
cluster,122,0.78377765,,1.0,24
cluster,123,0.7442564,,1.0,57
cluster,124,0.558013,,1.0,48
cluster,125,0.99307114,,0.9761904761904762,42
cluster,126,0.9991005,,1.0,20
cluster,127,0.9963009,,1.0,17
cluster,128,0.8482338,,1.0,59
cluster,129,0.96729684,,1.0,46
cluster,130,0.9980493,,1.0,27
cluster,131,0.8778896,,1.0,28
cluster,132,0.9891518,,1.0,25
cluster,133,0.9865015,,0.9666666666666667,30
cluster,134,0.80622137,,1.0,23
cluster,135,0.99811286,,0.96,25
cluster,136,0.9667356,,1.0,25
cluster,137,0.8859096,,1.0,22
cluster,138,0.92024374,,0.7959183673469388,49
cluster,139,0.9889328,,0.975,40
cluster,140,0.992935,,1.0,38
