type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.26578304171562195,0.3653602808928845,,
cluster,0,0.35216376185417175,,0.9995423340961098,4370
cluster,1,0.27675193548202515,,0.33065420560747666,5350
cluster,2,0.20247040688991547,,0.9979317476732161,2901
cluster,3,0.9998072385787964,,1.0,52
cluster,4,0.3524385988712311,,0.24733653645289325,4787
cluster,5,0.3326137065887451,,0.9195305951383068,1193
cluster,6,0.3415810167789459,,0.9728699893308946,6561
cluster,7,-0.2609803080558777,,0.8971381169639154,2411
cluster,8,0.26193928718566895,,0.9587945879458795,3252
