type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30647707,0.2891756468125845,,
cluster,0,0.3435577,,0.9443219404630651,7256
cluster,1,0.92090577,,0.9266917293233082,532
cluster,2,0.0040041725,,0.661849710982659,2076
cluster,3,0.78530246,,0.8365810451727193,2258
cluster,4,-0.14341317,,0.8858898984500267,3742
cluster,5,0.32524797,,0.9413929784824462,3532
cluster,6,-0.10105472,,0.689727463312369,477
cluster,7,0.4181974,,0.8022486772486772,3024
cluster,8,0.35967937,,0.3620300751879699,7980
