type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.04281265,0.2898018917085781,,
cluster,0,0.0061126905,,0.5267690003743916,5342
cluster,1,0.08068768,,0.9994071146245059,5060
cluster,2,0.016378423,,0.29665711556829033,5235
cluster,3,0.11785896,,0.9758120248790602,2894
cluster,4,-0.026231423,,0.3083488930381435,3749
cluster,5,0.055755023,,0.965507876154264,3682
cluster,6,0.1124163,,0.9721577726218097,1724
cluster,7,0.020176338,,0.9914701455092825,1993
cluster,8,0.094492495,,0.996661101836394,1198
