type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.04439382,0.22210495714054315,,
cluster,0,-0.012727495,,0.9876840696117805,3735
cluster,1,0.087720096,,0.9295656548717088,5963
cluster,2,-0.07952017,,0.5898428603962651,4391
cluster,3,-0.042179827,,0.611988225849612,3737
cluster,4,-0.014241357,,0.3248,625
cluster,5,0.016513074,,0.6461942257217848,1905
cluster,6,0.2081011,,0.8564748201438849,2780
cluster,7,0.1254876,,0.40014048232264104,4271
cluster,8,0.076361425,,0.3435158501440922,3470
