type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.07297174,0.2531119777506319,,
cluster,0,0.06190121,,0.5655811174185839,3347
cluster,1,0.066508025,,0.419226393629124,3516
cluster,2,0.046382226,,0.9927483683828862,4137
cluster,3,0.045135774,,0.9026845637583892,2980
cluster,4,0.15152177,,0.9869337979094077,2296
cluster,5,0.031473365,,0.41995435278774046,3067
cluster,6,0.033465948,,0.3306104901117799,4652
cluster,7,0.08264546,,0.7809882747068677,2388
cluster,8,0.15315332,,0.9997774810858923,4494
