type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30107674,0.39855844029313175,,
cluster,0,0.42207748,,0.996372704602131,4411
cluster,1,0.7513309,,0.9930675909878682,2308
cluster,2,0.14296961,,0.36881047239612974,5271
cluster,3,0.26815546,,0.9923130677847659,1431
cluster,4,0.4118998,,0.9539666993143977,1021
cluster,5,0.14010014,,0.9880782069623272,4194
cluster,6,0.49390534,,0.9532619279454723,2054
cluster,7,0.37625438,,0.22916666666666666,3312
cluster,8,0.18827671,,0.9128727272727273,6875
