Cluster,Class,Count,Percentage of class (%)
-1,1,13510,72.87
-1,2,2748,52.43
-1,3,2173,57.15
-1,4,969,99.69
-1,5,676,96.57
-1,6,596,97.23
-1,7,366,66.67
-1,8,188,73.15
-1,9,176,86.7
0,1,30,0.16
1,2,11,0.21
2,1,1,0.01
2,2,17,0.32
3,7,15,2.73
4,1,36,0.19
5,3,12,0.32
5,7,1,0.18
6,1,15,0.08
7,2,31,0.59
8,2,25,0.48
8,4,1,0.1
9,3,26,0.68
10,1,25,0.13
11,1,24,0.13
12,3,24,0.63
13,3,14,0.37
14,2,52,0.99
15,2,15,0.29
16,2,20,0.38
17,2,40,0.76
18,1,45,0.24
19,2,22,0.42
20,2,50,0.95
21,2,11,0.21
22,7,12,2.19
23,1,14,0.08
24,2,41,0.78
25,2,53,1.01
26,2,12,0.23
27,2,32,0.61
28,1,12,0.06
29,3,10,0.26
30,1,27,0.15
31,3,27,0.71
32,3,26,0.68
33,1,45,0.24
34,1,13,0.07
35,1,1,0.01
35,2,25,0.48
36,3,25,0.66
37,1,26,0.14
38,1,28,0.15
39,2,32,0.61
40,1,16,0.09
41,2,27,0.52
42,1,16,0.09
43,2,13,0.25
44,3,15,0.39
45,1,21,0.11
46,1,17,0.09
47,1,23,0.12
48,2,18,0.34
49,3,27,0.71
50,2,79,1.51
51,3,101,2.66
52,3,23,0.6
53,3,12,0.32
54,3,21,0.55
55,1,10,0.05
56,1,1,0.01
56,2,25,0.48
57,3,12,0.32
58,1,34,0.18
59,1,13,0.07
60,1,20,0.11
61,2,20,0.38
62,1,19,0.1
63,3,24,0.63
64,1,52,0.28
65,2,49,0.93
65,3,1,0.03
66,2,24,0.46
67,2,25,0.48
68,1,10,0.05
69,2,14,0.27
70,2,30,0.57
71,1,23,0.12
72,1,10,0.05
73,2,22,0.42
74,2,28,0.53
75,2,28,0.53
76,2,23,0.44
77,2,17,0.32
78,2,28,0.53
79,2,30,0.57
80,3,21,0.55
81,2,15,0.29
81,6,1,0.16
82,2,12,0.23
83,2,12,0.23
84,2,19,0.36
85,2,33,0.63
86,2,42,0.8
87,2,29,0.55
88,2,23,0.44
89,1,22,0.12
90,3,60,1.58
91,3,28,0.74
92,3,27,0.71
93,1,15,0.08
94,1,41,0.22
95,3,21,0.55
96,1,34,0.18
97,1,14,0.08
97,3,7,0.18
98,1,18,0.1
99,1,14,0.08
100,1,18,0.1
101,1,25,0.13
102,1,35,0.19
103,1,22,0.12
104,3,17,0.45
105,3,20,0.53
106,3,21,0.55
107,3,20,0.53
108,3,13,0.34
109,3,63,1.66
110,3,17,0.45
111,1,25,0.13
112,4,1,0.1
112,6,3,0.49
112,9,26,12.81
113,1,11,0.06
114,1,15,0.08
115,1,18,0.1
116,1,26,0.14
117,3,15,0.39
118,1,33,0.18
119,1,45,0.24
120,1,22,0.12
121,3,13,0.34
122,2,18,0.34
123,2,42,0.8
124,1,50,0.27
125,1,21,0.11
126,3,21,0.55
127,2,20,0.38
128,2,19,0.36
129,1,22,0.12
130,2,14,0.27
131,2,17,0.32
132,1,52,0.28
133,1,19,0.1
134,2,20,0.38
134,6,1,0.16
135,1,25,0.13
136,1,19,0.1
137,2,15,0.29
138,1,26,0.14
139,1,10,0.05
140,1,24,0.13
141,1,18,0.1
142,1,16,0.09
143,1,26,0.14
144,1,15,0.08
145,1,10,0.05
146,1,41,0.22
147,2,24,0.46
148,1,15,0.08
149,2,47,0.9
149,7,1,0.18
150,3,52,1.37
151,3,13,0.34
152,3,37,0.97
153,1,39,0.21
154,3,51,1.34
155,2,21,0.4
156,1,16,0.09
157,2,21,0.4
158,1,10,0.05
159,2,16,0.31
160,2,22,0.42
161,3,22,0.58
162,1,20,0.11
163,2,38,0.73
164,2,11,0.21
165,1,11,0.06
166,1,21,0.11
167,1,44,0.24
168,2,14,0.27
169,2,17,0.32
170,2,46,0.88
171,2,15,0.29
172,2,22,0.42
173,2,12,0.23
174,2,16,0.31
175,1,19,0.1
176,2,18,0.34
177,2,10,0.19
178,2,21,0.4
179,1,1,0.01
179,3,27,0.71
180,2,36,0.69
181,2,17,0.32
182,2,30,0.57
183,2,28,0.53
184,2,22,0.42
185,2,29,0.55
186,2,10,0.19
187,2,17,0.32
188,2,40,0.76
189,2,34,0.65
190,3,9,0.24
190,7,13,2.37
191,1,1,0.01
191,3,99,2.6
192,1,10,0.05
193,3,12,0.32
194,1,29,0.16
195,1,21,0.11
196,1,16,0.09
197,1,39,0.21
198,1,50,0.27
199,1,18,0.1
200,1,15,0.08
201,3,21,0.55
202,1,20,0.11
203,2,53,1.01
204,1,24,0.13
205,2,25,0.48
206,3,20,0.53
207,3,14,0.37
208,3,16,0.42
208,7,1,0.18
209,3,10,0.26
210,2,43,0.82
211,2,1,0.02
211,7,20,3.64
212,2,36,0.69
213,1,29,0.16
214,1,11,0.06
