Cluster,Class,Count,Percentage of class (%)
-1,1,13415,72.36
-1,2,2745,52.38
-1,3,2170,57.08
-1,4,969,99.69
-1,5,672,96.0
-1,6,597,97.39
-1,7,378,68.85
-1,8,171,66.54
-1,9,177,87.19
0,1,29,0.16
1,2,12,0.23
2,1,1,0.01
2,2,19,0.36
3,7,16,2.91
4,2,40,0.76
5,3,24,0.63
6,3,14,0.37
7,3,25,0.66
8,3,12,0.32
8,7,1,0.18
9,1,26,0.14
10,1,36,0.19
11,2,12,0.23
12,2,30,0.57
13,2,23,0.44
14,2,20,0.38
15,2,25,0.48
15,4,1,0.1
16,2,30,0.57
17,2,52,0.99
18,2,11,0.21
19,1,15,0.08
20,7,12,2.19
21,1,46,0.25
22,1,13,0.07
23,2,15,0.29
24,3,16,0.42
25,2,50,0.95
26,1,26,0.14
27,1,17,0.09
28,3,25,0.66
29,1,22,0.12
30,2,41,0.78
31,1,45,0.24
32,1,13,0.07
33,3,24,0.63
34,3,27,0.71
35,3,26,0.68
36,1,24,0.13
37,1,26,0.14
38,2,32,0.61
39,1,1,0.01
39,2,25,0.48
40,1,17,0.09
41,2,19,0.36
42,1,10,0.05
43,2,53,1.01
44,3,23,0.6
45,1,21,0.11
46,3,27,0.71
47,2,28,0.53
48,2,24,0.46
49,2,26,0.5
50,3,22,0.58
51,3,11,0.29
52,3,21,0.55
53,1,10,0.05
54,1,28,0.15
55,1,19,0.1
56,3,99,2.6
57,2,79,1.51
58,1,1,0.01
58,2,25,0.48
59,2,26,0.5
60,1,11,0.06
61,3,27,0.71
62,2,13,0.25
63,1,39,0.21
64,1,19,0.1
65,1,10,0.05
66,1,33,0.18
67,3,12,0.32
68,1,41,0.22
69,1,24,0.13
70,1,16,0.09
71,1,35,0.19
72,3,45,1.18
73,3,17,0.45
74,3,20,0.53
75,2,20,0.38
76,3,16,0.42
77,3,63,1.66
78,3,17,0.45
79,1,23,0.12
80,2,22,0.42
81,2,28,0.53
82,3,22,0.58
83,2,16,0.31
84,2,29,0.55
85,1,12,0.06
86,1,27,0.15
87,1,18,0.1
88,1,27,0.15
89,2,11,0.21
90,2,23,0.44
91,2,28,0.53
92,2,18,0.34
93,1,12,0.06
94,4,1,0.1
94,6,2,0.33
94,9,25,12.32
95,1,23,0.12
96,1,19,0.1
97,2,30,0.57
98,2,15,0.29
98,6,1,0.16
99,2,12,0.23
100,2,34,0.65
101,2,42,0.8
102,2,29,0.55
103,2,12,0.23
104,2,19,0.36
105,1,16,0.09
106,2,24,0.46
107,2,49,0.93
107,3,1,0.03
108,1,13,0.07
109,1,22,0.12
110,2,19,0.36
111,1,53,0.29
112,1,21,0.11
113,1,15,0.08
114,3,15,0.39
115,1,22,0.12
116,1,23,0.12
117,1,10,0.05
118,2,20,0.38
119,1,52,0.28
120,3,25,0.66
121,2,42,0.8
122,1,45,0.24
123,1,15,0.08
124,1,22,0.12
125,1,24,0.13
126,2,22,0.42
127,1,12,0.06
128,3,12,0.32
129,1,50,0.27
130,1,25,0.13
131,3,14,0.37
132,3,37,0.97
133,1,29,0.16
134,1,15,0.08
135,3,59,1.55
136,3,28,0.74
137,2,18,0.34
138,1,18,0.1
139,1,10,0.05
140,2,11,0.21
141,1,21,0.11
142,2,13,0.25
143,1,40,0.22
144,1,16,0.09
145,1,19,0.1
146,1,37,0.2
147,2,47,0.9
147,7,1,0.18
148,2,20,0.38
148,6,1,0.16
149,1,27,0.15
150,2,15,0.29
151,1,20,0.11
152,3,51,1.34
153,1,14,0.08
154,2,15,0.29
155,3,50,1.32
156,1,12,0.06
157,2,20,0.38
158,3,23,0.6
159,2,21,0.4
160,1,12,0.06
161,1,11,0.06
162,2,14,0.27
163,2,16,0.31
164,2,20,0.38
165,2,37,0.71
166,2,18,0.34
167,2,16,0.31
168,2,20,0.38
169,2,44,0.84
170,2,29,0.55
171,2,12,0.23
172,2,16,0.31
173,2,36,0.69
174,2,21,0.4
175,2,22,0.42
176,2,21,0.4
177,2,30,0.57
178,2,32,0.61
179,2,28,0.53
180,1,16,0.09
181,3,12,0.32
182,1,17,0.09
183,2,12,0.23
184,1,29,0.16
185,1,1,0.01
185,3,27,0.71
186,2,33,0.63
187,1,12,0.06
188,1,15,0.08
189,2,53,1.01
190,2,22,0.42
191,2,41,0.78
192,3,19,0.5
192,7,1,0.18
193,1,44,0.24
194,2,27,0.52
195,1,21,0.11
196,3,10,0.26
196,7,12,2.19
197,1,1,0.01
197,3,93,2.45
198,3,23,0.6
199,1,10,0.05
200,1,50,0.27
201,3,11,0.29
202,1,17,0.09
203,1,13,0.07
204,2,41,0.78
205,1,21,0.11
206,1,17,0.09
207,3,32,0.84
208,3,21,0.55
209,3,33,0.87
210,1,39,0.21
211,3,20,0.53
212,3,50,1.32
213,3,10,0.26
214,1,26,0.14
215,1,11,0.06
216,1,17,0.09
217,1,38,0.2
