Cluster,Class,Count,Percentage of class (%)
-1,1,13146,70.91
-1,2,2531,48.29
-1,3,2085,54.84
-1,4,949,97.63
-1,5,634,90.57
-1,6,585,95.43
-1,7,354,64.48
-1,8,166,64.59
-1,9,156,76.85
0,1,27,0.15
1,7,14,2.55
2,1,18,0.1
3,1,29,0.16
4,1,18,0.1
5,2,36,0.69
6,1,21,0.11
7,1,29,0.16
8,1,36,0.19
9,1,11,0.06
10,3,14,0.37
11,1,38,0.2
12,2,29,0.55
13,2,29,0.55
14,2,50,0.95
15,2,11,0.21
16,2,33,0.63
17,1,17,0.09
18,1,14,0.08
19,2,49,0.93
19,3,3,0.08
20,2,52,0.99
21,3,14,0.37
21,7,1,0.18
22,1,20,0.11
23,2,11,0.21
24,1,1,0.01
24,2,26,0.5
25,1,1,0.01
25,2,25,0.48
26,3,24,0.63
27,2,31,0.59
28,2,19,0.36
29,2,32,0.61
30,2,23,0.44
31,1,16,0.09
32,1,29,0.16
33,1,15,0.08
34,2,52,0.99
35,2,53,1.01
36,1,10,0.05
37,2,26,0.5
38,3,14,0.37
39,1,18,0.1
40,3,19,0.5
41,1,12,0.06
42,1,9,0.05
42,2,14,0.27
42,6,1,0.16
43,2,39,0.74
44,2,51,0.97
45,2,26,0.5
46,1,22,0.12
47,1,35,0.19
48,3,17,0.45
49,1,16,0.09
50,1,17,0.09
51,1,26,0.14
52,2,40,0.76
53,1,16,0.09
53,3,11,0.29
54,3,30,0.79
55,1,37,0.2
56,2,20,0.38
57,3,87,2.29
58,1,15,0.08
59,2,11,0.21
60,3,13,0.34
60,7,1,0.18
61,4,10,1.03
62,1,22,0.12
63,1,18,0.1
64,1,1,0.01
64,2,18,0.34
65,2,15,0.29
66,1,25,0.13
67,1,21,0.11
68,2,28,0.53
69,3,25,0.66
70,1,49,0.26
71,3,11,0.29
71,7,14,2.55
72,2,12,0.23
72,3,1,0.03
73,1,13,0.07
74,3,26,0.68
75,1,24,0.13
76,3,64,1.68
77,3,28,0.74
