Cluster,Class,Count,Percentage of class (%)
-1,1,12928,69.73
-1,2,2530,48.27
-1,3,2078,54.66
-1,4,962,98.97
-1,5,630,90.0
-1,6,585,95.43
-1,7,349,63.57
-1,8,164,63.81
-1,9,158,77.83
0,1,27,0.15
1,7,15,2.73
2,1,18,0.1
3,1,37,0.2
4,1,28,0.15
5,2,29,0.55
6,1,18,0.1
7,2,29,0.55
8,1,11,0.06
9,2,34,0.65
10,1,30,0.16
11,1,40,0.22
12,3,14,0.37
13,2,50,0.95
14,1,20,0.11
15,3,25,0.66
16,2,11,0.21
17,2,33,0.63
18,2,11,0.21
19,1,16,0.09
20,1,20,0.11
21,2,19,0.36
22,1,1,0.01
22,2,25,0.48
23,1,14,0.08
24,3,14,0.37
24,7,1,0.18
25,1,1,0.01
25,2,26,0.5
26,2,49,0.93
26,3,2,0.05
27,2,52,0.99
28,3,14,0.37
29,2,30,0.57
30,2,51,0.97
31,1,16,0.09
32,2,32,0.61
33,2,52,0.99
34,1,35,0.19
35,1,22,0.12
36,2,22,0.42
37,2,54,1.03
38,1,1,0.01
38,2,18,0.34
39,1,11,0.06
40,1,29,0.16
41,1,8,0.04
41,2,14,0.27
41,6,1,0.16
42,3,19,0.5
43,2,40,0.76
44,2,25,0.48
45,1,16,0.09
46,1,14,0.08
47,2,23,0.44
48,1,15,0.08
49,2,26,0.5
50,1,18,0.1
51,1,16,0.09
51,3,10,0.26
52,1,16,0.09
53,1,16,0.09
54,2,12,0.23
55,1,50,0.27
56,1,26,0.14
57,1,21,0.11
58,1,35,0.19
59,2,15,0.29
60,1,13,0.07
61,1,15,0.08
62,3,85,2.24
63,3,45,1.18
64,3,50,1.32
65,3,28,0.74
66,1,14,0.08
67,3,25,0.66
68,2,17,0.32
69,3,16,0.42
70,1,21,0.11
71,2,27,0.52
72,1,23,0.12
73,1,13,0.07
74,1,23,0.12
75,1,11,0.06
76,2,39,0.74
77,3,12,0.32
77,7,14,2.55
78,2,25,0.48
78,4,1,0.1
79,2,13,0.25
79,3,3,0.08
80,2,28,0.53
81,1,17,0.09
82,2,18,0.34
83,3,23,0.6
84,2,17,0.32
84,3,12,0.32
85,2,18,0.34
86,1,1,0.01
86,2,24,0.46
87,1,21,0.11
88,1,7,0.04
88,2,94,1.79
89,1,26,0.14
90,3,20,0.53
91,1,45,0.24
92,1,18,0.1
93,1,20,0.11
94,3,16,0.42
95,3,23,0.6
96,4,1,0.1
96,5,60,8.57
97,2,18,0.34
98,2,12,0.23
99,1,10,0.05
100,1,56,0.3
101,3,25,0.66
102,2,25,0.48
103,2,16,0.31
104,2,25,0.48
105,1,25,0.13
106,1,27,0.15
107,1,17,0.09
108,1,18,0.1
109,1,18,0.1
110,2,38,0.73
111,3,24,0.63
112,3,13,0.34
113,3,16,0.42
114,3,22,0.58
115,3,19,0.5
116,3,15,0.39
117,3,19,0.5
118,3,27,0.71
119,3,75,1.97
120,3,27,0.71
121,3,14,0.37
122,3,23,0.6
123,3,25,0.66
124,3,26,0.68
125,3,65,1.71
126,3,16,0.42
127,3,16,0.42
128,3,45,1.18
129,3,25,0.66
130,1,12,0.06
131,7,24,4.37
132,1,23,0.12
133,1,25,0.13
134,1,45,0.24
135,1,11,0.06
136,3,15,0.39
137,3,12,0.32
138,3,64,1.68
139,3,28,0.74
140,1,24,0.13
141,2,30,0.57
142,2,48,0.92
142,7,1,0.18
143,2,21,0.4
144,1,1,0.01
144,3,21,0.55
145,1,20,0.11
145,3,1,0.03
146,1,10,0.05
147,1,24,0.13
148,1,13,0.07
149,3,52,1.37
150,1,45,0.24
151,1,27,0.15
152,1,27,0.15
153,2,15,0.29
154,2,32,0.61
155,2,15,0.29
156,2,16,0.31
157,2,25,0.48
158,1,20,0.11
159,2,17,0.32
160,2,32,0.61
161,1,1,0.01
161,2,12,0.23
162,2,17,0.32
163,2,28,0.53
164,1,21,0.11
165,2,29,0.55
166,2,24,0.46
167,2,21,0.4
168,2,21,0.4
169,2,21,0.4
170,2,23,0.44
171,1,26,0.14
172,2,59,1.13
173,1,13,0.07
174,2,41,0.78
175,2,24,0.46
176,2,19,0.36
177,2,45,0.86
178,2,25,0.48
179,2,42,0.8
180,2,29,0.55
181,2,27,0.52
182,2,12,0.23
183,2,21,0.4
184,2,11,0.21
185,2,15,0.29
185,6,1,0.16
186,2,11,0.21
187,3,25,0.66
187,7,12,2.19
188,2,20,0.38
189,2,26,0.5
190,2,22,0.42
191,2,14,0.27
192,2,24,0.46
193,2,42,0.8
194,2,12,0.23
195,2,32,0.61
196,2,10,0.19
197,2,12,0.23
198,2,23,0.44
199,1,15,0.08
200,1,11,0.06
201,1,11,0.06
202,1,22,0.12
203,6,2,0.33
203,7,15,2.73
204,3,28,0.74
205,1,17,0.09
206,1,25,0.13
207,1,14,0.08
208,1,28,0.15
209,2,35,0.67
210,2,11,0.21
211,1,18,0.1
212,1,24,0.13
213,1,26,0.14
214,3,19,0.5
215,1,18,0.1
216,1,13,0.07
217,1,12,0.06
218,2,14,0.27
219,2,15,0.29
220,2,22,0.42
221,2,38,0.73
222,1,10,0.05
223,1,12,0.06
224,1,24,0.13
225,5,10,1.43
226,1,12,0.06
227,4,7,0.72
227,6,23,3.75
227,9,45,22.17
228,8,93,36.19
229,3,22,0.58
230,1,1,0.01
230,3,100,2.63
231,1,38,0.2
232,1,15,0.08
233,2,36,0.69
234,1,19,0.1
235,1,24,0.13
236,1,22,0.12
237,1,13,0.07
238,2,34,0.65
239,3,20,0.53
240,2,51,0.97
241,3,23,0.6
242,1,53,0.29
243,1,15,0.08
244,1,23,0.12
245,1,22,0.12
246,3,37,0.97
247,2,31,0.59
248,1,20,0.11
249,1,40,0.22
250,3,38,1.0
251,7,33,6.01
252,3,13,0.34
253,2,21,0.4
254,1,12,0.06
255,1,17,0.09
256,1,18,0.1
257,1,18,0.1
258,1,30,0.16
259,1,17,0.09
260,1,44,0.24
261,2,12,0.23
261,3,34,0.89
261,7,3,0.55
262,3,29,0.76
263,1,13,0.07
264,1,29,0.16
265,1,22,0.12
266,1,12,0.06
267,1,15,0.08
268,2,44,0.84
268,6,1,0.16
269,3,19,0.5
270,3,50,1.32
271,2,1,0.02
271,7,27,4.92
272,3,28,0.74
272,7,4,0.73
273,7,22,4.01
274,2,14,0.27
274,3,16,0.42
274,7,7,1.28
275,2,1,0.02
275,3,37,0.97
275,7,22,4.01
276,1,13,0.07
277,1,20,0.11
278,1,18,0.1
279,1,1,0.01
279,2,30,0.57
280,1,13,0.07
281,1,28,0.15
282,1,27,0.15
283,1,28,0.15
284,1,17,0.09
285,1,16,0.09
286,1,12,0.06
287,1,42,0.23
288,1,13,0.07
289,1,17,0.09
290,1,20,0.11
291,1,29,0.16
292,1,14,0.08
293,1,17,0.09
294,1,12,0.06
295,1,50,0.27
296,1,38,0.2
297,1,18,0.1
298,1,18,0.1
299,1,18,0.1
300,1,28,0.15
301,1,24,0.13
302,1,18,0.1
303,1,12,0.06
304,1,14,0.08
305,1,41,0.22
306,1,18,0.1
307,1,10,0.05
308,1,11,0.06
309,1,35,0.19
310,1,25,0.13
311,1,17,0.09
312,1,10,0.05
313,1,19,0.1
314,1,232,1.25
315,1,42,0.23
316,1,15,0.08
317,1,13,0.07
318,1,11,0.06
319,1,17,0.09
320,1,38,0.2
321,1,19,0.1
322,1,34,0.18
323,1,13,0.07
324,1,50,0.27
325,1,41,0.22
326,1,21,0.11
327,1,33,0.18
328,1,15,0.08
329,1,19,0.1
330,1,18,0.1
331,1,14,0.08
332,1,28,0.15
333,1,25,0.13
334,1,23,0.12
335,1,57,0.31
335,4,1,0.1
336,1,24,0.13
337,1,17,0.09
338,1,26,0.14
339,1,10,0.05
340,1,10,0.05
341,1,23,0.12
342,1,31,0.17
343,1,11,0.06
344,1,24,0.13
345,1,39,0.21
346,1,16,0.09
347,1,24,0.13
348,1,41,0.22
349,1,15,0.08
350,1,50,0.27
351,1,11,0.06
352,1,27,0.15
353,1,16,0.09
354,1,27,0.15
355,1,18,0.1
356,1,17,0.09
357,1,32,0.17
358,1,10,0.05
359,1,42,0.23
360,1,14,0.08
361,1,28,0.15
362,1,13,0.07
363,1,25,0.13
364,1,17,0.09
365,1,21,0.11
366,1,12,0.06
367,1,15,0.08
368,1,33,0.18
369,1,20,0.11
370,1,29,0.16
371,1,33,0.18
372,1,11,0.06
373,1,11,0.06
374,1,47,0.25
375,1,42,0.23
376,1,15,0.08
377,1,19,0.1
378,1,87,0.47
379,1,13,0.07
380,1,23,0.12
381,1,28,0.15
382,1,11,0.06
383,1,11,0.06
384,1,45,0.24
385,1,46,0.25
386,1,25,0.13
387,1,20,0.11
388,1,44,0.24
389,1,27,0.15
390,1,24,0.13
391,1,49,0.26
392,1,37,0.2
393,1,13,0.07
394,1,42,0.23
395,1,108,0.58
396,1,16,0.09
397,1,11,0.06
398,1,50,0.27
