Cluster,Class,Count,Percentage of class (%)
-1,1,11762,63.44
-1,2,3527,67.3
-1,3,2649,69.67
-1,4,907,93.31
-1,5,602,86.0
-1,6,564,92.01
-1,7,419,76.32
-1,8,111,43.19
-1,9,172,84.73
0,2,13,0.25
1,1,19,0.1
2,1,26,0.14
3,1,26,0.14
4,1,25,0.13
5,1,15,0.08
6,1,41,0.22
7,2,12,0.23
8,1,25,0.13
8,2,3,0.06
9,1,24,0.13
10,1,16,0.09
11,1,29,0.16
12,1,22,0.12
13,1,21,0.11
14,1,16,0.09
15,2,28,0.53
16,1,19,0.1
17,1,23,0.12
18,1,51,0.28
19,1,12,0.06
20,2,26,0.5
21,1,16,0.09
22,1,28,0.15
22,2,4,0.08
23,1,21,0.11
24,1,1,0.01
24,2,17,0.32
25,1,11,0.06
26,1,17,0.09
27,1,20,0.11
27,2,5,0.1
27,5,1,0.14
28,1,103,0.56
29,1,21,0.11
30,1,17,0.09
31,2,15,0.29
32,1,9,0.05
32,2,1,0.02
33,1,1469,7.92
33,2,219,4.18
33,4,1,0.1
34,1,10,0.05
35,3,23,0.6
36,1,4,0.02
36,2,12,0.23
37,5,23,3.29
37,8,51,19.84
38,1,25,0.13
39,1,11,0.06
40,1,19,0.1
41,3,14,0.37
42,1,44,0.24
43,2,11,0.21
44,2,18,0.34
45,2,18,0.34
46,3,16,0.42
47,1,1,0.01
47,4,3,0.31
47,5,34,4.86
47,6,10,1.63
47,7,1,0.18
47,8,91,35.41
47,9,25,12.32
48,1,39,0.21
49,1,21,0.11
50,2,21,0.4
51,2,26,0.5
52,1,10,0.05
53,1,20,0.11
54,1,27,0.15
55,1,17,0.09
56,1,22,0.12
57,1,16,0.09
57,4,1,0.1
58,2,14,0.27
59,1,16,0.09
60,2,16,0.31
60,3,22,0.58
61,1,15,0.08
62,3,11,0.29
63,1,21,0.11
64,2,23,0.44
65,2,15,0.29
66,1,22,0.12
67,1,55,0.3
68,3,15,0.39
69,1,13,0.07
70,2,23,0.44
71,1,14,0.08
72,1,14,0.08
73,2,39,0.74
73,5,1,0.14
73,8,2,0.78
74,2,40,0.76
75,1,10,0.05
76,1,10,0.05
77,1,1,0.01
77,3,10,0.26
78,1,16,0.09
79,2,15,0.29
80,1,1,0.01
80,3,12,0.32
81,1,4,0.02
81,2,46,0.88
82,1,37,0.2
83,2,36,0.69
84,1,18,0.1
85,2,10,0.19
86,1,1,0.01
86,2,15,0.29
86,5,2,0.29
86,8,2,0.78
87,1,41,0.22
87,2,1,0.02
88,2,11,0.21
89,1,1,0.01
89,2,9,0.17
90,1,20,0.11
91,1,10,0.05
91,2,29,0.55
92,1,25,0.13
92,2,1,0.02
93,1,10,0.05
94,3,41,1.08
95,1,60,0.32
95,2,42,0.8
96,1,25,0.13
96,3,1,0.03
96,7,12,2.19
97,1,16,0.09
98,1,18,0.1
99,3,14,0.37
100,3,7,0.18
100,7,3,0.55
101,1,26,0.14
102,1,22,0.12
102,2,1,0.02
102,3,8,0.21
103,1,38,0.2
104,1,16,0.09
105,1,15,0.08
106,1,32,0.17
107,1,15,0.08
107,2,55,1.05
107,4,1,0.1
108,3,17,0.45
109,1,18,0.1
110,2,12,0.23
111,1,12,0.06
112,1,12,0.06
113,1,19,0.1
114,1,22,0.12
115,2,14,0.27
115,6,1,0.16
116,1,66,0.36
116,2,1,0.02
117,1,17,0.09
117,2,40,0.76
118,1,12,0.06
119,1,13,0.07
120,1,34,0.18
121,1,17,0.09
122,1,61,0.33
123,1,59,0.32
124,2,22,0.42
125,1,12,0.06
126,1,1,0.01
126,2,31,0.59
127,1,41,0.22
127,5,2,0.29
128,1,28,0.15
129,1,1,0.01
129,2,11,0.21
130,1,11,0.06
130,7,2,0.36
131,1,15,0.08
131,5,1,0.14
132,1,13,0.07
133,2,29,0.55
134,1,12,0.06
135,3,10,0.26
136,1,44,0.24
136,4,1,0.1
136,5,1,0.14
137,2,49,0.93
138,1,10,0.05
139,3,23,0.6
140,1,41,0.22
141,1,40,0.22
141,6,3,0.49
142,1,35,0.19
142,6,1,0.16
143,1,43,0.23
143,2,9,0.17
144,1,14,0.08
145,1,78,0.42
145,2,4,0.08
145,3,1,0.03
146,1,6,0.03
146,2,39,0.74
147,1,1,0.01
147,3,26,0.68
148,2,37,0.71
149,1,13,0.07
149,2,1,0.02
150,2,31,0.59
151,1,35,0.19
152,1,58,0.31
153,1,31,0.17
154,3,1,0.03
154,7,23,4.19
155,1,18,0.1
156,1,42,0.23
157,1,42,0.23
157,2,24,0.46
158,1,17,0.09
159,1,26,0.14
159,6,4,0.65
160,2,21,0.4
161,1,19,0.1
162,1,1,0.01
162,2,24,0.46
163,1,29,0.16
164,1,5,0.03
164,2,1,0.02
164,3,8,0.21
165,3,41,1.08
166,2,13,0.25
166,6,4,0.65
167,1,25,0.13
168,3,13,0.34
169,1,19,0.1
169,2,16,0.31
170,1,19,0.1
171,1,6,0.03
171,2,6,0.11
172,3,13,0.34
173,1,17,0.09
174,1,18,0.1
175,1,14,0.08
176,1,30,0.16
176,5,1,0.14
177,1,21,0.11
177,2,5,0.1
178,1,70,0.38
178,2,9,0.17
178,6,6,0.98
179,1,10,0.05
180,1,30,0.16
181,1,11,0.06
182,1,12,0.06
183,1,10,0.05
184,1,71,0.38
184,2,34,0.65
184,3,2,0.05
184,4,2,0.21
184,7,5,0.91
185,1,40,0.22
185,3,11,0.29
186,2,50,0.95
186,3,7,0.18
186,7,1,0.18
187,3,18,0.47
188,1,11,0.06
188,3,3,0.08
189,1,1,0.01
189,3,13,0.34
189,7,12,2.19
