Cluster,Class,Count,Percentage of class (%)
-1,1,16288,87.85
-1,2,3942,75.21
-1,3,2970,78.12
-1,4,971,99.9
-1,5,644,92.0
-1,6,611,99.67
-1,7,520,94.72
-1,8,242,94.16
-1,9,203,100.0
0,3,11,0.29
1,2,32,0.61
2,1,12,0.06
3,2,27,0.52
4,3,24,0.63
5,2,29,0.55
6,1,20,0.11
7,3,13,0.34
7,7,1,0.18
8,3,26,0.68
9,2,51,0.97
10,1,12,0.06
11,2,23,0.44
12,1,17,0.09
13,3,16,0.42
14,3,33,0.87
15,3,22,0.58
16,2,31,0.59
17,2,11,0.21
18,2,11,0.21
19,1,1,0.01
19,3,11,0.29
20,2,1,0.02
20,7,9,1.64
21,3,24,0.63
22,3,17,0.45
23,3,23,0.6
24,3,18,0.47
25,1,39,0.21
26,2,16,0.31
27,2,52,0.99
28,2,26,0.5
29,3,14,0.37
30,3,52,1.37
31,1,16,0.09
32,2,11,0.21
33,1,47,0.25
34,1,22,0.12
35,1,51,0.28
36,1,28,0.15
37,2,18,0.34
38,1,51,0.28
39,3,24,0.63
40,1,25,0.13
41,2,52,0.99
42,3,31,0.82
43,1,31,0.17
44,2,21,0.4
45,1,12,0.06
46,3,16,0.42
47,1,10,0.05
48,1,41,0.22
49,1,1,0.01
49,2,17,0.32
50,2,41,0.78
50,7,1,0.18
51,3,10,0.26
51,7,6,1.09
52,1,12,0.06
53,3,25,0.66
54,3,26,0.68
55,7,10,1.82
56,1,10,0.05
57,1,1,0.01
57,3,99,2.6
58,3,24,0.63
59,1,1,0.01
59,2,15,0.29
60,1,19,0.1
61,3,19,0.5
61,7,1,0.18
62,2,16,0.31
63,1,19,0.1
64,1,19,0.1
65,2,19,0.36
66,1,14,0.08
67,3,23,0.6
68,2,42,0.8
69,3,15,0.39
70,3,24,0.63
71,1,25,0.13
72,1,12,0.06
73,1,15,0.08
74,3,13,0.34
75,2,22,0.42
76,1,13,0.07
77,2,10,0.19
78,3,20,0.53
79,1,14,0.08
80,2,14,0.27
80,6,1,0.16
81,1,21,0.11
82,1,23,0.12
83,1,24,0.13
84,1,29,0.16
85,2,16,0.31
86,1,18,0.1
87,1,15,0.08
88,1,23,0.12
89,2,21,0.4
90,1,12,0.06
91,1,10,0.05
92,1,24,0.13
93,1,16,0.09
94,1,47,0.25
95,2,12,0.23
96,2,36,0.69
97,1,15,0.08
98,1,11,0.06
99,1,49,0.26
100,1,19,0.1
101,1,18,0.1
102,1,10,0.05
103,1,26,0.14
104,1,17,0.09
105,1,25,0.13
106,1,13,0.07
107,1,10,0.05
108,1,27,0.15
109,1,24,0.13
110,1,13,0.07
111,1,31,0.17
112,1,18,0.1
113,1,16,0.09
114,2,17,0.32
115,1,25,0.13
116,2,31,0.59
117,2,10,0.19
118,3,20,0.53
119,1,29,0.16
120,2,45,0.86
121,1,19,0.1
122,1,25,0.13
123,1,13,0.07
124,1,14,0.08
125,1,11,0.06
126,1,19,0.1
127,1,43,0.23
128,1,23,0.12
129,2,52,0.99
130,2,16,0.31
131,2,42,0.8
132,2,25,0.48
133,1,12,0.06
133,7,1,0.18
134,1,10,0.05
135,1,16,0.09
136,1,11,0.06
137,2,12,0.23
137,6,1,0.16
138,1,12,0.06
139,1,12,0.06
140,1,39,0.21
141,1,19,0.1
142,1,24,0.13
143,2,35,0.67
144,2,21,0.4
145,3,24,0.63
146,1,49,0.26
147,1,18,0.1
148,1,19,0.1
149,1,31,0.17
150,1,31,0.17
151,2,14,0.27
152,1,12,0.06
153,2,11,0.21
154,2,10,0.19
155,1,21,0.11
156,3,23,0.6
157,1,16,0.09
158,5,56,8.0
158,8,15,5.84
159,1,10,0.05
160,1,14,0.08
161,1,23,0.12
162,2,12,0.23
163,1,40,0.22
164,1,17,0.09
165,1,14,0.08
166,1,19,0.1
167,2,25,0.48
168,1,21,0.11
169,3,46,1.21
170,2,24,0.46
171,2,37,0.71
172,3,46,1.21
173,1,28,0.15
174,1,32,0.17
175,1,20,0.11
176,1,11,0.06
177,1,11,0.06
178,2,14,0.27
179,1,24,0.13
180,1,25,0.13
181,1,21,0.11
182,1,21,0.11
183,1,20,0.11
184,1,17,0.09
185,1,25,0.13
186,1,31,0.17
187,2,26,0.5
188,2,31,0.59
189,2,12,0.23
190,2,15,0.29
190,4,1,0.1
191,2,10,0.19
192,1,21,0.11
193,2,22,0.42
194,2,20,0.38
195,2,17,0.32
