Cluster,Class,Count,Percentage of class (%)
-1,1,8097,43.67
-1,2,2898,55.29
-1,3,1229,32.33
-1,4,466,47.94
-1,5,170,24.29
-1,6,273,44.54
-1,7,86,15.66
-1,8,136,52.92
-1,9,144,70.94
0,1,26,0.14
1,2,25,0.48
1,4,1,0.1
2,2,11,0.21
3,2,18,0.34
4,2,11,0.21
5,2,42,0.8
6,2,42,0.8
7,1,25,0.13
8,1,1,0.01
8,2,16,0.31
9,2,40,0.76
10,1,40,0.22
11,1,49,0.26
12,3,55,1.45
13,2,14,0.27
14,2,24,0.46
15,3,19,0.5
16,3,19,0.5
17,3,23,0.6
18,3,11,0.29
19,3,22,0.58
20,2,11,0.21
21,2,18,0.34
22,3,19,0.5
23,2,25,0.48
24,3,13,0.34
25,2,31,0.59
26,2,51,0.97
27,3,10,0.26
28,1,16,0.09
29,2,19,0.36
30,3,16,0.42
31,3,30,0.79
32,1,17,0.09
33,1,33,0.18
34,2,23,0.44
35,1,14,0.08
36,7,15,2.73
37,2,21,0.4
38,2,16,0.31
39,3,12,0.32
40,2,14,0.27
40,6,1,0.16
41,2,32,0.61
42,1,13,0.07
43,1,12,0.06
44,1,13,0.07
45,1,25,0.13
46,1,27,0.15
47,1,17,0.09
48,2,10,0.19
49,1,27,0.15
50,2,14,0.27
51,2,39,0.74
52,1,16,0.09
53,1,55,0.3
54,1,48,0.26
55,1,22,0.12
56,1,14,0.08
57,1,32,0.17
58,1,32,0.17
59,2,11,0.21
60,1,16,0.09
61,1,11,0.06
62,1,10,0.05
63,2,19,0.36
64,1,9832,53.03
64,2,1736,33.12
64,3,2324,61.13
64,4,505,51.95
64,5,530,75.71
64,6,339,55.3
64,7,448,81.6
64,8,121,47.08
64,9,59,29.06
65,2,10,0.19
