Cluster,Class,Count,Percentage of class (%)
-1,1,5491,29.62
-1,2,1135,21.66
-1,3,773,20.33
-1,4,461,47.43
-1,5,236,33.71
-1,6,233,38.01
-1,7,161,29.33
-1,8,19,7.39
-1,9,31,15.27
0,3,24,0.63
1,1,27,0.15
2,1,28,0.15
3,1,31,0.17
4,2,15,0.29
5,2,33,0.63
6,1,29,0.16
7,1,22,0.12
8,1,23,0.12
9,3,25,0.66
10,1,50,0.27
11,1,25,0.13
12,2,29,0.55
13,3,25,0.66
14,2,47,0.9
15,2,30,0.57
16,1,52,0.28
17,1,26,0.14
18,3,27,0.71
19,1,26,0.14
20,2,29,0.55
21,2,24,0.46
22,3,14,0.37
23,2,30,0.57
24,2,25,0.48
25,2,32,0.61
26,2,22,0.42
27,1,26,0.14
28,3,26,0.68
29,3,21,0.55
29,5,1,0.14
30,7,17,3.1
31,1,51,0.28
32,3,52,1.37
33,1,41,0.22
34,2,19,0.36
35,2,51,0.97
35,3,9,0.24
36,2,12,0.23
37,1,29,0.16
38,1,1,0.01
38,2,19,0.36
39,2,53,1.01
40,2,29,0.55
40,4,1,0.1
41,2,30,0.57
42,3,27,0.71
42,6,1,0.16
43,3,26,0.68
43,6,2,0.33
44,1,25,0.13
45,1,24,0.13
46,1,43,0.23
47,1,23,0.12
48,1,1,0.01
48,2,30,0.57
49,1,22,0.12
50,1,26,0.14
51,1,51,0.28
52,3,24,0.63
53,3,26,0.68
54,2,52,0.99
55,1,18,0.1
56,3,15,0.39
57,1,48,0.26
58,1,35,0.19
59,1,31,0.17
60,2,30,0.57
61,2,47,0.9
61,4,1,0.1
62,1,17,0.09
63,1,27,0.15
64,1,22,0.12
65,1,25,0.13
66,1,25,0.13
67,1,15,0.08
68,1,29,0.16
69,1,24,0.13
70,1,54,0.29
71,1,49,0.26
72,1,28,0.15
73,1,18,0.1
74,3,30,0.79
74,4,1,0.1
75,2,1,0.02
75,3,24,0.63
76,3,27,0.71
77,1,27,0.15
78,1,26,0.14
79,1,28,0.15
80,1,28,0.15
81,1,21,0.11
82,1,23,0.12
83,1,29,0.16
84,1,11,0.06
84,2,1,0.02
85,1,25,0.13
86,1,1,0.01
86,2,26,0.5
87,1,30,0.16
88,2,36,0.69
89,1,27,0.15
90,1,19,0.1
91,1,12,0.06
92,1,51,0.28
92,3,1,0.03
92,6,2,0.33
93,1,20,0.11
94,1,20,0.11
95,2,22,0.42
96,1,24,0.13
96,2,7,0.13
97,1,45,0.24
98,1,40,0.22
99,1,52,0.28
100,1,54,0.29
101,3,25,0.66
102,1,21,0.11
103,1,51,0.28
104,1,1,0.01
104,3,43,1.13
105,1,55,0.3
106,1,47,0.25
106,4,1,0.1
107,1,20,0.11
108,1,29,0.16
109,1,23,0.12
110,1,1,0.01
110,2,24,0.46
111,2,29,0.55
112,1,30,0.16
113,1,27,0.15
114,1,28,0.15
115,2,15,0.29
116,2,61,1.16
117,2,35,0.67
118,1,15,0.08
119,1,36,0.19
119,4,1,0.1
120,2,2,0.04
120,3,43,1.13
121,1,20,0.11
121,3,1,0.03
122,1,22,0.12
123,1,22,0.12
124,1,30,0.16
125,1,28,0.15
125,3,1,0.03
126,3,40,1.05
127,3,12,0.32
128,1,16,0.09
129,1,48,0.26
130,1,21,0.11
131,3,11,0.29
132,1,30,0.16
133,2,30,0.57
134,1,12,0.06
134,2,1,0.02
135,1,31,0.17
135,5,1,0.14
136,1,20,0.11
137,1,11,0.06
138,1,27,0.15
139,3,25,0.66
140,1,14,0.08
141,1,22,0.12
142,1,28,0.15
143,1,28,0.15
144,1,22,0.12
145,1,45,0.24
146,1,54,0.29
147,1,28,0.15
148,3,23,0.6
149,2,47,0.9
150,3,27,0.71
151,3,24,0.63
152,2,23,0.44
153,1,11,0.06
153,2,2,0.04
154,3,24,0.63
155,3,20,0.53
156,3,23,0.6
157,3,18,0.47
158,1,2,0.01
158,3,14,0.37
159,2,1,0.02
159,3,64,1.68
159,4,3,0.31
159,6,1,0.16
160,3,22,0.58
161,3,25,0.66
162,1,24,0.13
163,1,30,0.16
164,1,1,0.01
164,3,38,1.0
165,1,27,0.15
166,2,35,0.67
167,1,33,0.18
167,5,1,0.14
168,1,25,0.13
169,1,44,0.24
170,2,42,0.8
171,1,28,0.15
172,1,19,0.1
173,1,24,0.13
174,3,15,0.39
174,7,16,2.91
175,1,24,0.13
176,1,21,0.11
177,1,28,0.15
177,2,1,0.02
178,3,12,0.32
179,1,22,0.12
179,3,1,0.03
180,3,12,0.32
181,1,30,0.16
182,3,20,0.53
183,1,28,0.15
184,1,32,0.17
185,1,10,0.05
185,3,1,0.03
186,2,23,0.44
187,1,23,0.12
188,2,19,0.36
189,2,19,0.36
190,2,19,0.36
191,1,53,0.29
192,1,14,0.08
193,1,15,0.08
194,1,15,0.08
195,1,11,0.06
196,1,31,0.17
197,1,28,0.15
197,2,2,0.04
198,2,19,0.36
199,1,23,0.12
200,1,1,0.01
200,2,16,0.31
200,6,1,0.16
201,1,27,0.15
202,1,25,0.13
203,1,26,0.14
204,1,26,0.14
205,2,16,0.31
206,2,12,0.23
207,1,16,0.09
208,3,39,1.03
208,6,1,0.16
208,7,1,0.18
209,2,10,0.19
209,4,1,0.1
209,9,1,0.49
210,1,1,0.01
210,2,28,0.53
210,6,1,0.16
211,1,21,0.11
211,2,1,0.02
212,1,19,0.1
213,2,33,0.63
214,2,42,0.8
215,2,14,0.27
216,2,11,0.21
217,2,43,0.82
218,1,15,0.08
219,1,30,0.16
220,2,15,0.29
221,1,28,0.15
222,1,80,0.43
223,1,39,0.21
224,2,50,0.95
