Cluster,Class,Count,Percentage of class (%)
-1,1,5234,28.23
-1,2,1056,20.15
-1,3,782,20.57
-1,4,462,47.53
-1,5,245,35.0
-1,6,222,36.22
-1,7,156,28.42
-1,8,40,15.56
-1,9,29,14.29
0,1,27,0.15
1,2,52,0.99
2,3,24,0.63
3,1,28,0.15
4,1,31,0.17
5,1,23,0.12
6,1,23,0.12
7,3,25,0.66
8,1,29,0.16
9,1,52,0.28
10,2,29,0.55
11,1,33,0.18
12,1,13,0.07
13,3,25,0.66
14,3,14,0.37
15,2,12,0.23
16,2,30,0.57
17,3,27,0.71
18,2,30,0.57
19,2,47,0.9
20,1,26,0.14
21,2,21,0.4
22,1,26,0.14
23,1,25,0.13
24,1,24,0.13
25,7,17,3.1
26,1,1,0.01
26,2,19,0.36
27,1,51,0.28
28,2,29,0.55
29,2,26,0.5
30,1,23,0.12
31,3,52,1.37
32,1,25,0.13
33,1,26,0.14
34,2,40,0.76
35,2,52,0.99
36,2,53,1.01
37,1,41,0.22
38,1,31,0.17
39,2,50,0.95
39,3,9,0.24
40,1,43,0.23
41,3,25,0.66
42,3,26,0.68
43,1,26,0.14
44,1,26,0.14
45,3,26,0.68
45,6,1,0.16
46,3,27,0.71
46,6,1,0.16
47,3,21,0.55
47,5,1,0.14
48,3,26,0.68
49,1,29,0.16
50,1,54,0.29
51,1,18,0.1
52,2,33,0.63
53,2,29,0.55
54,2,30,0.57
54,4,1,0.1
55,3,15,0.39
56,1,48,0.26
57,1,1,0.01
57,2,26,0.5
58,2,50,0.95
58,4,1,0.1
59,2,32,0.61
60,1,27,0.15
61,1,22,0.12
62,1,1,0.01
62,2,30,0.57
63,1,27,0.15
64,1,24,0.13
65,1,25,0.13
66,1,25,0.13
67,1,18,0.1
68,1,20,0.11
69,1,35,0.19
70,1,53,0.29
71,1,24,0.13
72,1,23,0.12
73,1,15,0.08
74,1,48,0.26
75,1,28,0.15
76,1,29,0.16
77,2,29,0.55
78,1,45,0.24
78,2,1,0.02
79,1,53,0.29
80,1,28,0.15
81,2,1,0.02
81,3,25,0.66
82,3,27,0.71
82,4,1,0.1
83,1,17,0.09
84,1,30,0.16
85,1,27,0.15
86,1,51,0.28
87,1,5,0.03
87,3,28,0.74
88,1,66,0.36
88,3,1,0.03
88,6,2,0.33
89,1,30,0.16
90,1,25,0.13
91,1,19,0.1
92,1,20,0.11
93,1,54,0.29
94,2,22,0.42
95,1,14,0.08
96,2,36,0.69
97,1,22,0.12
98,1,24,0.13
99,1,20,0.11
100,1,23,0.12
101,1,30,0.16
102,1,54,0.29
103,1,29,0.16
104,1,22,0.12
105,1,28,0.15
106,1,26,0.14
107,1,29,0.16
108,1,11,0.06
108,2,2,0.04
109,1,19,0.1
110,1,22,0.12
111,1,12,0.06
111,2,1,0.02
112,3,24,0.63
113,3,79,2.08
114,2,29,0.55
115,1,23,0.12
116,1,27,0.15
117,1,27,0.15
118,1,17,0.09
119,2,16,0.31
120,1,1,0.01
120,2,27,0.52
121,1,27,0.15
122,3,65,1.71
122,4,3,0.31
122,6,1,0.16
