Cluster,Class,Count,Percentage of class (%)
-1,1,5138,27.71
-1,2,892,17.02
-1,3,789,20.75
-1,4,539,55.45
-1,5,298,42.57
-1,6,237,38.66
-1,7,167,30.42
-1,8,77,29.96
-1,9,36,17.73
0,3,24,0.63
1,2,53,1.01
2,1,52,0.28
3,2,29,0.55
4,1,1,0.01
4,2,26,0.5
5,2,21,0.4
6,2,29,0.55
7,1,32,0.17
8,3,27,0.71
9,3,14,0.37
10,1,24,0.13
11,1,23,0.12
12,1,29,0.16
13,1,53,0.29
14,1,27,0.15
15,1,30,0.16
16,2,24,0.46
17,2,30,0.57
18,1,31,0.17
19,1,26,0.14
20,2,47,0.9
21,1,29,0.16
22,1,1,0.01
22,2,19,0.36
23,1,27,0.15
24,3,25,0.66
25,1,25,0.13
26,3,27,0.71
27,2,29,0.55
28,1,26,0.14
29,2,30,0.57
30,3,26,0.68
31,1,18,0.1
32,3,25,0.66
33,3,25,0.66
34,1,43,0.23
35,2,24,0.46
36,1,26,0.14
37,1,19,0.1
38,1,28,0.15
39,2,23,0.44
40,2,26,0.5
41,1,28,0.15
42,1,25,0.13
43,1,27,0.15
44,1,51,0.28
45,2,44,0.84
46,1,23,0.12
47,1,26,0.14
48,1,27,0.15
49,1,25,0.13
50,1,35,0.19
51,2,50,0.95
51,3,8,0.21
52,1,30,0.16
53,1,30,0.16
54,1,25,0.13
55,1,10,0.05
56,1,22,0.12
57,1,28,0.15
58,1,29,0.16
59,1,28,0.15
60,1,32,0.17
61,1,29,0.16
61,2,1,0.02
62,1,22,0.12
63,1,24,0.13
64,1,24,0.13
65,1,24,0.13
66,1,27,0.15
67,1,21,0.11
68,1,46,0.25
68,3,1,0.03
69,1,15,0.08
70,1,21,0.11
71,1,22,0.12
72,1,27,0.15
73,3,14,0.37
74,1,50,0.27
75,1,23,0.12
76,1,24,0.13
77,1,30,0.16
77,2,1,0.02
78,2,23,0.44
79,3,28,0.74
80,1,40,0.22
81,1,24,0.13
82,1,29,0.16
83,1,39,0.21
83,2,1,0.02
84,1,27,0.15
85,1,26,0.14
86,1,26,0.14
87,3,35,0.92
87,6,5,0.82
88,3,25,0.66
89,1,25,0.13
90,1,50,0.27
91,1,25,0.13
92,2,22,0.42
93,1,31,0.17
94,1,32,0.17
95,1,27,0.15
96,1,36,0.19
97,1,11,0.06
98,1,41,0.22
99,3,23,0.6
100,3,121,3.18
100,4,1,0.1
101,3,22,0.58
101,5,1,0.14
102,3,27,0.71
103,1,24,0.13
104,1,17,0.09
105,3,24,0.63
106,3,28,0.74
107,3,49,1.29
107,6,1,0.16
107,7,1,0.18
108,1,26,0.14
109,1,27,0.15
110,3,25,0.66
111,1,31,0.17
112,1,26,0.14
113,3,21,0.55
114,1,45,0.24
115,3,23,0.6
115,4,1,0.1
116,3,23,0.6
117,1,24,0.13
118,2,22,0.42
119,3,15,0.39
120,3,16,0.42
121,1,26,0.14
122,1,22,0.12
123,1,15,0.08
124,1,22,0.12
125,1,26,0.14
126,1,20,0.11
127,1,27,0.15
128,1,25,0.13
129,1,19,0.1
130,1,23,0.12
131,1,48,0.26
132,2,28,0.53
133,1,10,0.05
133,2,6,0.11
134,1,7,0.04
134,2,14,0.27
135,1,27,0.15
136,1,22,0.12
137,3,125,3.29
138,2,30,0.57
139,1,31,0.17
139,2,1,0.02
140,2,58,1.11
141,1,11,0.06
142,1,18,0.1
143,1,20,0.11
144,2,24,0.46
145,2,33,0.63
146,2,33,0.63
147,3,22,0.58
148,3,11,0.29
149,1,20,0.11
150,1,28,0.15
151,1,21,0.11
152,2,30,0.57
153,2,26,0.5
153,4,1,0.1
154,7,17,3.1
155,3,24,0.63
156,3,20,0.53
156,7,2,0.36
157,1,25,0.13
158,3,21,0.55
159,3,25,0.66
160,1,27,0.15
161,1,23,0.12
162,1,1,0.01
162,2,31,0.59
162,4,1,0.1
163,1,11,0.06
164,1,23,0.12
165,3,26,0.68
166,2,30,0.57
167,1,35,0.19
168,1,24,0.13
169,1,23,0.12
170,2,28,0.53
171,3,65,1.71
171,4,4,0.41
171,6,1,0.16
172,2,31,0.59
172,3,1,0.03
173,2,40,0.76
174,1,31,0.17
175,2,49,0.93
176,1,26,0.14
177,1,24,0.13
178,1,51,0.28
179,1,54,0.29
180,1,24,0.13
180,3,1,0.03
181,3,146,3.84
182,1,13,0.07
183,1,20,0.11
184,2,19,0.36
185,2,53,1.01
185,7,1,0.18
186,1,30,0.16
187,1,23,0.12
188,1,44,0.24
189,1,40,0.22
189,2,3,0.06
190,1,14,0.08
191,1,23,0.12
192,1,237,1.28
192,2,5,0.1
193,1,50,0.27
194,2,19,0.36
195,2,19,0.36
196,3,43,1.13
197,1,1,0.01
197,2,25,0.48
198,3,16,0.42
198,7,16,2.91
199,2,24,0.46
200,1,30,0.16
201,1,24,0.13
202,1,37,0.2
203,1,26,0.14
204,1,17,0.09
205,1,18,0.1
206,1,34,0.18
207,1,14,0.08
208,1,22,0.12
209,1,14,0.08
210,2,53,1.01
211,1,1,0.01
211,2,26,0.5
212,2,51,0.97
212,3,1,0.03
213,2,30,0.57
214,2,12,0.23
215,1,40,0.22
216,1,13,0.07
217,3,39,1.03
218,3,26,0.68
219,2,29,0.55
220,1,34,0.18
221,1,49,0.26
222,1,26,0.14
223,2,59,1.13
223,3,1,0.03
224,2,28,0.53
225,1,19,0.1
226,1,27,0.15
227,1,1,0.01
227,2,20,0.38
227,6,1,0.16
228,2,11,0.21
229,2,33,0.63
230,2,37,0.71
231,2,31,0.59
232,2,25,0.48
233,2,16,0.31
234,2,16,0.31
235,2,28,0.53
236,2,32,0.61
237,2,23,0.44
238,2,27,0.52
239,2,27,0.52
240,2,29,0.55
241,2,22,0.42
242,2,12,0.23
243,1,21,0.11
244,2,14,0.27
245,1,27,0.15
246,1,23,0.12
247,1,17,0.09
248,2,24,0.46
249,2,42,0.8
250,2,24,0.46
251,2,15,0.29
252,1,34,0.18
253,1,30,0.16
253,2,1,0.02
254,1,1,0.01
254,2,22,0.42
255,2,21,0.4
256,1,43,0.23
257,1,49,0.26
258,2,27,0.52
259,2,58,1.11
260,2,24,0.46
261,2,35,0.67
262,1,2,0.01
262,2,75,1.43
263,2,12,0.23
264,2,35,0.67
265,2,52,0.99
266,3,11,0.29
267,2,70,1.34
268,1,23,0.12
269,1,45,0.24
270,2,23,0.44
271,2,12,0.23
272,1,11,0.06
272,6,1,0.16
273,1,23,0.12
274,2,77,1.47
275,2,19,0.36
276,2,27,0.52
277,1,48,0.26
278,2,22,0.42
279,2,15,0.29
280,2,28,0.53
281,1,31,0.17
281,2,10,0.19
282,1,11,0.06
283,1,17,0.09
284,2,24,0.46
285,2,31,0.59
286,2,54,1.03
287,1,1,0.01
287,2,35,0.67
288,2,26,0.5
289,1,25,0.13
290,1,27,0.15
291,1,14,0.08
292,2,63,1.2
292,4,2,0.21
292,6,2,0.33
293,1,1,0.01
293,2,17,0.32
294,2,14,0.27
295,2,49,0.93
296,1,17,0.09
297,2,22,0.42
298,2,13,0.25
299,1,1,0.01
299,2,54,1.03
300,1,51,0.28
301,2,21,0.4
302,2,23,0.44
303,1,1,0.01
303,2,49,0.93
303,4,2,0.21
