Cluster,Class,Count,Percentage of class (%)
-1,1,5118,27.61
-1,2,1030,19.65
-1,3,829,21.8
-1,4,566,58.23
-1,5,316,45.14
-1,6,259,42.25
-1,7,154,28.05
-1,8,65,25.29
-1,9,37,18.23
0,2,29,0.55
1,2,29,0.55
2,3,24,0.63
3,2,53,1.01
4,1,52,0.28
5,2,21,0.4
6,1,24,0.13
7,1,23,0.12
8,1,29,0.16
9,1,53,0.29
10,1,32,0.17
11,1,1,0.01
11,2,26,0.5
12,2,29,0.55
13,1,30,0.16
14,2,25,0.48
15,2,30,0.57
16,2,30,0.57
17,1,27,0.15
18,3,25,0.66
19,1,43,0.23
20,3,27,0.71
21,2,47,0.9
22,1,1,0.01
22,2,19,0.36
23,1,25,0.13
24,1,27,0.15
25,1,50,0.27
26,1,31,0.17
27,3,25,0.66
28,1,26,0.14
29,3,25,0.66
30,3,26,0.68
31,1,27,0.15
32,1,51,0.28
33,1,18,0.1
34,1,26,0.14
35,2,54,1.03
36,1,29,0.16
37,1,30,0.16
38,3,14,0.37
39,1,35,0.19
40,1,40,0.22
41,3,14,0.37
42,3,27,0.71
43,2,11,0.21
44,1,25,0.13
45,1,15,0.08
46,1,28,0.15
47,1,27,0.15
48,1,25,0.13
49,1,27,0.15
50,1,28,0.15
51,1,27,0.15
52,1,29,0.16
53,1,23,0.12
54,1,28,0.15
55,1,29,0.16
56,1,28,0.15
57,1,26,0.14
58,1,27,0.15
59,1,24,0.13
60,1,22,0.12
61,1,46,0.25
61,3,1,0.03
62,1,28,0.15
63,1,26,0.14
64,1,26,0.14
65,1,22,0.12
66,1,23,0.12
67,2,45,0.86
68,1,29,0.16
69,1,22,0.12
70,1,27,0.15
70,2,1,0.02
71,1,35,0.19
72,1,21,0.11
73,1,50,0.27
74,1,23,0.12
75,1,24,0.13
76,1,25,0.13
77,1,29,0.16
77,2,1,0.02
78,1,24,0.13
79,1,31,0.17
80,1,24,0.13
81,2,30,0.57
82,7,17,3.1
83,2,28,0.53
84,3,25,0.66
85,3,121,3.18
85,4,1,0.1
86,2,23,0.44
87,2,22,0.42
88,2,54,1.03
89,1,39,0.21
89,2,1,0.02
90,1,40,0.22
91,1,41,0.22
92,2,24,0.46
93,1,32,0.17
94,2,50,0.95
94,3,6,0.16
