Cluster,Class,Count,Percentage of class (%)
-1,1,6284,33.89
-1,2,1352,25.8
-1,3,1232,32.4
-1,4,627,64.51
-1,5,349,49.86
-1,6,404,65.91
-1,7,182,33.15
-1,8,33,12.84
-1,9,124,61.08
0,2,25,0.48
0,4,1,0.1
1,3,20,0.53
2,1,28,0.15
3,2,53,1.01
4,1,1,0.01
4,2,19,0.36
5,1,23,0.12
6,1,22,0.12
7,1,41,0.22
8,1,25,0.13
9,3,25,0.66
10,2,19,0.36
11,2,31,0.59
12,3,25,0.66
13,1,38,0.2
14,2,28,0.53
15,2,50,0.95
16,2,40,0.76
17,1,21,0.11
18,1,23,0.12
19,3,25,0.66
20,3,24,0.63
21,2,29,0.55
22,2,24,0.46
23,3,26,0.68
24,3,14,0.37
25,2,53,1.01
25,4,1,0.1
26,2,47,0.9
27,2,37,0.71
28,2,30,0.57
29,1,26,0.14
30,2,49,0.93
31,7,17,3.1
32,1,52,0.28
33,3,25,0.66
34,2,1,0.02
34,3,27,0.71
35,1,49,0.26
36,1,12,0.06
37,1,47,0.25
38,3,34,0.89
39,3,31,0.82
40,3,25,0.66
41,2,32,0.61
41,4,2,0.21
42,2,15,0.29
43,1,28,0.15
43,4,1,0.1
44,3,27,0.71
45,3,16,0.42
46,1,24,0.13
47,1,24,0.13
48,1,20,0.11
49,1,24,0.13
49,2,1,0.02
50,1,25,0.13
51,1,24,0.13
52,2,22,0.42
53,1,54,0.29
54,1,40,0.22
55,1,29,0.16
56,1,37,0.2
56,2,1,0.02
57,1,39,0.21
57,2,3,0.06
58,1,25,0.13
59,1,41,0.22
59,7,2,0.36
60,2,1,0.02
60,3,27,0.71
60,4,1,0.1
61,1,24,0.13
62,1,21,0.11
63,1,48,0.26
64,1,30,0.16
65,1,26,0.14
65,2,1,0.02
66,1,31,0.17
67,2,15,0.29
67,6,1,0.16
68,1,1,0.01
68,2,26,0.5
69,1,21,0.11
70,2,23,0.44
71,1,18,0.1
71,4,1,0.1
72,2,24,0.46
73,1,28,0.15
73,2,1,0.02
74,2,1,0.02
74,3,26,0.68
75,1,16,0.09
76,1,21,0.11
77,2,20,0.38
78,2,11,0.21
79,1,39,0.21
80,3,16,0.42
80,7,15,2.73
81,2,30,0.57
82,1,25,0.13
83,2,32,0.61
84,1,1,0.01
84,2,15,0.29
85,1,19,0.1
86,1,26,0.14
87,1,20,0.11
88,2,24,0.46
88,6,1,0.16
89,1,26,0.14
90,1,21,0.11
90,3,2,0.05
91,1,24,0.13
92,3,22,0.58
93,3,22,0.58
94,1,49,0.26
95,1,27,0.15
96,1,40,0.22
96,2,9,0.17
97,1,10,0.05
98,1,19,0.1
99,2,26,0.5
100,2,21,0.4
101,1,26,0.14
102,1,48,0.26
103,1,28,0.15
104,1,20,0.11
105,1,29,0.16
106,1,53,0.29
107,1,16,0.09
108,1,12,0.06
109,1,27,0.15
110,1,16,0.09
111,1,18,0.1
112,1,27,0.15
113,1,16,0.09
114,3,12,0.32
115,3,14,0.37
116,1,24,0.13
117,1,21,0.11
118,1,54,0.29
119,1,17,0.09
120,3,21,0.55
120,7,2,0.36
121,1,41,0.22
122,1,20,0.11
123,1,11,0.06
124,1,14,0.08
125,2,29,0.55
126,2,34,0.65
126,3,1,0.03
127,2,29,0.55
128,1,20,0.11
129,1,34,0.18
130,2,35,0.67
131,1,23,0.12
132,1,19,0.1
132,2,1,0.02
133,1,34,0.18
134,1,21,0.11
135,1,21,0.11
136,2,21,0.4
137,2,25,0.48
137,3,1,0.03
138,2,1,0.02
138,3,24,0.63
139,2,56,1.07
140,1,25,0.13
141,1,28,0.15
142,1,30,0.16
143,1,21,0.11
144,1,26,0.14
145,1,30,0.16
146,1,22,0.12
147,2,16,0.31
148,1,34,0.18
148,2,1,0.02
149,2,17,0.32
149,3,1,0.03
150,2,10,0.19
151,1,59,0.32
152,1,37,0.2
153,1,1,0.01
153,2,26,0.5
154,2,32,0.61
154,3,1,0.03
155,1,28,0.15
155,4,1,0.1
156,3,42,1.1
157,3,26,0.68
158,1,22,0.12
159,3,31,0.82
159,7,1,0.18
160,3,52,1.37
161,1,16,0.09
162,1,24,0.13
163,1,1,0.01
163,3,1,0.03
163,7,36,6.56
164,3,19,0.5
164,7,2,0.36
165,2,23,0.44
166,3,2,0.05
166,7,11,2.0
167,3,32,0.84
168,2,14,0.27
169,1,48,0.26
169,2,1,0.02
170,2,11,0.21
171,2,16,0.31
171,6,1,0.16
172,1,1,0.01
172,3,28,0.74
173,1,50,0.27
174,1,2,0.01
174,2,29,0.55
175,1,29,0.16
176,1,92,0.5
177,1,36,0.19
178,1,48,0.26
179,1,1,0.01
179,2,52,0.99
179,3,1,0.03
179,4,4,0.41
180,3,27,0.71
180,7,6,1.09
181,1,26,0.14
181,2,2,0.04
181,4,1,0.1
182,1,23,0.12
183,1,15,0.08
184,1,43,0.23
185,1,19,0.1
186,2,1,0.02
186,3,59,1.55
187,1,51,0.28
188,1,62,0.33
189,1,21,0.11
189,2,1,0.02
190,1,27,0.15
191,1,11,0.06
192,1,29,0.16
