Cluster,Class,Count,Percentage of class (%)
-1,1,6996,37.73
-1,2,1454,27.74
-1,3,1085,28.54
-1,4,670,68.93
-1,5,393,56.14
-1,6,406,66.23
-1,7,172,31.33
-1,8,59,22.96
-1,9,99,48.77
0,2,25,0.48
0,4,1,0.1
1,1,50,0.27
2,1,28,0.15
3,3,20,0.53
4,2,53,1.01
5,1,1,0.01
5,2,19,0.36
6,3,25,0.66
7,1,41,0.22
8,2,31,0.59
9,1,25,0.13
10,3,26,0.68
11,2,47,0.9
12,2,24,0.46
13,2,49,0.93
14,3,14,0.37
15,3,25,0.66
16,2,28,0.53
17,2,30,0.57
18,2,19,0.36
19,2,34,0.65
20,2,14,0.27
21,2,50,0.95
22,2,53,1.01
23,3,25,0.66
24,3,25,0.66
25,1,66,0.36
26,1,28,0.15
26,4,1,0.1
27,1,13,0.07
28,1,21,0.11
29,3,27,0.71
30,2,30,0.57
31,3,24,0.63
32,1,38,0.2
33,1,52,0.28
34,7,17,3.1
35,1,26,0.14
36,2,40,0.76
37,2,11,0.21
38,2,43,0.82
39,1,46,0.25
40,1,49,0.26
41,3,23,0.6
42,3,37,0.97
43,1,1,0.01
43,3,32,0.84
43,4,1,0.1
44,3,32,0.84
45,1,31,0.17
46,1,24,0.13
47,1,21,0.11
48,1,39,0.21
48,2,7,0.13
49,1,28,0.15
49,2,1,0.02
50,1,26,0.14
51,1,25,0.13
52,1,21,0.11
53,2,20,0.38
54,2,35,0.67
54,3,1,0.03
55,2,29,0.55
56,1,54,0.29
57,1,24,0.13
58,1,35,0.19
58,2,2,0.04
59,1,29,0.16
60,1,24,0.13
61,2,29,0.55
62,3,16,0.42
62,7,15,2.73
63,1,39,0.21
64,2,16,0.31
65,1,21,0.11
66,1,26,0.14
67,1,25,0.13
68,2,19,0.36
69,1,23,0.12
70,1,27,0.15
71,1,1,0.01
71,2,1,0.02
71,7,34,6.19
72,1,28,0.15
73,2,19,0.36
74,2,30,0.57
75,1,13,0.07
76,1,11,0.06
77,2,27,0.52
77,4,2,0.21
78,2,23,0.44
78,6,1,0.16
79,1,49,0.26
79,3,1,0.03
80,1,26,0.14
80,2,1,0.02
80,4,2,0.21
81,1,15,0.08
82,1,29,0.16
83,1,1,0.01
83,3,34,0.89
84,1,23,0.12
85,1,16,0.09
86,2,25,0.48
86,3,1,0.03
87,1,20,0.11
88,1,1,0.01
88,2,25,0.48
89,2,34,0.65
89,3,1,0.03
90,2,1,0.02
90,3,26,0.68
91,1,21,0.11
91,3,1,0.03
92,1,26,0.14
93,1,75,0.4
94,1,31,0.17
95,1,24,0.13
96,3,19,0.5
97,3,22,0.58
98,3,15,0.39
99,3,31,0.82
100,1,24,0.13
101,1,2,0.01
101,2,52,0.99
102,3,24,0.63
103,1,28,0.15
104,1,41,0.22
105,1,48,0.26
106,1,24,0.13
107,1,54,0.29
108,2,18,0.34
109,1,45,0.24
110,1,29,0.16
111,1,1,0.01
111,2,25,0.48
112,1,27,0.15
113,1,41,0.22
114,1,18,0.1
114,2,1,0.02
115,1,39,0.21
115,7,1,0.18
115,9,1,0.49
116,2,29,0.55
117,2,1,0.02
117,3,55,1.45
118,1,30,0.16
119,1,21,0.11
120,1,18,0.1
121,3,22,0.58
121,7,2,0.36
122,1,1,0.01
122,3,25,0.66
123,1,47,0.25
124,1,32,0.17
125,1,22,0.12
126,1,24,0.13
127,1,22,0.12
128,1,22,0.12
129,3,47,1.24
129,6,1,0.16
130,1,17,0.09
131,1,1,0.01
131,2,11,0.21
132,1,40,0.22
133,1,26,0.14
134,1,18,0.1
135,3,27,0.71
135,4,1,0.1
136,1,20,0.11
137,1,26,0.14
137,2,10,0.19
138,1,40,0.22
139,2,30,0.57
140,1,38,0.2
141,1,26,0.14
142,1,35,0.19
143,2,29,0.55
144,1,23,0.12
145,2,56,1.07
146,2,23,0.44
147,1,5,0.03
147,2,53,1.01
147,3,2,0.05
147,4,3,0.31
148,1,57,0.31
149,1,31,0.17
150,1,33,0.18
151,1,23,0.12
152,1,11,0.06
153,1,2,0.01
153,2,27,0.52
153,4,1,0.1
154,1,26,0.14
155,2,28,0.53
156,2,26,0.5
157,2,21,0.4
158,1,51,0.28
158,3,2,0.05
159,1,13,0.07
160,1,23,0.12
161,1,22,0.12
162,1,13,0.07
163,1,34,0.18
164,1,56,0.3
165,1,57,0.31
166,1,23,0.12
167,1,46,0.25
167,2,1,0.02
168,1,39,0.21
169,1,27,0.15
169,2,1,0.02
170,1,15,0.08
171,1,66,0.36
172,1,2,0.01
172,2,47,0.9
173,2,16,0.31
173,6,1,0.16
174,2,11,0.21
175,1,20,0.11
175,2,1,0.02
176,1,28,0.15
177,1,20,0.11
178,1,21,0.11
178,2,1,0.02
179,1,25,0.13
180,7,16,2.91
181,1,22,0.12
182,1,16,0.09
183,1,26,0.14
184,1,1,0.01
184,2,29,0.55
185,1,30,0.16
186,1,26,0.14
187,1,28,0.15
187,4,1,0.1
188,1,21,0.11
189,1,36,0.19
189,3,1,0.03
190,1,41,0.22
191,1,11,0.06
192,1,10,0.05
192,2,1,0.02
192,4,1,0.1
193,1,11,0.06
194,1,1,0.01
194,2,26,0.5
195,1,15,0.08
196,1,46,0.25
197,1,16,0.09
198,1,21,0.11
199,7,19,3.46
200,1,1,0.01
200,3,37,0.97
200,7,1,0.18
201,1,29,0.16
201,2,2,0.04
202,1,28,0.15
203,1,24,0.13
204,2,28,0.53
205,1,24,0.13
206,1,29,0.16
207,1,49,0.26
208,2,26,0.5
208,4,1,0.1
209,2,3,0.06
209,3,36,0.95
209,6,1,0.16
209,7,1,0.18
210,1,16,0.09
211,1,24,0.13
212,1,6,0.03
212,2,1,0.02
212,3,2,0.05
212,4,3,0.31
212,5,10,1.43
213,1,1,0.01
213,2,34,0.65
214,3,36,0.95
215,1,1,0.01
215,2,37,0.71
215,4,1,0.1
216,1,21,0.11
217,1,19,0.1
218,1,26,0.14
219,1,25,0.13
220,1,24,0.13
221,1,13,0.07
222,1,21,0.11
223,1,14,0.08
224,1,21,0.11
225,1,25,0.13
226,1,40,0.22
227,1,15,0.08
228,1,16,0.09
229,1,35,0.19
230,1,29,0.16
231,1,43,0.23
232,1,20,0.11
233,1,50,0.27
234,1,23,0.12
235,1,22,0.12
236,1,52,0.28
237,1,11,0.06
238,1,20,0.11
239,1,18,0.1
240,1,33,0.18
