Cluster,Class,Count,Percentage of class (%)
-1,1,4885,26.35
-1,2,1016,19.39
-1,3,966,25.41
-1,4,691,71.09
-1,5,316,45.14
-1,6,331,54.0
-1,7,155,28.23
-1,8,21,8.17
-1,9,92,45.32
0,3,26,0.68
1,2,29,0.55
2,2,42,0.8
3,2,25,0.48
3,4,1,0.1
4,1,25,0.13
5,1,28,0.15
6,2,53,1.01
7,2,30,0.57
8,1,1,0.01
8,2,19,0.36
9,3,25,0.66
10,3,20,0.53
11,1,50,0.27
12,2,21,0.4
13,2,11,0.21
14,2,29,0.55
15,2,53,1.01
16,1,25,0.13
17,2,29,0.55
18,1,28,0.15
19,1,30,0.16
20,2,19,0.36
21,2,11,0.21
22,1,28,0.15
23,1,28,0.15
24,1,58,0.31
24,2,1,0.02
25,2,29,0.55
26,1,59,0.32
27,3,26,0.68
28,1,52,0.28
29,2,29,0.55
30,2,47,0.9
31,1,21,0.11
32,3,24,0.63
33,1,53,0.29
34,1,27,0.15
35,2,34,0.65
35,4,1,0.1
36,1,44,0.24
37,3,27,0.71
38,2,40,0.76
39,1,31,0.17
40,2,28,0.53
41,2,30,0.57
42,1,25,0.13
43,1,21,0.11
44,1,30,0.16
45,1,18,0.1
46,1,24,0.13
47,1,25,0.13
48,2,49,0.93
48,3,11,0.29
49,3,24,0.63
50,1,24,0.13
51,1,29,0.16
52,1,30,0.16
53,1,32,0.17
54,3,25,0.66
55,3,19,0.5
56,3,15,0.39
57,1,23,0.12
58,3,30,0.79
59,3,31,0.82
60,3,19,0.5
61,3,52,1.37
61,4,1,0.1
62,1,32,0.17
63,1,27,0.15
64,1,26,0.14
65,3,26,0.68
66,2,33,0.63
66,3,1,0.03
67,2,30,0.57
68,3,20,0.53
69,3,14,0.37
70,3,27,0.71
71,2,16,0.31
72,2,33,0.63
72,4,1,0.1
73,1,27,0.15
74,2,58,1.11
75,1,20,0.11
76,2,17,0.32
77,1,1,0.01
77,2,26,0.5
78,2,29,0.55
79,1,1,0.01
79,2,25,0.48
80,1,1,0.01
80,2,30,0.57
81,2,11,0.21
82,3,19,0.5
83,3,23,0.6
84,2,22,0.42
85,1,24,0.13
86,1,30,0.16
87,2,18,0.34
88,2,28,0.53
89,2,22,0.42
90,2,34,0.65
91,2,32,0.61
92,3,25,0.66
93,2,24,0.46
94,1,24,0.13
95,2,24,0.46
96,2,26,0.5
97,2,57,1.09
98,1,26,0.14
99,1,21,0.11
100,1,24,0.13
101,1,17,0.09
102,2,30,0.57
103,1,29,0.16
104,1,18,0.1
105,1,24,0.13
106,1,48,0.26
107,7,16,2.91
108,1,24,0.13
109,1,23,0.12
110,1,24,0.13
111,1,20,0.11
112,1,49,0.26
113,1,11,0.06
114,2,33,0.63
115,1,30,0.16
116,1,25,0.13
117,1,50,0.27
118,1,24,0.13
119,1,20,0.11
120,1,23,0.12
121,1,36,0.19
122,1,24,0.13
123,2,57,1.09
124,2,48,0.92
125,1,41,0.22
125,2,1,0.02
126,1,20,0.11
127,1,17,0.09
128,1,59,0.32
129,1,46,0.25
130,1,27,0.15
131,3,28,0.74
132,3,25,0.66
133,1,1,0.01
133,2,29,0.55
134,1,23,0.12
135,1,24,0.13
135,2,1,0.02
136,1,25,0.13
137,1,22,0.12
138,1,39,0.21
138,2,10,0.19
139,1,39,0.21
139,2,1,0.02
140,1,38,0.2
141,3,26,0.68
142,2,56,1.07
143,1,30,0.16
144,2,14,0.27
144,6,1,0.16
145,1,25,0.13
146,1,20,0.11
147,1,22,0.12
148,1,99,0.53
149,1,49,0.26
150,1,13,0.07
151,1,37,0.2
152,1,45,0.24
153,1,30,0.16
154,1,23,0.12
155,1,22,0.12
156,1,21,0.11
156,4,1,0.1
157,1,43,0.23
158,1,22,0.12
159,1,28,0.15
