Cluster,Class,Count,Percentage of class (%)
-1,1,5043,27.2
-1,2,1110,21.18
-1,3,1062,27.93
-1,4,664,68.31
-1,5,280,40.0
-1,6,315,51.39
-1,7,173,31.51
-1,8,66,25.68
-1,9,53,26.11
0,2,29,0.55
1,3,26,0.68
2,2,11,0.21
3,1,28,0.15
4,2,29,0.55
5,2,42,0.8
6,1,1,0.01
6,2,19,0.36
7,2,53,1.01
8,2,53,1.01
9,2,25,0.48
9,4,1,0.1
10,1,25,0.13
11,7,16,2.91
12,2,29,0.55
13,3,25,0.66
14,2,21,0.4
15,2,47,0.9
16,2,30,0.57
17,1,21,0.11
18,1,23,0.12
19,3,26,0.68
20,2,11,0.21
21,2,19,0.36
22,2,30,0.57
23,3,25,0.66
24,3,43,1.13
25,2,30,0.57
26,1,44,0.24
27,1,30,0.16
28,1,25,0.13
29,3,20,0.53
30,1,28,0.15
31,1,28,0.15
32,3,34,0.89
33,3,30,0.79
34,3,28,0.74
35,2,29,0.55
36,1,28,0.15
37,3,14,0.37
38,3,25,0.66
39,2,33,0.63
39,3,1,0.03
40,3,25,0.66
41,2,34,0.65
41,4,1,0.1
42,2,14,0.27
43,3,52,1.37
43,4,1,0.1
44,1,25,0.13
45,1,26,0.14
46,1,30,0.16
47,1,58,0.31
48,2,49,0.93
48,3,11,0.29
49,3,24,0.63
50,1,27,0.15
51,1,23,0.12
52,1,24,0.13
53,2,28,0.53
54,1,22,0.12
55,2,32,0.61
55,4,1,0.1
56,1,21,0.11
57,2,29,0.55
58,1,53,0.29
59,1,30,0.16
60,1,31,0.17
61,1,52,0.28
62,1,30,0.16
63,2,29,0.55
64,1,23,0.12
65,3,27,0.71
66,3,15,0.39
67,3,23,0.6
68,1,24,0.13
69,1,18,0.1
70,3,25,0.66
71,1,46,0.25
72,1,32,0.17
73,1,21,0.11
74,1,26,0.14
75,1,24,0.13
76,1,17,0.09
77,1,37,0.2
78,1,18,0.1
79,2,24,0.46
80,1,27,0.15
81,1,24,0.13
82,1,21,0.11
83,1,21,0.11
84,1,48,0.26
85,1,39,0.21
86,1,27,0.15
87,1,23,0.12
88,1,36,0.19
88,2,1,0.02
89,1,1,0.01
89,2,28,0.53
90,2,16,0.31
91,2,30,0.57
92,2,24,0.46
93,1,46,0.25
94,3,15,0.39
95,3,26,0.68
96,2,32,0.61
97,2,14,0.27
97,6,1,0.16
98,2,33,0.63
99,2,17,0.32
99,4,1,0.1
100,1,24,0.13
101,1,21,0.11
102,1,21,0.11
103,1,20,0.11
104,1,29,0.16
105,2,58,1.11
106,2,13,0.25
107,2,26,0.5
108,2,27,0.52
109,1,35,0.19
109,2,2,0.04
110,1,26,0.14
111,2,40,0.76
112,1,1,0.01
112,2,25,0.48
113,1,26,0.14
