type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.036197014,0.25564343811341256,,
cluster,0,-0.015559004,,0.48701030927835054,4850
cluster,1,0.07911613,,0.9944598337950139,4693
cluster,2,-0.051990755,,0.4973110670818002,3533
cluster,3,0.03954822,,0.35613397901533494,4956
cluster,4,-0.0020421688,,0.986304780876494,4016
cluster,5,0.10037,,0.9996774193548387,3100
cluster,6,0.064282045,,0.3445558739255014,1396
cluster,7,0.14549027,,0.9946902654867257,1695
cluster,8,0.06452511,,0.5109931766489765,2638
