type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,-0.014013051,0.21654065981552278,,
cluster,0,-0.09964447,,0.9558270676691729,5320
cluster,1,-0.08847361,,0.48738461538461536,3250
cluster,2,-0.07685705,,0.29310344827586204,696
cluster,3,-0.1200441,,0.40024906600249066,4015
cluster,4,0.090105966,,1.0,1147
cluster,5,0.07266365,,0.831064572425829,2865
cluster,6,-0.026805244,,0.940279542566709,3935
cluster,7,0.09456061,,0.5749910297811267,5574
cluster,8,0.045963533,,0.37300613496932516,4075
