type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.035745505,0.2915978033314433,,
cluster,0,0.015770987,,0.45743989603638724,3078
cluster,1,0.1328497,,0.999723909442297,3622
cluster,2,0.02733746,,0.407557354925776,3705
cluster,3,0.09078378,,0.9791496320523303,2446
cluster,4,0.0073286393,,0.3730496453900709,2820
cluster,5,0.10588945,,0.9945299145299146,2925
cluster,6,-0.02651273,,0.997848200312989,5112
cluster,7,0.013228369,,0.5034126163391934,4835
cluster,8,-0.0035015063,,0.8727506426735219,2334
