type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.0420583114027977,0.2243365595020996,,
cluster,0,-0.03607743978500366,,0.7897510448846083,5503
cluster,1,0.091799795627594,,0.3815912055151854,5367
cluster,2,0.04684636369347572,,0.9935483870967742,1550
cluster,3,0.1197957918047905,,0.9233615221987315,7568
cluster,4,0.056913167238235474,,0.5704854368932039,2575
cluster,5,-0.07688047736883163,,0.5891364902506964,2154
cluster,6,0.04323370382189751,,0.37433374333743336,2439
cluster,7,0.0057913572527468204,,0.5144876325088339,1415
cluster,8,-0.030069362372159958,,0.9861231569817867,2306
