type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30339277,0.30800283498430336,,
cluster,0,0.46670786,,1.0,27
cluster,1,0.36951396,,1.0,14
cluster,2,0.35704768,,1.0,18
cluster,3,0.32415235,,1.0,29
cluster,4,0.35013244,,1.0,18
cluster,5,0.22920826,,1.0,36
cluster,6,0.2751024,,1.0,21
cluster,7,0.3602527,,1.0,29
cluster,8,0.3177332,,1.0,36
cluster,9,0.3307663,,1.0,11
cluster,10,0.33992824,,1.0,14
cluster,11,0.22405602,,1.0,38
cluster,12,0.42735428,,1.0,29
cluster,13,0.53147304,,1.0,29
cluster,14,0.4522343,,1.0,50
cluster,15,0.47523203,,1.0,11
cluster,16,0.40122363,,1.0,33
cluster,17,0.3672004,,1.0,17
cluster,18,0.3425853,,1.0,14
cluster,19,0.36926255,,0.9423076923076923,52
cluster,20,0.48879474,,1.0,52
cluster,21,0.31045422,,0.9333333333333333,15
cluster,22,0.2923457,,1.0,20
cluster,23,0.7267097,,1.0,11
cluster,24,0.27954367,,0.9629629629629629,27
cluster,25,0.3405226,,0.9615384615384616,26
cluster,26,0.42081383,,1.0,24
cluster,27,0.25317386,,1.0,31
cluster,28,0.3552606,,1.0,19
cluster,29,0.433945,,1.0,32
cluster,30,0.34683666,,1.0,23
cluster,31,0.253495,,1.0,16
cluster,32,0.28830338,,1.0,29
cluster,33,0.1376118,,1.0,15
cluster,34,0.41006818,,1.0,52
cluster,35,0.34571904,,1.0,53
cluster,36,0.29828033,,1.0,10
cluster,37,0.33262607,,1.0,26
cluster,38,0.34738544,,1.0,14
cluster,39,0.25292984,,1.0,18
cluster,40,0.27281243,,1.0,19
cluster,41,0.27876818,,1.0,12
cluster,42,0.15750739,,0.5833333333333334,24
cluster,43,0.3802288,,1.0,39
cluster,44,0.21768391,,1.0,51
cluster,45,0.28616375,,1.0,26
cluster,46,0.32107666,,1.0,22
cluster,47,0.22325894,,1.0,35
cluster,48,0.31105644,,1.0,17
cluster,49,0.29405493,,1.0,16
cluster,50,0.2645261,,1.0,17
cluster,51,0.29117787,,1.0,26
cluster,52,0.46513504,,1.0,40
cluster,53,0.15359563,,0.5925925925925926,27
cluster,54,0.29697868,,1.0,30
cluster,55,0.36816588,,1.0,37
cluster,56,0.34663683,,1.0,20
cluster,57,0.22516431,,1.0,87
cluster,58,0.2843426,,1.0,15
cluster,59,0.37864617,,1.0,11
cluster,60,0.2572554,,0.9285714285714286,14
cluster,61,0.2457015,,1.0,10
cluster,62,0.25908753,,1.0,22
cluster,63,0.3026549,,1.0,18
cluster,64,0.34156102,,0.9473684210526315,19
cluster,65,0.28820294,,1.0,15
cluster,66,0.32230935,,1.0,25
cluster,67,0.42009425,,1.0,21
cluster,68,0.2118798,,1.0,28
cluster,69,0.31146634,,1.0,25
cluster,70,0.29054695,,1.0,49
cluster,71,0.3364878,,0.56,25
cluster,72,0.26352662,,0.9230769230769231,13
cluster,73,0.35054567,,1.0,13
cluster,74,0.32162377,,1.0,26
cluster,75,0.31009477,,1.0,24
cluster,76,0.26022205,,1.0,64
cluster,77,0.40708876,,1.0,28
cluster,78,0.24217358,,1.0,11
cluster,79,0.3460293,,1.0,52
cluster,80,0.26367643,,1.0,22
cluster,81,0.059563518,,1.0,60
cluster,82,0.29428524,,1.0,16
cluster,83,0.27447245,,1.0,28
cluster,84,0.32713687,,1.0,23
cluster,85,0.24142554,,1.0,17
cluster,86,0.510289,,1.0,24
cluster,87,0.34543082,,1.0,21
cluster,88,0.3677152,,1.0,19
cluster,89,0.3277055,,1.0,13
cluster,90,0.33154374,,1.0,19
cluster,91,0.4594076,,1.0,13
cluster,92,0.45926613,,1.0,25
cluster,93,0.41459846,,1.0,13
cluster,94,0.34774265,,1.0,27
cluster,95,0.38904583,,1.0,27
