type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.07883426,0.27558428993792233,,
cluster,0,0.09789564,,0.9001547987616099,2584
cluster,1,0.018306786,,0.24046434494195687,2412
cluster,2,0.06125664,,0.3822837731904886,3827
cluster,3,0.17388166,,0.9997646505060014,4249
cluster,4,0.04758929,,0.364373232799246,5305
cluster,5,0.033775765,,0.8802892340653454,3734
cluster,6,0.07188511,,0.7621929512281951,2809
cluster,7,0.15827502,,0.9857918930213122,2393
cluster,8,0.05738983,,0.9910213243546577,3564
