type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.06733882,0.22139210450721622,,
cluster,0,-0.030841196,,0.9340124003542959,4516
cluster,1,0.06597081,,0.9947540983606558,1525
cluster,2,0.06866736,,0.35347432024169184,3972
cluster,3,0.12633382,,0.458370904718966,3327
cluster,4,0.091027595,,0.41274238227146814,3971
cluster,5,0.017065972,,0.9702159344750558,2686
cluster,6,-0.00093124947,,0.614519427402863,1956
cluster,7,0.17848893,,0.9180198644174681,6343
cluster,8,-0.04370745,,0.4157303370786517,2581
