type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.20472154,0.34406794089012027,,
cluster,0,0.19034703,,0.4745333755140778,6322
cluster,1,0.2694079,,0.9731543624161074,2682
cluster,2,0.23877998,,0.999375,3200
cluster,3,-0.20250817,,0.9026946107784432,2672
cluster,4,0.24300364,,0.24479875559012249,5143
cluster,5,0.0030735657,,0.9963414634146341,2460
cluster,6,0.33716998,,0.947228144989339,3752
cluster,7,0.34818676,,0.9969345303262536,4567
cluster,8,0.7557901,,0.6582278481012658,79
