type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.24168059,0.34235752760078875,,
cluster,0,-0.231363,,0.7476871320437343,2378
cluster,1,0.3460064,,0.9987389659520807,3965
cluster,2,0.29911265,,0.9726074895977809,2884
cluster,3,0.33996654,,0.4181695600876454,5933
cluster,4,0.2859523,,0.28046989720998533,4767
cluster,5,0.20124343,,0.9613894072053969,6967
cluster,6,-0.10350568,,0.9965095986038395,573
cluster,7,0.496634,,0.984,375
cluster,8,0.28627637,,0.9990115321252059,3035
