type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.32042858,0.3765056393559862,,
cluster,0,0.35364673,,0.3135064935064935,7700
cluster,1,-0.34083742,,0.7405311275576839,2297
cluster,2,0.3027975,,0.9956819913639827,3937
cluster,3,0.021769434,,0.7345750873108265,1718
cluster,4,0.51033014,,0.9546120058565154,3415
cluster,5,0.37324128,,0.978054133138259,5468
cluster,6,0.38719648,,0.9996156802459646,2602
cluster,7,0.84924114,,0.9940387481371088,2013
cluster,8,0.12942375,,0.9837869137232195,1727
