type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.2835083305835724,0.3054645920485522,,
cluster,0,0.4887889623641968,,0.5395850973751058,4724
cluster,1,-0.1862325221300125,,0.8050595238095238,672
cluster,2,0.31845980882644653,,0.3725172870383993,6797
cluster,3,0.37735816836357117,,0.9667683416278696,6229
cluster,4,0.2662930190563202,,0.9699020480854853,5615
cluster,5,-0.28621435165405273,,0.7391304347826086,1426
cluster,6,0.10028431564569473,,0.7312186978297162,2396
cluster,7,0.23099210858345032,,0.9996546961325967,2896
cluster,8,0.47977596521377563,,0.9918032786885246,122
