type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.74389446,0.2642298862051952,,
cluster,0,0.99998105,,1.0,27
cluster,1,0.99745214,,1.0,52
cluster,2,0.9999785,,1.0,24
cluster,3,0.9999795,,1.0,28
cluster,4,0.9999744,,1.0,31
cluster,5,0.980956,,1.0,23
cluster,6,0.9367936,,1.0,23
cluster,7,0.99996793,,1.0,25
cluster,8,0.9999788,,1.0,29
cluster,9,0.9979204,,1.0,52
cluster,10,0.9999709,,1.0,29
cluster,11,0.753214,,1.0,33
cluster,12,0.90202963,,1.0,13
cluster,13,0.9891948,,1.0,25
cluster,14,0.97944075,,1.0,14
cluster,15,0.9999669,,1.0,12
cluster,16,0.9991117,,1.0,30
cluster,17,0.9998815,,1.0,27
cluster,18,0.9999501,,1.0,30
cluster,19,0.99960166,,1.0,47
cluster,20,0.999959,,1.0,26
cluster,21,0.9999099,,1.0,21
cluster,22,0.9999658,,1.0,26
cluster,23,0.9999693,,1.0,25
cluster,24,0.9999419,,1.0,24
cluster,25,0.9999117,,1.0,17
cluster,26,0.99995744,,0.95,20
cluster,27,0.99740076,,1.0,51
cluster,28,0.9672315,,1.0,29
cluster,29,0.97192967,,1.0,26
cluster,30,0.99986434,,1.0,23
cluster,31,0.99798137,,1.0,52
cluster,32,0.9998714,,1.0,25
cluster,33,0.9998546,,1.0,26
cluster,34,0.99969804,,1.0,40
cluster,35,0.9942213,,1.0,52
cluster,36,0.99581003,,1.0,53
cluster,37,0.9960324,,1.0,41
cluster,38,0.99985796,,1.0,31
cluster,39,0.9953309,,0.847457627118644,59
cluster,40,0.9991806,,1.0,43
cluster,41,0.9472046,,1.0,25
cluster,42,0.92218333,,1.0,26
cluster,43,0.9386426,,1.0,26
cluster,44,0.8477239,,1.0,26
cluster,45,0.96065784,,0.9629629629629629,27
cluster,46,0.8827585,,0.9642857142857143,28
cluster,47,0.97267646,,0.9545454545454546,22
cluster,48,0.8858318,,1.0,26
cluster,49,0.99956304,,1.0,29
cluster,50,0.99672866,,1.0,54
cluster,51,0.9993236,,1.0,18
cluster,52,0.9938896,,1.0,33
cluster,53,0.8876291,,1.0,29
cluster,54,0.8898558,,0.967741935483871,31
cluster,55,0.9652125,,1.0,15
cluster,56,0.9804967,,1.0,48
cluster,57,0.9994001,,0.9629629629629629,27
cluster,58,0.9648083,,0.9803921568627451,51
cluster,59,0.963269,,1.0,32
cluster,60,0.99936825,,1.0,27
cluster,61,0.9529272,,1.0,22
cluster,62,0.9931414,,0.967741935483871,31
cluster,63,0.95587665,,1.0,27
cluster,64,0.9987006,,1.0,24
cluster,65,0.9582768,,1.0,25
cluster,66,0.9586918,,1.0,25
cluster,67,0.99713546,,1.0,18
cluster,68,0.9956247,,1.0,20
cluster,69,0.9967842,,1.0,35
cluster,70,0.9871551,,1.0,53
cluster,71,0.9985798,,1.0,24
cluster,72,0.9970873,,1.0,23
cluster,73,0.99904364,,1.0,15
cluster,74,0.99602157,,1.0,48
cluster,75,0.9962248,,1.0,28
cluster,76,0.9912819,,1.0,29
cluster,77,0.99671376,,1.0,29
cluster,78,0.9448212,,0.9782608695652174,46
cluster,79,0.84169376,,1.0,53
cluster,80,0.96406573,,1.0,28
cluster,81,0.87556744,,0.9615384615384616,26
cluster,82,0.85211354,,0.9642857142857143,28
cluster,83,0.99817884,,1.0,17
cluster,84,0.9892957,,1.0,30
cluster,85,0.940902,,1.0,27
cluster,86,0.97594094,,1.0,51
cluster,87,0.84741837,,0.8484848484848485,33
cluster,88,0.8071959,,0.9565217391304348,69
cluster,89,0.9157759,,1.0,30
cluster,90,0.9936058,,1.0,25
cluster,91,0.7410924,,1.0,19
cluster,92,0.8932578,,1.0,20
cluster,93,0.98035395,,1.0,54
cluster,94,0.9903255,,1.0,22
cluster,95,0.9949442,,1.0,14
cluster,96,0.98806286,,1.0,36
cluster,97,0.9540643,,1.0,22
cluster,98,0.89606696,,1.0,24
cluster,99,0.9153751,,1.0,20
cluster,100,0.87500614,,1.0,23
cluster,101,0.94807327,,1.0,30
cluster,102,0.9710765,,1.0,54
cluster,103,0.9916166,,1.0,29
cluster,104,0.9431572,,1.0,22
cluster,105,0.93471223,,1.0,28
cluster,106,0.989689,,1.0,26
cluster,107,0.91004455,,1.0,29
cluster,108,0.8890781,,0.8461538461538461,13
cluster,109,0.9933839,,1.0,19
cluster,110,0.9703901,,1.0,22
cluster,111,0.96247363,,0.9230769230769231,13
cluster,112,0.8402242,,1.0,24
cluster,113,0.6033068,,1.0,79
cluster,114,0.95622003,,1.0,29
cluster,115,0.9634964,,1.0,23
cluster,116,0.89367443,,1.0,27
cluster,117,0.6706353,,1.0,27
cluster,118,0.8376018,,1.0,17
cluster,119,0.9673033,,1.0,16
cluster,120,0.81420475,,0.9642857142857143,28
cluster,121,0.9389911,,1.0,27
cluster,122,0.9404214,,0.9420289855072463,69
cluster,123,0.92163306,,1.0,54
cluster,124,0.97803396,,1.0,24
cluster,125,0.9111583,,1.0,36
cluster,126,0.84987146,,1.0,60
cluster,127,0.97019196,,1.0,34
cluster,128,0.9917987,,1.0,20
cluster,129,0.9889857,,1.0,23
cluster,130,0.9660536,,1.0,19
cluster,131,0.9619982,,1.0,30
cluster,132,0.96248716,,0.9736842105263158,38
cluster,133,0.8923868,,0.9347826086956522,46
cluster,134,0.9063821,,0.98,50
cluster,135,0.9919613,,1.0,24
