type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.7274071,0.26116188605888296,,
cluster,0,0.9999721,,0.9615384615384616,26
cluster,1,0.99711967,,1.0,50
cluster,2,0.99994487,,1.0,28
cluster,3,0.9999717,,1.0,20
cluster,4,0.99858713,,1.0,53
cluster,5,0.9999815,,0.95,20
cluster,6,0.99995494,,1.0,25
cluster,7,0.99996495,,1.0,41
cluster,8,0.99996257,,1.0,31
cluster,9,0.9999801,,1.0,25
cluster,10,0.99996483,,1.0,26
cluster,11,0.9975453,,1.0,47
cluster,12,0.9999488,,1.0,24
cluster,13,0.9998279,,1.0,49
cluster,14,0.87370986,,1.0,14
cluster,15,0.99784356,,1.0,25
cluster,16,0.99936914,,1.0,28
cluster,17,0.99993443,,1.0,30
cluster,18,0.9999726,,1.0,19
cluster,19,0.96874505,,1.0,34
cluster,20,0.799419,,1.0,14
cluster,21,0.9994709,,1.0,50
cluster,22,0.9986951,,1.0,53
cluster,23,0.99976546,,1.0,25
cluster,24,0.9999423,,1.0,25
cluster,25,0.9897038,,1.0,66
cluster,26,0.9998799,,0.9655172413793104,29
cluster,27,0.7555383,,1.0,13
cluster,28,0.8467364,,1.0,21
cluster,29,0.99810284,,1.0,27
cluster,30,0.99990046,,1.0,30
cluster,31,0.999831,,1.0,24
cluster,32,0.99974763,,1.0,38
cluster,33,0.9991329,,1.0,52
cluster,34,0.99950266,,1.0,17
cluster,35,0.9992994,,1.0,26
cluster,36,0.9981837,,1.0,40
cluster,37,0.99956995,,1.0,11
cluster,38,0.99524164,,1.0,43
cluster,39,0.9946908,,1.0,46
cluster,40,0.9887587,,1.0,49
cluster,41,0.8298399,,1.0,23
cluster,42,0.6309211,,1.0,37
cluster,43,0.8683465,,0.9411764705882353,34
cluster,44,0.9021739,,1.0,32
cluster,45,0.9989123,,1.0,31
cluster,46,0.9996605,,1.0,24
cluster,47,0.999593,,1.0,21
cluster,48,0.97628653,,0.8478260869565217,46
cluster,49,0.97978866,,0.9655172413793104,29
cluster,50,0.9949898,,1.0,26
cluster,51,0.98342395,,1.0,25
cluster,52,0.99086016,,1.0,21
cluster,53,0.9980525,,1.0,20
cluster,54,0.9571937,,0.9722222222222222,36
cluster,55,0.9546176,,1.0,29
cluster,56,0.9521516,,1.0,54
cluster,57,0.98191947,,1.0,24
cluster,58,0.9051292,,0.9459459459459459,37
cluster,59,0.9677696,,1.0,29
cluster,60,0.9932963,,1.0,24
cluster,61,0.9977524,,1.0,29
cluster,62,0.9866591,,0.5161290322580645,31
cluster,63,0.9935443,,1.0,39
cluster,64,0.9925239,,1.0,16
cluster,65,0.9861341,,1.0,21
cluster,66,0.98416835,,1.0,26
cluster,67,0.9907246,,1.0,25
cluster,68,0.98223567,,1.0,19
cluster,69,0.84809095,,1.0,23
cluster,70,0.9892387,,1.0,27
cluster,71,0.98989666,,0.9444444444444444,36
cluster,72,0.9701329,,1.0,28
cluster,73,0.6907943,,1.0,19
cluster,74,0.7951446,,1.0,30
cluster,75,0.8086122,,1.0,13
cluster,76,0.79107267,,1.0,11
cluster,77,0.97535527,,0.9310344827586207,29
cluster,78,0.9883935,,0.9583333333333334,24
cluster,79,0.92922324,,0.98,50
cluster,80,0.9582164,,0.896551724137931,29
cluster,81,0.76713103,,1.0,15
cluster,82,0.8632048,,1.0,29
cluster,83,0.92450494,,0.9714285714285714,35
cluster,84,0.741679,,1.0,23
cluster,85,0.6723255,,1.0,16
cluster,86,0.94540113,,0.9615384615384616,26
cluster,87,0.961388,,1.0,20
cluster,88,0.9891047,,0.9615384615384616,26
cluster,89,0.9704364,,0.9714285714285714,35
cluster,90,0.9758828,,0.9629629629629629,27
cluster,91,0.8790007,,0.9545454545454546,22
cluster,92,0.96095115,,1.0,26
cluster,93,0.6798042,,1.0,75
cluster,94,0.89955026,,1.0,31
cluster,95,0.77641606,,1.0,24
cluster,96,0.8326873,,1.0,19
cluster,97,0.83702683,,1.0,22
cluster,98,0.76828176,,1.0,15
cluster,99,0.62471145,,1.0,31
cluster,100,0.97698003,,1.0,24
cluster,101,0.80234134,,0.9629629629629629,54
cluster,102,0.93893224,,1.0,24
cluster,103,0.9407099,,1.0,28
cluster,104,0.73429257,,1.0,41
cluster,105,0.7546932,,1.0,48
cluster,106,0.98363584,,1.0,24
cluster,107,0.92696804,,1.0,54
cluster,108,0.9749545,,1.0,18
cluster,109,0.9331823,,1.0,45
cluster,110,0.8971489,,1.0,29
cluster,111,0.80119526,,0.9615384615384616,26
cluster,112,0.9439733,,1.0,27
cluster,113,0.96169186,,1.0,41
cluster,114,0.936378,,0.9473684210526315,19
cluster,115,0.92614466,,0.9512195121951219,41
cluster,116,0.9470005,,1.0,29
cluster,117,0.9460446,,0.9821428571428571,56
cluster,118,0.9063067,,1.0,30
cluster,119,0.9613743,,1.0,21
cluster,120,0.9618725,,1.0,18
cluster,121,0.8724578,,0.9166666666666666,24
cluster,122,0.9586939,,0.9615384615384616,26
cluster,123,0.980716,,1.0,47
cluster,124,0.89524233,,1.0,32
cluster,125,0.6570254,,1.0,22
cluster,126,0.8385916,,1.0,24
cluster,127,0.775942,,1.0,22
cluster,128,0.8653969,,1.0,22
cluster,129,0.9490668,,0.9791666666666666,48
cluster,130,0.9151159,,1.0,17
cluster,131,0.8385999,,0.9166666666666666,12
cluster,132,0.9229134,,1.0,40
cluster,133,0.7699474,,1.0,26
cluster,134,0.9555381,,1.0,18
cluster,135,0.9699437,,0.9642857142857143,28
cluster,136,0.9568421,,1.0,20
cluster,137,0.8037454,,0.7222222222222222,36
cluster,138,0.97420186,,1.0,40
cluster,139,0.8846312,,1.0,30
cluster,140,0.8895554,,1.0,38
cluster,141,0.8980029,,1.0,26
cluster,142,0.87171215,,1.0,35
cluster,143,0.92738134,,1.0,29
cluster,144,0.7495041,,1.0,23
cluster,145,0.77685726,,1.0,56
cluster,146,0.91570854,,1.0,23
cluster,147,0.8256178,,0.8412698412698413,63
cluster,148,0.85252935,,1.0,57
cluster,149,0.95671034,,1.0,31
cluster,150,0.9660673,,1.0,33
cluster,151,0.8192802,,1.0,23
cluster,152,0.88389266,,1.0,11
cluster,153,0.8697116,,0.9,30
cluster,154,0.8027709,,1.0,26
cluster,155,0.8999486,,1.0,28
cluster,156,0.7949066,,1.0,26
cluster,157,0.8636955,,1.0,21
cluster,158,0.8633065,,0.9622641509433962,53
cluster,159,0.804767,,1.0,13
cluster,160,0.7160094,,1.0,23
cluster,161,0.9136019,,1.0,22
cluster,162,0.8841101,,1.0,13
cluster,163,0.58682084,,1.0,34
cluster,164,0.76054806,,1.0,56
cluster,165,0.84183025,,1.0,57
cluster,166,0.8878735,,1.0,23
cluster,167,0.8449971,,0.9787234042553191,47
cluster,168,0.72471577,,1.0,39
cluster,169,0.974755,,0.9642857142857143,28
cluster,170,0.9100168,,1.0,15
cluster,171,0.43918657,,1.0,66
cluster,172,0.73505914,,0.9591836734693877,49
cluster,173,0.80629575,,0.9411764705882353,17
cluster,174,0.936291,,1.0,11
cluster,175,0.9291457,,0.9523809523809523,21
cluster,176,0.8809058,,1.0,28
cluster,177,0.9000246,,1.0,20
cluster,178,0.874967,,0.9545454545454546,22
cluster,179,0.90364885,,1.0,25
cluster,180,0.93012184,,1.0,16
cluster,181,0.8478202,,1.0,22
cluster,182,0.76284856,,1.0,16
cluster,183,0.6273934,,1.0,26
cluster,184,0.88242817,,0.9666666666666667,30
cluster,185,0.9056394,,1.0,30
cluster,186,0.89547837,,1.0,26
cluster,187,0.8474792,,0.9655172413793104,29
cluster,188,0.85829943,,1.0,21
cluster,189,0.86100465,,0.972972972972973,37
cluster,190,0.858601,,1.0,41
cluster,191,0.9021437,,1.0,11
cluster,192,0.8590023,,0.8333333333333334,12
cluster,193,0.7454992,,1.0,11
cluster,194,0.9589391,,0.9629629629629629,27
cluster,195,0.73990315,,1.0,15
cluster,196,0.80934036,,1.0,46
cluster,197,0.89061606,,1.0,16
cluster,198,0.8109229,,1.0,21
cluster,199,0.7714157,,1.0,19
cluster,200,0.75568473,,0.9487179487179487,39
cluster,201,0.4269165,,0.9354838709677419,31
cluster,202,0.93603575,,1.0,28
cluster,203,0.9287439,,1.0,24
cluster,204,0.8458387,,1.0,28
cluster,205,0.8302157,,1.0,24
cluster,206,0.63920724,,1.0,29
cluster,207,0.9382138,,1.0,49
cluster,208,0.8742687,,0.9629629629629629,27
cluster,209,0.8095428,,0.8780487804878049,41
cluster,210,0.9271494,,1.0,16
cluster,211,0.9258911,,1.0,24
cluster,212,0.6745708,,0.45454545454545453,22
cluster,213,0.83833253,,0.9714285714285714,35
cluster,214,0.85418844,,1.0,36
cluster,215,0.6305527,,0.9487179487179487,39
cluster,216,0.8707541,,1.0,21
cluster,217,0.81901824,,1.0,19
cluster,218,0.7275843,,1.0,26
cluster,219,0.71501523,,1.0,25
cluster,220,0.7326806,,1.0,24
cluster,221,0.9042028,,1.0,13
cluster,222,0.8100017,,1.0,21
cluster,223,0.8153796,,1.0,14
cluster,224,0.7309947,,1.0,21
cluster,225,0.8806886,,1.0,25
cluster,226,0.79286784,,1.0,40
cluster,227,0.7815135,,1.0,15
cluster,228,0.66911185,,1.0,16
cluster,229,0.47457433,,1.0,35
cluster,230,0.7625057,,1.0,29
cluster,231,0.8170318,,1.0,43
cluster,232,0.7048899,,1.0,20
cluster,233,0.75402296,,1.0,50
cluster,234,0.7319005,,1.0,23
cluster,235,0.5959797,,1.0,22
cluster,236,0.6202212,,1.0,52
cluster,237,0.71501476,,1.0,11
cluster,238,0.73706126,,1.0,20
cluster,239,0.67664075,,1.0,18
cluster,240,0.8499821,,1.0,33
cluster,241,0.5476458,,1.0,38
cluster,242,0.7034845,,1.0,15
cluster,243,0.87729037,,1.0,15
cluster,244,0.7724374,,1.0,26
cluster,245,0.83046234,,1.0,21
cluster,246,0.7132326,,1.0,13
cluster,247,0.5871121,,0.7575757575757576,33
cluster,248,0.8791633,,1.0,11
cluster,249,0.67804176,,1.0,22
cluster,250,0.5814644,,1.0,31
cluster,251,0.7063211,,1.0,16
cluster,252,0.71619743,,1.0,22
cluster,253,0.71845436,,1.0,29
cluster,254,0.7362602,,1.0,22
cluster,255,0.61355704,,1.0,27
cluster,256,0.5330417,,1.0,52
cluster,257,0.4541512,,1.0,67
cluster,258,0.71826184,,0.9058823529411765,85
cluster,259,0.81968814,,1.0,15
cluster,260,0.73274124,,1.0,39
cluster,261,0.5302239,,1.0,10
cluster,262,0.8308476,,1.0,18
cluster,263,0.8298801,,1.0,30
cluster,264,0.6518312,,1.0,22
cluster,265,0.6855986,,1.0,16
cluster,266,0.7889488,,0.8333333333333334,12
cluster,267,0.31090844,,1.0,18
cluster,268,0.697083,,1.0,33
cluster,269,0.7152277,,1.0,39
cluster,270,0.60558075,,1.0,12
cluster,271,0.8135688,,1.0,12
cluster,272,0.71235734,,1.0,53
cluster,273,0.30877712,,1.0,39
cluster,274,0.8622376,,1.0,18
cluster,275,0.66862124,,1.0,49
cluster,276,0.870787,,1.0,25
cluster,277,0.5775435,,1.0,36
cluster,278,0.71709543,,1.0,21
cluster,279,0.80837554,,1.0,32
cluster,280,0.37129042,,1.0,70
cluster,281,0.7191332,,1.0,30
