type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.744665,0.26415538129508653,,
cluster,0,0.99997675,,1.0,29
cluster,1,0.999697,,1.0,26
cluster,2,0.9999765,,1.0,11
cluster,3,0.99998075,,1.0,28
cluster,4,0.9999723,,1.0,29
cluster,5,0.9999667,,1.0,42
cluster,6,0.9999797,,0.95,20
cluster,7,0.99908346,,1.0,53
cluster,8,0.999872,,1.0,53
cluster,9,0.99941754,,0.9615384615384616,26
cluster,10,0.9999785,,1.0,25
cluster,11,0.99997485,,1.0,16
cluster,12,0.999813,,1.0,29
cluster,13,0.9999586,,1.0,25
cluster,14,0.99996305,,1.0,21
cluster,15,0.99858457,,1.0,47
cluster,16,0.9998795,,1.0,30
cluster,17,0.80417854,,1.0,21
cluster,18,0.84490687,,1.0,23
cluster,19,0.9999679,,1.0,26
cluster,20,0.9378528,,1.0,11
cluster,21,0.9870488,,1.0,19
cluster,22,0.9999628,,1.0,30
cluster,23,0.8792547,,1.0,25
cluster,24,0.85304713,,1.0,43
cluster,25,0.99985296,,1.0,30
cluster,26,0.99961793,,1.0,44
cluster,27,0.99991626,,1.0,30
cluster,28,0.99957246,,1.0,25
cluster,29,0.9792485,,1.0,20
cluster,30,0.9994338,,1.0,28
cluster,31,0.99461615,,1.0,28
cluster,32,0.8815957,,1.0,34
cluster,33,0.8605137,,1.0,30
cluster,34,0.89484555,,1.0,28
cluster,35,0.9995852,,1.0,29
cluster,36,0.9558359,,1.0,28
cluster,37,0.93791646,,1.0,14
cluster,38,0.9257799,,1.0,25
cluster,39,0.9949885,,0.9705882352941176,34
cluster,40,0.9999211,,1.0,25
cluster,41,0.9372886,,0.9714285714285714,35
cluster,42,0.8556827,,1.0,14
cluster,43,0.99872184,,0.9811320754716981,53
cluster,44,0.9255845,,1.0,25
cluster,45,0.8776956,,1.0,26
cluster,46,0.8928691,,1.0,30
cluster,47,0.8566204,,1.0,58
cluster,48,0.94774115,,0.8166666666666667,60
cluster,49,0.9999555,,1.0,24
cluster,50,0.8859197,,1.0,27
cluster,51,0.8559223,,1.0,23
cluster,52,0.8338774,,1.0,24
cluster,53,0.9858006,,1.0,28
cluster,54,0.92147446,,1.0,22
cluster,55,0.900113,,0.9696969696969697,33
cluster,56,0.80530494,,1.0,21
cluster,57,0.9958553,,1.0,29
cluster,58,0.99603957,,1.0,53
cluster,59,0.99344057,,1.0,30
cluster,60,0.9122125,,1.0,31
cluster,61,0.9996113,,1.0,52
cluster,62,0.9435262,,1.0,30
cluster,63,0.99993235,,1.0,29
cluster,64,0.999862,,1.0,23
cluster,65,0.99976397,,1.0,27
cluster,66,0.7276407,,1.0,15
cluster,67,0.74990207,,1.0,23
cluster,68,0.9969652,,1.0,24
cluster,69,0.98603845,,1.0,18
cluster,70,0.9998935,,1.0,25
cluster,71,0.9981453,,1.0,46
cluster,72,0.83922875,,1.0,32
cluster,73,0.9100092,,1.0,21
cluster,74,0.9998668,,1.0,26
cluster,75,0.8280387,,1.0,24
cluster,76,0.8040275,,1.0,17
cluster,77,0.7114697,,1.0,37
cluster,78,0.86540896,,1.0,18
cluster,79,0.9988901,,1.0,24
cluster,80,0.8164047,,1.0,27
cluster,81,0.76624346,,1.0,24
cluster,82,0.9995192,,1.0,21
cluster,83,0.8460286,,1.0,21
cluster,84,0.990671,,1.0,48
cluster,85,0.9900911,,1.0,39
cluster,86,0.71559435,,1.0,27
cluster,87,0.9984456,,1.0,23
cluster,88,0.9896342,,0.972972972972973,37
cluster,89,0.9817534,,0.9655172413793104,29
cluster,90,0.9969643,,1.0,16
cluster,91,0.9927728,,1.0,30
cluster,92,0.9889745,,1.0,24
cluster,93,0.9954792,,1.0,46
cluster,94,0.9400847,,1.0,15
cluster,95,0.9419622,,1.0,26
cluster,96,0.980291,,1.0,32
cluster,97,0.9989806,,0.9333333333333333,15
cluster,98,0.6531423,,1.0,33
cluster,99,0.7315603,,0.9444444444444444,18
cluster,100,0.9971337,,1.0,24
cluster,101,0.876753,,1.0,21
cluster,102,0.8113724,,1.0,21
cluster,103,0.99674976,,1.0,20
cluster,104,0.7572814,,1.0,29
cluster,105,0.9824703,,1.0,58
cluster,106,0.7316946,,1.0,13
cluster,107,0.8071395,,1.0,26
cluster,108,0.8595703,,1.0,27
cluster,109,0.9677514,,0.9459459459459459,37
cluster,110,0.77600753,,1.0,26
cluster,111,0.99329597,,1.0,40
cluster,112,0.99362856,,0.9615384615384616,26
cluster,113,0.9976073,,1.0,26
cluster,114,0.66175383,,1.0,27
cluster,115,0.74076176,,1.0,22
cluster,116,0.9757656,,0.9629629629629629,27
cluster,117,0.986884,,1.0,25
cluster,118,0.9866726,,1.0,22
cluster,119,0.9869175,,1.0,34
cluster,120,0.7024912,,1.0,24
cluster,121,0.98230684,,1.0,25
cluster,122,0.89721286,,1.0,20
cluster,123,0.82736164,,1.0,33
cluster,124,0.9358621,,1.0,22
cluster,125,0.968682,,1.0,46
cluster,126,0.7939007,,1.0,15
cluster,127,0.9721424,,1.0,25
cluster,128,0.90770185,,1.0,22
cluster,129,0.8051008,,1.0,32
cluster,130,0.94595003,,1.0,27
cluster,131,0.9762499,,0.5,28
cluster,132,0.7895512,,1.0,26
cluster,133,0.8857851,,1.0,22
cluster,134,0.9173983,,1.0,24
cluster,135,0.8143947,,1.0,21
cluster,136,0.68195015,,1.0,23
cluster,137,0.9085025,,1.0,30
cluster,138,0.9446027,,1.0,11
cluster,139,0.9165595,,1.0,14
cluster,140,0.99142826,,1.0,38
cluster,141,0.9585783,,1.0,23
cluster,142,0.99335533,,1.0,30
cluster,143,0.8751054,,1.0,48
cluster,144,0.92629796,,1.0,11
cluster,145,0.9841461,,1.0,17
cluster,146,0.9737877,,0.9166666666666666,12
cluster,147,0.9886057,,0.96,25
cluster,148,0.7549272,,1.0,30
cluster,149,0.96254325,,1.0,24
cluster,150,0.9811951,,0.9411764705882353,51
cluster,151,0.9414002,,1.0,27
cluster,152,0.9911659,,1.0,11
cluster,153,0.7555812,,1.0,60
cluster,154,0.82210493,,1.0,36
cluster,155,0.9226321,,0.9767441860465116,43
cluster,156,0.5331548,,0.9666666666666667,90
cluster,157,0.9162854,,1.0,26
cluster,158,0.93548274,,1.0,26
cluster,159,0.99202406,,1.0,19
cluster,160,0.86945766,,1.0,22
cluster,161,0.67464197,,1.0,43
cluster,162,0.5995363,,1.0,98
cluster,163,0.918392,,1.0,21
cluster,164,0.8056786,,1.0,24
cluster,165,0.85723805,,0.9523809523809523,21
cluster,166,0.93173754,,1.0,49
cluster,167,0.6374535,,1.0,53
cluster,168,0.8257415,,1.0,22
cluster,169,0.7815949,,1.0,21
cluster,170,0.8571107,,1.0,25
cluster,171,0.9856958,,1.0,27
cluster,172,0.86181974,,1.0,27
cluster,173,0.8636223,,0.9827586206896551,58
cluster,174,0.6937927,,1.0,25
cluster,175,0.7699715,,1.0,17
cluster,176,0.80370826,,1.0,27
cluster,177,0.8585506,,1.0,28
cluster,178,0.74728584,,1.0,21
cluster,179,0.8943159,,1.0,20
cluster,180,0.87757856,,1.0,24
cluster,181,0.93187827,,1.0,30
cluster,182,0.90455633,,0.7777777777777778,45
cluster,183,0.8800664,,1.0,48
cluster,184,0.95028985,,1.0,25
cluster,185,0.9450192,,1.0,39
cluster,186,0.94459933,,1.0,15
cluster,187,0.956924,,1.0,18
cluster,188,0.9360327,,1.0,39
cluster,189,0.73718,,1.0,22
cluster,190,0.76544386,,0.9846153846153847,65
cluster,191,0.72716576,,1.0,20
cluster,192,0.5819867,,1.0,19
cluster,193,0.9112307,,1.0,50
cluster,194,0.68287075,,1.0,23
cluster,195,0.92172134,,1.0,21
cluster,196,0.80432034,,1.0,41
cluster,197,0.5155984,,1.0,46
cluster,198,0.7585849,,0.8125,16
cluster,199,0.80406445,,0.9230769230769231,26
cluster,200,0.86092913,,1.0,36
cluster,201,0.9491279,,1.0,24
cluster,202,0.88861847,,1.0,28
cluster,203,0.87047815,,1.0,28
cluster,204,0.82550865,,1.0,12
cluster,205,0.8264789,,1.0,28
cluster,206,0.7480083,,1.0,17
cluster,207,0.8522028,,1.0,44
cluster,208,0.8877974,,1.0,46
cluster,209,0.6070257,,1.0,10
cluster,210,0.73500234,,1.0,19
cluster,211,0.75686085,,1.0,30
cluster,212,0.96402967,,1.0,23
cluster,213,0.848831,,1.0,24
cluster,214,0.84579587,,1.0,19
cluster,215,0.72086644,,0.96,25
cluster,216,0.74965197,,1.0,21
cluster,217,0.823449,,1.0,15
cluster,218,0.5216722,,1.0,11
cluster,219,0.86881274,,1.0,45
cluster,220,0.9595856,,1.0,22
cluster,221,0.812009,,1.0,28
cluster,222,0.77954197,,1.0,30
cluster,223,0.81902695,,1.0,15
cluster,224,0.94683087,,1.0,26
cluster,225,0.77035266,,1.0,29
cluster,226,0.64873976,,1.0,24
cluster,227,0.8141163,,1.0,29
