type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.301076740026474,0.3985584402931337,,
cluster,0,0.422077476978302,,0.996372704602131,4411
cluster,1,0.7513309121131897,,0.9930675909878682,2308
cluster,2,0.14296960830688477,,0.36881047239612974,5271
cluster,3,0.26815545558929443,,0.9923130677847659,1431
cluster,4,0.4118998050689697,,0.9539666993143977,1021
cluster,5,0.1401001363992691,,0.9880782069623272,4194
cluster,6,0.49390533566474915,,0.9532619279454723,2054
cluster,7,0.3762543797492981,,0.22916666666666666,3312
cluster,8,0.18827670812606812,,0.9128727272727273,6875
