type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.29342395067214966,0.30876380809728904,,
cluster,0,0.11331305652856827,,0.9619360902255639,4256
cluster,1,0.26749128103256226,,0.32783337841493104,3697
cluster,2,0.3967931568622589,,0.9380064829821718,7404
cluster,3,-0.20608197152614594,,0.5190082644628099,1210
cluster,4,0.9997815489768982,,1.0,50
cluster,5,0.32601505517959595,,0.32043218835671666,6201
cluster,6,0.29062965512275696,,0.7627559311017225,3077
cluster,7,0.38332557678222656,,0.9925925925925926,4860
cluster,8,0.5864020586013794,,0.9918032786885246,122
