type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.26920580863952637,0.2477343848737559,,
cluster,0,0.33913883566856384,,0.769670167680118,5427
cluster,1,0.7730912566184998,,0.8548850574712644,2784
cluster,2,0.26677700877189636,,0.9697166342202034,4623
cluster,3,0.41585370898246765,,0.37687013764213045,6684
cluster,4,0.28107383847236633,,0.6313744536182613,2059
cluster,5,0.33281803131103516,,0.9808286951144094,1617
cluster,6,-0.10635388642549515,,0.8087356321839081,4350
cluster,7,-0.12180478125810623,,0.6824138982017678,3281
cluster,8,0.9996333718299866,,1.0,52
